🦵🏻	لنگ, لنگ: پوست سفید, لگد, پا, پوست سفید
🦵🏼	لنگ, لنگ: پوست روشن, لگد, پا, پوست روشن
🦵🏽	لنگ, لنگ: پوست طلایی, لگد, پا, پوست طلایی
🦵🏾	لنگ, لنگ: پوست گندمی, لگد, پا, پوست گندمی
🦵🏿	لنگ, لنگ: پوست آبنوسی, لگد, پا, پوست آبنوسی
🦶🏻	پا, پا: پوست سفید, پایکوبی, پوست سفید
🦶🏼	پا, پا: پوست روشن, پایکوبی, پوست روشن
🦶🏽	پا, پا: پوست طلایی, پایکوبی, پوست طلایی
🦶🏾	پا, پا: پوست گندمی, پایکوبی, پوست گندمی
🦶🏿	پا, پا: پوست آبنوسی, پایکوبی, پوست آبنوسی
🦸🏻	ابرقدرت, ابرقهرمان, ابرقهرمان: پوست سفید, خوب, دلاور, شیرزن, شیرمرد, قهرمان, پوست سفید
🦸🏼	ابرقدرت, ابرقهرمان, ابرقهرمان: پوست روشن, خوب, دلاور, شیرزن, شیرمرد, قهرمان, پوست روشن
🦸🏽	ابرقدرت, ابرقهرمان, ابرقهرمان: پوست طلایی, خوب, دلاور, شیرزن, شیرمرد, قهرمان, پوست طلایی
🦸🏾	ابرقدرت, ابرقهرمان, ابرقهرمان: پوست گندمی, خوب, دلاور, شیرزن, شیرمرد, قهرمان, پوست گندمی
🦸🏿	ابرقدرت, ابرقهرمان, ابرقهرمان: پوست آبنوسی, خوب, دلاور, شیرزن, شیرمرد, قهرمان, پوست آبنوسی
🦸🏻‍♀	ابرقدرت, ابرقهرمان, ابرقهرمان زن, ابرقهرمان زن: پوست سفید, خوب, دلاور, شیرزن, قهرمان, پوست سفید
🦸🏼‍♀	ابرقدرت, ابرقهرمان, ابرقهرمان زن, ابرقهرمان زن: پوست روشن, خوب, دلاور, شیرزن, قهرمان, پوست روشن
🦸🏽‍♀	ابرقدرت, ابرقهرمان, ابرقهرمان زن, ابرقهرمان زن: پوست طلایی, خوب, دلاور, شیرزن, قهرمان, پوست طلایی
🦸🏾‍♀	ابرقدرت, ابرقهرمان, ابرقهرمان زن, ابرقهرمان زن: پوست گندمی, خوب, دلاور, شیرزن, قهرمان, پوست گندمی
🦸🏿‍♀	ابرقدرت, ابرقهرمان, ابرقهرمان زن, ابرقهرمان زن: پوست آبنوسی, خوب, دلاور, شیرزن, قهرمان, پوست آبنوسی
🦸🏻‍♂	ابرقدرت, ابرقهرمان, ابرقهرمان مرد, ابرقهرمان مرد: پوست سفید, خوب, دلاور, شیرمرد, قهرمان, پوست سفید
🦸🏼‍♂	ابرقدرت, ابرقهرمان, ابرقهرمان مرد, ابرقهرمان مرد: پوست روشن, خوب, دلاور, شیرمرد, قهرمان, پوست روشن
🦸🏽‍♂	ابرقدرت, ابرقهرمان, ابرقهرمان مرد, ابرقهرمان مرد: پوست طلایی, خوب, دلاور, شیرمرد, قهرمان, پوست طلایی
🦸🏾‍♂	ابرقدرت, ابرقهرمان, ابرقهرمان مرد, ابرقهرمان مرد: پوست گندمی, خوب, دلاور, شیرمرد, قهرمان, پوست گندمی
🦸🏿‍♂	ابرقدرت, ابرقهرمان, ابرقهرمان مرد, ابرقهرمان مرد: پوست آبنوسی, خوب, دلاور, شیرمرد, قهرمان, پوست آبنوسی
🦹🏻	آدم بد, آدم شرور, ابرشرور, ابرشرور: پوست سفید, ابرقدرت, اهریمنی, تبهکار, جنایتکار, خبیث, دیوسیرت, شرور بزرگ, مجرم, پوست سفید
🦹🏼	آدم بد, آدم شرور, ابرشرور, ابرشرور: پوست روشن, ابرقدرت, اهریمنی, تبهکار, جنایتکار, خبیث, دیوسیرت, شرور بزرگ, مجرم, پوست روشن
🦹🏽	آدم بد, آدم شرور, ابرشرور, ابرشرور: پوست طلایی, ابرقدرت, اهریمنی, تبهکار, جنایتکار, خبیث, دیوسیرت, شرور بزرگ, مجرم, پوست طلایی
🦹🏾	آدم بد, آدم شرور, ابرشرور, ابرشرور: پوست گندمی, ابرقدرت, اهریمنی, تبهکار, جنایتکار, خبیث, دیوسیرت, شرور بزرگ, مجرم, پوست گندمی
🦹🏿	آدم بد, آدم شرور, ابرشرور, ابرشرور: پوست آبنوسی, ابرقدرت, اهریمنی, تبهکار, جنایتکار, خبیث, دیوسیرت, شرور بزرگ, مجرم, پوست آبنوسی
🦹🏻‍♀	آدم بد, آدم شرور, ابرشرور, ابرشرور زن: پوست سفید, ابرقدرت, اهریمنی, تبهکار, جنایتکار, خبیث, دیوسیرت, زن, شرور بزرگ, مجرم, پوست سفید
🦹🏼‍♀	آدم بد, آدم شرور, ابرشرور, ابرشرور زن: پوست روشن, ابرقدرت, اهریمنی, تبهکار, جنایتکار, خبیث, دیوسیرت, زن, شرور بزرگ, مجرم, پوست روشن
🦹🏽‍♀	آدم بد, آدم شرور, ابرشرور, ابرشرور زن: پوست طلایی, ابرقدرت, اهریمنی, تبهکار, جنایتکار, خبیث, دیوسیرت, زن, شرور بزرگ, مجرم, پوست طلایی
🦹🏾‍♀	آدم بد, آدم شرور, ابرشرور, ابرشرور زن: پوست گندمی, ابرقدرت, اهریمنی, تبهکار, جنایتکار, خبیث, دیوسیرت, زن, شرور بزرگ, مجرم, پوست گندمی
🦹🏿‍♀	آدم بد, آدم شرور, ابرشرور, ابرشرور زن: پوست آبنوسی, ابرقدرت, اهریمنی, تبهکار, جنایتکار, خبیث, دیوسیرت, زن, شرور بزرگ, مجرم, پوست آبنوسی
🦹🏻‍♂	آدم بد, آدم شرور, ابرشرور, ابرشرور مرد: پوست سفید, ابرقدرت, اهریمنی, تبهکار, جنایتکار, خبیث, دیوسیرت, شرور بزرگ, مجرم, مرد, پوست سفید
🦹🏼‍♂	آدم بد, آدم شرور, ابرشرور, ابرشرور مرد: پوست روشن, ابرقدرت, اهریمنی, تبهکار, جنایتکار, خبیث, دیوسیرت, شرور بزرگ, مجرم, مرد, پوست روشن
🦹🏽‍♂	آدم بد, آدم شرور, ابرشرور, ابرشرور مرد: پوست طلایی, ابرقدرت, اهریمنی, تبهکار, جنایتکار, خبیث, دیوسیرت, شرور بزرگ, مجرم, مرد, پوست طلایی
🦹🏾‍♂	آدم بد, آدم شرور, ابرشرور, ابرشرور مرد: پوست گندمی, ابرقدرت, اهریمنی, تبهکار, جنایتکار, خبیث, دیوسیرت, شرور بزرگ, مجرم, مرد, پوست گندمی
🦹🏿‍♂	آدم بد, آدم شرور, ابرشرور, ابرشرور مرد: پوست آبنوسی, ابرقدرت, اهریمنی, تبهکار, جنایتکار, خبیث, دیوسیرت, شرور بزرگ, مجرم, مرد, پوست آبنوسی
👶🏻	خردسال, طفل, نوزاد, نوزاد: پوست سفید, پوست سفید
👶🏼	خردسال, طفل, نوزاد, نوزاد: پوست روشن, پوست روشن
👶🏽	خردسال, طفل, نوزاد, نوزاد: پوست طلایی, پوست طلایی
👶🏾	خردسال, طفل, نوزاد, نوزاد: پوست گندمی, پوست گندمی
👶🏿	خردسال, طفل, نوزاد, نوزاد: پوست آبنوسی, پوست آبنوسی
🧒🏻	بچه, بچه: پوست سفید, بی‌جنس, جنس خنثی, جوان, پوست سفید
🧒🏼	بچه, بچه: پوست روشن, بی‌جنس, جنس خنثی, جوان, پوست روشن
🧒🏽	بچه, بچه: پوست طلایی, بی‌جنس, جنس خنثی, جوان, پوست طلایی
🧒🏾	بچه, بچه: پوست گندمی, بی‌جنس, جنس خنثی, جوان, پوست گندمی
🧒🏿	بچه, بچه: پوست آبنوسی, بی‌جنس, جنس خنثی, جوان, پوست آبنوسی
👦🏻	مذکر, مرد, پسر, پسر: پوست سفید, پوست سفید
👦🏼	مذکر, مرد, پسر, پسر: پوست روشن, پوست روشن
👦🏽	مذکر, مرد, پسر, پسر: پوست طلایی, پوست طلایی
👦🏾	مذکر, مرد, پسر, پسر: پوست گندمی, پوست گندمی
👦🏿	مذکر, مرد, پسر, پسر: پوست آبنوسی, پوست آبنوسی
👧🏻	باکره, دختر, دختر: پوست سفید, دوشیزه, پوست سفید
👧🏼	باکره, دختر, دختر: پوست روشن, دوشیزه, پوست روشن
👧🏽	باکره, دختر, دختر: پوست طلایی, دوشیزه, پوست طلایی
👧🏾	باکره, دختر, دختر: پوست گندمی, دوشیزه, پوست گندمی
👧🏿	باکره, دختر, دختر: پوست آبنوسی, دوشیزه, پوست آبنوسی
🧑🏻	بزرگسال, بزرگسال: پوست سفید, جنس خنثی, پوست سفید
🧑🏼	بزرگسال, بزرگسال: پوست روشن, جنس خنثی, پوست روشن
🧑🏽	بزرگسال, بزرگسال: پوست طلایی, جنس خنثی, پوست طلایی
🧑🏾	بزرگسال, بزرگسال: پوست گندمی, جنس خنثی, پوست گندمی
🧑🏿	بزرگسال, بزرگسال: پوست آبنوسی, جنس خنثی, پوست آبنوسی
👨🏻	آقا, مرد, مرد: پوست سفید, پوست سفید
👨🏼	آقا, مرد, مرد: پوست روشن, پوست روشن
👨🏽	آقا, مرد, مرد: پوست طلایی, پوست طلایی
👨🏾	آقا, مرد, مرد: پوست گندمی, پوست گندمی
👨🏿	آقا, مرد, مرد: پوست آبنوسی, پوست آبنوسی
👨‍🦰	آقا, مرد, مرد: موقرمز, موقرمز
👨🏻‍🦰	آقا, مرد, مرد: پوست سفید،‏ موقرمز, موقرمز, پوست سفید
👨🏼‍🦰	آقا, مرد, مرد: پوست روشن،‏ موقرمز, موقرمز, پوست روشن
👨🏽‍🦰	آقا, مرد, مرد: پوست طلایی،‏ موقرمز, موقرمز, پوست طلایی
👨🏾‍🦰	آقا, مرد, مرد: پوست گندمی،‏ موقرمز, موقرمز, پوست گندمی
👨🏿‍🦰	آقا, مرد, مرد: پوست آبنوسی،‏ موقرمز, موقرمز, پوست آبنوسی
👨‍🦱	آقا, مرد, مرد: موفرفری, موفرفری
👨🏻‍🦱	آقا, مرد, مرد: پوست سفید،‏ موفرفری, موفرفری, پوست سفید
👨🏼‍🦱	آقا, مرد, مرد: پوست روشن،‏ موفرفری, موفرفری, پوست روشن
👨🏽‍🦱	آقا, مرد, مرد: پوست طلایی،‏ موفرفری, موفرفری, پوست طلایی
👨🏾‍🦱	آقا, مرد, مرد: پوست گندمی،‏ موفرفری, موفرفری, پوست گندمی
👨🏿‍🦱	آقا, مرد, مرد: پوست آبنوسی،‏ موفرفری, موفرفری, پوست آبنوسی
👨‍🦲	آقا, تاس, مرد, مرد: تاس
👨🏻‍🦲	آقا, تاس, مرد, مرد: پوست سفید،‏ تاس, پوست سفید
👨🏼‍🦲	آقا, تاس, مرد, مرد: پوست روشن،‏ تاس, پوست روشن
👨🏽‍🦲	آقا, تاس, مرد, مرد: پوست طلایی،‏ تاس, پوست طلایی
👨🏾‍🦲	آقا, تاس, مرد, مرد: پوست گندمی،‏ تاس, پوست گندمی
👨🏿‍🦲	آقا, تاس, مرد, مرد: پوست آبنوسی،‏ تاس, پوست آبنوسی
👨‍🦳	آقا, مرد, مرد: موسفید, موسفید
👨🏻‍🦳	آقا, مرد, مرد: پوست سفید،‏ موسفید, موسفید, پوست سفید
👨🏼‍🦳	آقا, مرد, مرد: پوست روشن،‏ موسفید, موسفید, پوست روشن
👨🏽‍🦳	آقا, مرد, مرد: پوست طلایی،‏ موسفید, موسفید, پوست طلایی
👨🏾‍🦳	آقا, مرد, مرد: پوست گندمی،‏ موسفید, موسفید, پوست گندمی
👨🏿‍🦳	آقا, مرد, مرد: پوست آبنوسی،‏ موسفید, موسفید, پوست آبنوسی
👩🏻	خانم, زن, زن: پوست سفید, پوست سفید
👩🏼	خانم, زن, زن: پوست روشن, پوست روشن
👩🏽	خانم, زن, زن: پوست طلایی, پوست طلایی
👩🏾	خانم, زن, زن: پوست گندمی, پوست گندمی
👩🏿	خانم, زن, زن: پوست آبنوسی, پوست آبنوسی
👩‍🦰	خانم, زن, زن: موقرمز, موقرمز
👩🏻‍🦰	خانم, زن, زن: پوست سفید،‏ موقرمز, موقرمز, پوست سفید
👩🏼‍🦰	خانم, زن, زن: پوست روشن،‏ موقرمز, موقرمز, پوست روشن
👩🏽‍🦰	خانم, زن, زن: پوست طلایی،‏ موقرمز, موقرمز, پوست طلایی
👩🏾‍🦰	خانم, زن, زن: پوست گندمی،‏ موقرمز, موقرمز, پوست گندمی
👩🏿‍🦰	خانم, زن, زن: پوست آبنوسی،‏ موقرمز, موقرمز, پوست آبنوسی
👩‍🦱	خانم, زن, زن: موفرفری, موفرفری
👩🏻‍🦱	خانم, زن, زن: پوست سفید،‏ موفرفری, موفرفری, پوست سفید
👩🏼‍🦱	خانم, زن, زن: پوست روشن،‏ موفرفری, موفرفری, پوست روشن
👩🏽‍🦱	خانم, زن, زن: پوست طلایی،‏ موفرفری, موفرفری, پوست طلایی
👩🏾‍🦱	خانم, زن, زن: پوست گندمی،‏ موفرفری, موفرفری, پوست گندمی
👩🏿‍🦱	خانم, زن, زن: پوست آبنوسی،‏ موفرفری, موفرفری, پوست آبنوسی
👩‍🦲	تاس, خانم, زن, زن: تاس
👩🏻‍🦲	تاس, خانم, زن, زن: پوست سفید،‏ تاس, پوست سفید
👩🏼‍🦲	تاس, خانم, زن, زن: پوست روشن،‏ تاس, پوست روشن
👩🏽‍🦲	تاس, خانم, زن, زن: پوست طلایی،‏ تاس, پوست طلایی
👩🏾‍🦲	تاس, خانم, زن, زن: پوست گندمی،‏ تاس, پوست گندمی
👩🏿‍🦲	تاس, خانم, زن, زن: پوست آبنوسی،‏ تاس, پوست آبنوسی
👩‍🦳	خانم, زن, زن: موسفید, موسفید
👩🏻‍🦳	خانم, زن, زن: پوست سفید،‏ موسفید, موسفید, پوست سفید
👩🏼‍🦳	خانم, زن, زن: پوست روشن،‏ موسفید, موسفید, پوست روشن
👩🏽‍🦳	خانم, زن, زن: پوست طلایی،‏ موسفید, موسفید, پوست طلایی
👩🏾‍🦳	خانم, زن, زن: پوست گندمی،‏ موسفید, موسفید, پوست گندمی
👩🏿‍🦳	خانم, زن, زن: پوست آبنوسی،‏ موسفید, موسفید, پوست آبنوسی
🧓🏻	جنس خنثی, مسن, میان‌سال, میان‌سال: پوست سفید, پوست سفید, پیر
🧓🏼	جنس خنثی, مسن, میان‌سال, میان‌سال: پوست روشن, پوست روشن, پیر
🧓🏽	جنس خنثی, مسن, میان‌سال, میان‌سال: پوست طلایی, پوست طلایی, پیر
🧓🏾	جنس خنثی, مسن, میان‌سال, میان‌سال: پوست گندمی, پوست گندمی, پیر
🧓🏿	جنس خنثی, مسن, میان‌سال, میان‌سال: پوست آبنوسی, پوست آبنوسی, پیر
👴🏻	مرد, پوست سفید, پیر, پیرمرد, پیرمرد: پوست سفید
👴🏼	مرد, پوست روشن, پیر, پیرمرد, پیرمرد: پوست روشن
👴🏽	مرد, پوست طلایی, پیر, پیرمرد, پیرمرد: پوست طلایی
👴🏾	مرد, پوست گندمی, پیر, پیرمرد, پیرمرد: پوست گندمی
👴🏿	مرد, پوست آبنوسی, پیر, پیرمرد, پیرمرد: پوست آبنوسی
👵🏻	زن, پوست سفید, پیر, پیرزن, پیرزن: پوست سفید
👵🏼	زن, پوست روشن, پیر, پیرزن, پیرزن: پوست روشن
👵🏽	زن, پوست طلایی, پیر, پیرزن, پیرزن: پوست طلایی
👵🏾	زن, پوست گندمی, پیر, پیرزن, پیرزن: پوست گندمی
👵🏿	زن, پوست آبنوسی, پیر, پیرزن, پیرزن: پوست آبنوسی
👨🏻‍⚕	مددکار, مددکار بهداشت, مددکار بهداشت آقا, مددکار بهداشت مرد, مددکار بهداشت مرد: پوست سفید, پوست سفید
👨🏼‍⚕	مددکار, مددکار بهداشت, مددکار بهداشت آقا, مددکار بهداشت مرد, مددکار بهداشت مرد: پوست روشن, پوست روشن
👨🏽‍⚕	مددکار, مددکار بهداشت, مددکار بهداشت آقا, مددکار بهداشت مرد, مددکار بهداشت مرد: پوست طلایی, پوست طلایی
👨🏾‍⚕	مددکار, مددکار بهداشت, مددکار بهداشت آقا, مددکار بهداشت مرد, مددکار بهداشت مرد: پوست گندمی, پوست گندمی
👨🏿‍⚕	مددکار, مددکار بهداشت, مددکار بهداشت آقا, مددکار بهداشت مرد, مددکار بهداشت مرد: پوست آبنوسی, پوست آبنوسی
👩🏻‍⚕	مددکار, مددکار بهداشت, مددکار بهداشت خانم, مددکار بهداشت زن, مددکار بهداشت زن: پوست سفید, پوست سفید
👩🏼‍⚕	مددکار, مددکار بهداشت, مددکار بهداشت خانم, مددکار بهداشت زن, مددکار بهداشت زن: پوست روشن, پوست روشن
👩🏽‍⚕	مددکار, مددکار بهداشت, مددکار بهداشت خانم, مددکار بهداشت زن, مددکار بهداشت زن: پوست طلایی, پوست طلایی
👩🏾‍⚕	مددکار, مددکار بهداشت, مددکار بهداشت خانم, مددکار بهداشت زن, مددکار بهداشت زن: پوست گندمی, پوست گندمی
👩🏿‍⚕	مددکار, مددکار بهداشت, مددکار بهداشت خانم, مددکار بهداشت زن, مددکار بهداشت زن: پوست آبنوسی, پوست آبنوسی
👨🏻‍🎓	دانشجو, دانشجوی مرد, دانشجوی مرد: پوست سفید, دانش‌آموز, شاگرد, فارغ‌التحصیل, محصل, پوست سفید
👨🏼‍🎓	دانشجو, دانشجوی مرد, دانشجوی مرد: پوست روشن, دانش‌آموز, شاگرد, فارغ‌التحصیل, محصل, پوست روشن
👨🏽‍🎓	دانشجو, دانشجوی مرد, دانشجوی مرد: پوست طلایی, دانش‌آموز, شاگرد, فارغ‌التحصیل, محصل, پوست طلایی
👨🏾‍🎓	دانشجو, دانشجوی مرد, دانشجوی مرد: پوست گندمی, دانش‌آموز, شاگرد, فارغ‌التحصیل, محصل, پوست گندمی
👨🏿‍🎓	دانشجو, دانشجوی مرد, دانشجوی مرد: پوست آبنوسی, دانش‌آموز, شاگرد, فارغ‌التحصیل, محصل, پوست آبنوسی
👩🏻‍🎓	دانشجو, دانشجوی زن, دانشجوی زن: پوست سفید, دانش‌آموز, شاگرد, فارغ‌التحصیل, محصل, پوست سفید
👩🏼‍🎓	دانشجو, دانشجوی زن, دانشجوی زن: پوست روشن, دانش‌آموز, شاگرد, فارغ‌التحصیل, محصل, پوست روشن
👩🏽‍🎓	دانشجو, دانشجوی زن, دانشجوی زن: پوست طلایی, دانش‌آموز, شاگرد, فارغ‌التحصیل, محصل, پوست طلایی
👩🏾‍🎓	دانشجو, دانشجوی زن, دانشجوی زن: پوست گندمی, دانش‌آموز, شاگرد, فارغ‌التحصیل, محصل, پوست گندمی
👩🏿‍🎓	دانشجو, دانشجوی زن, دانشجوی زن: پوست آبنوسی, دانش‌آموز, شاگرد, فارغ‌التحصیل, محصل, پوست آبنوسی
👨🏻‍🏫	آقای معلم, آموزگار مرد, آموزگار مرد: پوست سفید, استاد, دبیر, مدرس, معلم, پوست سفید
👨🏼‍🏫	آقای معلم, آموزگار مرد, آموزگار مرد: پوست روشن, استاد, دبیر, مدرس, معلم, پوست روشن
👨🏽‍🏫	آقای معلم, آموزگار مرد, آموزگار مرد: پوست طلایی, استاد, دبیر, مدرس, معلم, پوست طلایی
👨🏾‍🏫	آقای معلم, آموزگار مرد, آموزگار مرد: پوست گندمی, استاد, دبیر, مدرس, معلم, پوست گندمی
👨🏿‍🏫	آقای معلم, آموزگار مرد, آموزگار مرد: پوست آبنوسی, استاد, دبیر, مدرس, معلم, پوست آبنوسی
👩🏻‍🏫	آموزگار زن, آموزگار زن: پوست سفید, استاد, خانم معلم, دبیر, مدرس, معلم, پوست سفید
👩🏼‍🏫	آموزگار زن, آموزگار زن: پوست روشن, استاد, خانم معلم, دبیر, مدرس, معلم, پوست روشن
👩🏽‍🏫	آموزگار زن, آموزگار زن: پوست طلایی, استاد, خانم معلم, دبیر, مدرس, معلم, پوست طلایی
👩🏾‍🏫	آموزگار زن, آموزگار زن: پوست گندمی, استاد, خانم معلم, دبیر, مدرس, معلم, پوست گندمی
👩🏿‍🏫	آموزگار زن, آموزگار زن: پوست آبنوسی, استاد, خانم معلم, دبیر, مدرس, معلم, پوست آبنوسی
👨🏻‍⚖	آقای قاضی, آقای وکیل, دادرس, دادستان, دادگاه, قاضی مرد, قاضی مرد: پوست سفید, وکیل, پوست سفید
👨🏼‍⚖	آقای قاضی, آقای وکیل, دادرس, دادستان, دادگاه, قاضی مرد, قاضی مرد: پوست روشن, وکیل, پوست روشن
👨🏽‍⚖	آقای قاضی, آقای وکیل, دادرس, دادستان, دادگاه, قاضی مرد, قاضی مرد: پوست طلایی, وکیل, پوست طلایی
👨🏾‍⚖	آقای قاضی, آقای وکیل, دادرس, دادستان, دادگاه, قاضی مرد, قاضی مرد: پوست گندمی, وکیل, پوست گندمی
👨🏿‍⚖	آقای قاضی, آقای وکیل, دادرس, دادستان, دادگاه, قاضی مرد, قاضی مرد: پوست آبنوسی, وکیل, پوست آبنوسی
👩🏻‍⚖	خانم قاضی, خانم وکیل, دادرس, دادگاه, قاضی زن, قاضی زن: پوست سفید, وکیل, پوست سفید
👩🏼‍⚖	خانم قاضی, خانم وکیل, دادرس, دادگاه, قاضی زن, قاضی زن: پوست روشن, وکیل, پوست روشن
👩🏽‍⚖	خانم قاضی, خانم وکیل, دادرس, دادگاه, قاضی زن, قاضی زن: پوست طلایی, وکیل, پوست طلایی
👩🏾‍⚖	خانم قاضی, خانم وکیل, دادرس, دادگاه, قاضی زن, قاضی زن: پوست گندمی, وکیل, پوست گندمی
👩🏿‍⚖	خانم قاضی, خانم وکیل, دادرس, دادگاه, قاضی زن, قاضی زن: پوست آبنوسی, وکیل, پوست آبنوسی
👨🏻‍🌾	برزگر, خوشه برنج, دهقان, زارع, پوست سفید, کشاورز مرد, کشاورز مرد: پوست سفید, کشت
👨🏼‍🌾	برزگر, خوشه برنج, دهقان, زارع, پوست روشن, کشاورز مرد, کشاورز مرد: پوست روشن, کشت
👨🏽‍🌾	برزگر, خوشه برنج, دهقان, زارع, پوست طلایی, کشاورز مرد, کشاورز مرد: پوست طلایی, کشت
👨🏾‍🌾	برزگر, خوشه برنج, دهقان, زارع, پوست گندمی, کشاورز مرد, کشاورز مرد: پوست گندمی, کشت
👨🏿‍🌾	برزگر, خوشه برنج, دهقان, زارع, پوست آبنوسی, کشاورز مرد, کشاورز مرد: پوست آبنوسی, کشت
👩🏻‍🌾	برزگر, خوشه برنج, دهقان, زارع, پوست سفید, کشاورز زن, کشاورز زن: پوست سفید, کشت
👩🏼‍🌾	برزگر, خوشه برنج, دهقان, زارع, پوست روشن, کشاورز زن, کشاورز زن: پوست روشن, کشت
👩🏽‍🌾	برزگر, خوشه برنج, دهقان, زارع, پوست طلایی, کشاورز زن, کشاورز زن: پوست طلایی, کشت
👩🏾‍🌾	برزگر, خوشه برنج, دهقان, زارع, پوست گندمی, کشاورز زن, کشاورز زن: پوست گندمی, کشت
👩🏿‍🌾	برزگر, خوشه برنج, دهقان, زارع, پوست آبنوسی, کشاورز زن, کشاورز زن: پوست آبنوسی, کشت
👨🏻‍🍳	آشپز مرد, آشپز مرد: پوست سفید, آشپزی, سرآشپز, شف, پخت و پز, پوست سفید
👨🏼‍🍳	آشپز مرد, آشپز مرد: پوست روشن, آشپزی, سرآشپز, شف, پخت و پز, پوست روشن
👨🏽‍🍳	آشپز مرد, آشپز مرد: پوست طلایی, آشپزی, سرآشپز, شف, پخت و پز, پوست طلایی
👨🏾‍🍳	آشپز مرد, آشپز مرد: پوست گندمی, آشپزی, سرآشپز, شف, پخت و پز, پوست گندمی
👨🏿‍🍳	آشپز مرد, آشپز مرد: پوست آبنوسی, آشپزی, سرآشپز, شف, پخت و پز, پوست آبنوسی
👩🏻‍🍳	آشپز زن, آشپز زن: پوست سفید, آشپزی, سرآشپز, شف, پخت و پز, پوست سفید
👩🏼‍🍳	آشپز زن, آشپز زن: پوست روشن, آشپزی, سرآشپز, شف, پخت و پز, پوست روشن
👩🏽‍🍳	آشپز زن, آشپز زن: پوست طلایی, آشپزی, سرآشپز, شف, پخت و پز, پوست طلایی
👩🏾‍🍳	آشپز زن, آشپز زن: پوست گندمی, آشپزی, سرآشپز, شف, پخت و پز, پوست گندمی
👩🏿‍🍳	آشپز زن, آشپز زن: پوست آبنوسی, آشپزی, سرآشپز, شف, پخت و پز, پوست آبنوسی
👨🏻‍🔧	برق‌کار, تعمیرکار مرد, تعمیرکار مرد: پوست سفید, لوله‌کش, مکانیک, پوست سفید, کارگر
👨🏼‍🔧	برق‌کار, تعمیرکار مرد, تعمیرکار مرد: پوست روشن, لوله‌کش, مکانیک, پوست روشن, کارگر
👨🏽‍🔧	برق‌کار, تعمیرکار مرد, تعمیرکار مرد: پوست طلایی, لوله‌کش, مکانیک, پوست طلایی, کارگر
👨🏾‍🔧	برق‌کار, تعمیرکار مرد, تعمیرکار مرد: پوست گندمی, لوله‌کش, مکانیک, پوست گندمی, کارگر
👨🏿‍🔧	برق‌کار, تعمیرکار مرد, تعمیرکار مرد: پوست آبنوسی, لوله‌کش, مکانیک, پوست آبنوسی, کارگر
👩🏻‍🔧	برق‌کار, تعمیرکار زن, تعمیرکار زن: پوست سفید, لوله‌کش, مکانیک, پوست سفید, کارگر
👩🏼‍🔧	برق‌کار, تعمیرکار زن, تعمیرکار زن: پوست روشن, لوله‌کش, مکانیک, پوست روشن, کارگر
👩🏽‍🔧	برق‌کار, تعمیرکار زن, تعمیرکار زن: پوست طلایی, لوله‌کش, مکانیک, پوست طلایی, کارگر
👩🏾‍🔧	برق‌کار, تعمیرکار زن, تعمیرکار زن: پوست گندمی, لوله‌کش, مکانیک, پوست گندمی, کارگر
👩🏿‍🔧	برق‌کار, تعمیرکار زن, تعمیرکار زن: پوست آبنوسی, لوله‌کش, مکانیک, پوست آبنوسی, کارگر
👨🏻‍🏭	عمله, پوست سفید, کارگر, کارگر کارخانه, کارگر کارخانه مرد, کارگر کارخانه مرد: پوست سفید
👨🏼‍🏭	عمله, پوست روشن, کارگر, کارگر کارخانه, کارگر کارخانه مرد, کارگر کارخانه مرد: پوست روشن
👨🏽‍🏭	عمله, پوست طلایی, کارگر, کارگر کارخانه, کارگر کارخانه مرد, کارگر کارخانه مرد: پوست طلایی
👨🏾‍🏭	عمله, پوست گندمی, کارگر, کارگر کارخانه, کارگر کارخانه مرد, کارگر کارخانه مرد: پوست گندمی
👨🏿‍🏭	عمله, پوست آبنوسی, کارگر, کارگر کارخانه, کارگر کارخانه مرد, کارگر کارخانه مرد: پوست آبنوسی
👩🏻‍🏭	عمله, پوست سفید, کارگر, کارگر کارخانه, کارگر کارخانه زن, کارگر کارخانه زن: پوست سفید
👩🏼‍🏭	عمله, پوست روشن, کارگر, کارگر کارخانه, کارگر کارخانه زن, کارگر کارخانه زن: پوست روشن
👩🏽‍🏭	عمله, پوست طلایی, کارگر, کارگر کارخانه, کارگر کارخانه زن, کارگر کارخانه زن: پوست طلایی
👩🏾‍🏭	عمله, پوست گندمی, کارگر, کارگر کارخانه, کارگر کارخانه زن, کارگر کارخانه زن: پوست گندمی
👩🏿‍🏭	عمله, پوست آبنوسی, کارگر, کارگر کارخانه, کارگر کارخانه زن, کارگر کارخانه زن: پوست آبنوسی
👨🏻‍💼	تاجر, مدیر, مهندس, پوست سفید, کارمند اداری, کارمند مرد, کارمند مرد: پوست سفید
👨🏼‍💼	تاجر, مدیر, مهندس, پوست روشن, کارمند اداری, کارمند مرد, کارمند مرد: پوست روشن
👨🏽‍💼	تاجر, مدیر, مهندس, پوست طلایی, کارمند اداری, کارمند مرد, کارمند مرد: پوست طلایی
👨🏾‍💼	تاجر, مدیر, مهندس, پوست گندمی, کارمند اداری, کارمند مرد, کارمند مرد: پوست گندمی
👨🏿‍💼	تاجر, مدیر, مهندس, پوست آبنوسی, کارمند اداری, کارمند مرد, کارمند مرد: پوست آبنوسی
