🏻	hudfarve, lys teint, type 1–2
🏼	hudfarve, medium til lys teint, type 3
🏽	hudfarve, medium teint, type 4
🏾	hudfarve, medium til mørk teint, type 5
🏿	hudfarve, mørk teint, type 6
😀	glad, grinende ansigt, smilende ansigt, smiley
😁	ansigt der griner, glad, smiley, strålende ansigt med smilende øjne
😂	ansigt med glædestårer, glad, glæde, tårer
🤣	ansigt, griner, gulv, ler, ruller, ruller rundt på gulvet af grin
😃	glad, grinende ansigt med store øjne, smiler, smiley
😄	glad, grinende ansigt med smilende øjne, smil, smiley, smileøjne
😅	grine, grinende ansigt med sveddråbe, sved, åben mund
😆	glad, grinende ansigt med lukkede øjne, grinende ansigt med åben mund og lukkede øjne, lukkede øjne, smil, smil med lukkede øjne
😉	ansigt, ansigt der blinker, blink, blinkende ansigt
😊	smil med smileøjne, smilende ansigt og øjne, smileøjne
😋	ansigt, god mad, nydende ansigt, smil
😎	cool, sej, smil med solbriller, smilende ansigt med solbriller, solbriller
😍	hjerter, hjerteøjne, kærlighed, smilende ansigt med hjerteøjne
😘	ansigt, kyssende ansigt, sender kys
🥰	forelsket, forgude, kærlighed, smilende ansigt med tre hjerter, være lun på
😗	ansigt, kys, kysseansigt, kysser
😙	ansigt, kysseansigt med smilende øjne, smilende øjne
😚	ansigt, kys, kysseansigt med lukkede øjne, lukkede øjne
🙂	ansigt, let smilende ansigt, smil
🤗	ansigt, knus, knuser, kram, kramme, krammende ansigt
🤩	ansigt, benovet, leende, stjerne, øjne
🤔	ansigt, tanker, tænkende, tænkende ansigt
🤨	ansigt med løftet øjenbryn, mistro, skepsis
😑	ingen kommentar, pokeransigt, udtryksløst ansigt
😶	ansigt, ansigt uden mund, mund, stille, tavs
🙄	ansigt, ansigt med rullende øjne, rullende, øjne
😏	ansigt, ansigt med smørret grin, smørret
😣	stædigt ansigt, udholdenhed
😥	puha, skuffet med lettet, skuffet men lettet ansigt
😮	ansigt, ansigt med åben mund
🤐	ansigt, ansigt med lynlåsmund, lynlås, mund
😯	stille ansigt, tavst ansigt
😪	ansigt, dyb søvn, søvnigt ansigt, træt
😫	ansigt, træt ansigt
😴	ansigt, sove, sovende ansigt, søvn, zzz
😌	ansigt, lettelse, lettet ansigt
😛	ansigt, ansigt med tungen ude, række tunge
😜	ansigt med tungen ude og blinkende øje, blink, blinke, drille, række tunge
😝	ansigt, ansigt med tungen ude og sammenknebne øjne, rækker tunge
🤤	ansigt, savl, savlende ansigt, savler
😒	ansigt, ikke glad, uimponeret ansigt
😓	ansigt, ansigt med koldsved
😔	ansigt, eftertænksom, eftertænksomt ansigt, nedslået
😕	ansigt, forvirret ansigt
🙃	ansigt, omvendt, omvendt ansigt, på hovedet
🤑	ansigt, ansigt med dollartegn, mund, penge
😲	chokeret, overrasket ansigt
🙁	ansigt, lidt trist ansigt, trist
😖	ansigt, forbandet, forbistret ansigt
😞	ansigt, skuffet ansigt
😟	ansigt, bekymret, bekymret ansigt, bekymring
😤	fnysende ansigt, hånligt ansigt, jeg vandt
😢	ansigt, grædende ansigt, ked af det, tårer
😭	græde, hulke, stortude, stortudende ansigt, ulykkelig
😦	ansigt, måbende ansigt med åben mund, åben mund
😧	ansigt, forpint ansigt, lider, smerte
😨	bange ansigt, frygt
😩	udkørt, udmattet, udmattet ansigt
🤯	chokeret, hoved, der eksploderer
😬	ansigt, lave grimasse, sammenbidt ansigt
😰	ansigt med åben mund og koldsved, blå i ansigtet, koldsved, åben mund
😱	angst, skrigende ansigt, skriget
🥵	feber, hedeslag, rød i hovedet, svede, svedende ansigt, varm
🥶	blåfrossen, forfrysning, fryse, frysende ansigt, istap, kold
😳	omtumlet, røde kinder, rødme, rødmende ansigt, ør
🤪	fjoget, fjollet, lille, skørt ansigt, stort, øje
😵	ansigt, svimmel, svimmelt ansigt, ør
😡	rød, surt ansigt, vred, vredt ansigt
😠	ansigt, vred, vredt ansigt
🤬	ansigt med symboler på munden, bande
😷	ansigt med mundbind, doktor, forkølet, læge, maske, mundbind, syg
🤒	ansigt, ansigt med termometer, syg, termometer
🤕	ansigt, ansigt med bandage, bandage, skade, smerte
🤢	ansigt med kvalme, bræk, kaste op, kvalme, opkast, syg
🤮	ansigt, der kaster op, opkast, syg
🤧	forkølet, lommetørklæde, nys, nysende ansigt, nyser, prosit, pudser næse, syg, sygdom
😇	engel, glorie, smil, smilende ansigt med glorie, uskyldig
🤠	ansigt, ansigt med cowboyhat, cowboy, cowboyhat, cowgirl, hat
🥳	fejring, fest, festansigt, hat, truthorn
🥴	beruset, bølget mund, småfuld, svimmel, uens øjne, ørt ansigt
🥺	barmhjertighed, bede, bønfaldende ansigt, hundeøjne, trygle
🤥	ansigt, lang næse, lyver, løgn, løgneransigt, pinocchio
🤫	stille, tysse, tyssende ansigt
🤭	ansigt med hånd over munden, ups
🧐	ansigt med monokel, gammeldags
🤓	ansigt, nørd, nørdansigt
😈	fantasi, glad lilla djævel, griner, smil
👿	dæmon, horn, sur, sur lilla djævel
🤡	ansigt, klovn, klovneansigt
👹	japansk uhyre, monster, trold
👺	japansk ånd, ånd
💀	dødningehoved, kranie, kranium
👻	ansigt, eventyr, fantasi, gespenst, monster, spøgelse, væsen
👾	alien, alien-monster, rummet, rumvæsen, ufo
🤖	ansigt, monster, robot, robotansigt
💩	bunke bæ, bæ, dynge lort, lort
😺	glad kat, smilende kat
😸	grinende kat, kat
😹	kat, kat med glædestårer
😻	glad kat med hjerteøjne, kat smiler
😼	ironisk kat, kat med ironisk smil
😽	kat, kyssende kat, kysser
🙀	chokeret kat, overrasket kat
😿	grædende kat, kat græder
😾	sur kat, surmulende kat
🙈	ikke se, tre vise aber
🙉	ikke høre, tre vise aber
🙊	ikke tale, tre vise aber
👶	baby, barn, menneske
🧒	barn, ungt menneske
👦	dreng, menneske, person, ung
👧	menneske, person, pige, ung
🧑	person, voksen
👱	blond person, menneske
