🏻	tipo 1–2, ton de pel, ton de pel moi claro
🏼	tipo 3, ton de pel, ton de pel claro
🏽	tipo 4, ton de pel, ton de pel medio
🏾	tipo 5, ton de pel, ton de pel escuro
🏿	tipo 6, ton de pel, ton de pel moi escuro
😀	cara, cara moi riseira, sorriso
😁	cara, cara radiante cos ollos alegres, ollos, sorriso
😂	alegría, bágoas, cara, cara chorando de risa
🤣	cara, cara esmendrellándose de risa, esmendrellarse, gargallada, risa
😃	aberta, boca, cara, cara moi riseira con ollos grandes, sorriso
😄	boca, cara, cara moi riseira cos ollos alegres, ollos, sorriso
😅	boca, cara, cara moi riseira cunha pinga de suor, sorriso, suor
😆	cara, cara rindo ás gargalladas, ollos pechados, risa
😉	cara, cara chiscando un ollo, chiscadela, ollo
😊	alegre, cara alegre con ollos riseiros, ollos, sorriso
😋	cara, cara de saborear algo delicioso, delicioso, rico, saborear
😎	cara, cara riseira con lentes de sol, lentes de sol, sorriso
😍	amor, cara, cara con ollos en forma de corazón, corazóns, sorriso
😘	bico, cara, cara mandando un bico, corazón
🥰	amor, cara riseira con corazóns, enc´ántame, namorada, namorado
😗	bico, cara, cara dando un bico
😙	bico, cara, cara dando un bico con ollos riseiros, ollos
😚	bico, cara, cara dando un bico cos ollos pechados, coloretes, ollos
☺	cara, cara riseira, sorriso
🙂	cara, cara cun leve sorriso, sorriso
🤗	abrazo, cara, cara dando un abrazo
🤩	cara, cara con ollos en forma de estrela, estrela, felicidade, ollos
🤔	cara, cara pensativa, pensar
🤨	cara cunha cella levantada, cella, desconfianza, escepticismo
😐	cara, cara neutra, neutra
😑	cara, cara inexpresiva, inexpresiva
😶	boca, calar, cara, cara sen boca, silencio
🙄	cara, cara cos ollos en branco, ollos en branco
😏	cara, cara con sorriso malicioso, malicia, sorriso
😣	cara, cara de estragalo todo, estragar, perseverante
😥	alivio, cara, cara triste pero aliviada, decepción, pinga, suor
😮	boca aberta, cara, cara coa boca aberta
🤐	boca, cara, cara coa boca pechada cunha cremalleira, cremalleira, silencio
😯	cara, cara estupefacta, estupefacto, pasmo
😪	cara, cara de sono, sono
😫	cansa, cansazo, canso, cara, cara de cansazo
😴	cara, cara durmindo, durmir, sono
😌	alivio, cara, cara de alivio
😛	broma, cara, cara sacando a lingua, lingua
😜	broma, cara, cara sacando a lingua e chiscando un ollo, chiscadela, lingua
😝	cara, cara sacando a lingua e cos ollos pechados, lingua, noxo, ollos pechados
🤤	baba, babas, babexar, cara, cara babexando
😒	aburrido, cara, cara de que non ten graza, desagrado, desaprobación
😓	cara, cara con suor fría, suor fría
😔	cara, cara desanimada, desánimo, pensativo, triste
😕	cara, cara confusa, confusa, confusión, confuso
🙃	cara, cara ao revés, revés
🤑	cara, cara de pensar en cartos, cartos, diñeiro
😲	abraio, asombro, cara, cara abraiada
☹	cara, cara moi triste, decepción, triste, tristeza
🙁	cara, cara triste, triste, tristeza
😖	cara, cara de frustración, frustración, frustrado
😞	cara, cara de decepción, decepcionado, decepción, desilusión
😟	cara, cara de preocupación, preocupación, preocupado
😤	botar fume, cabreo, cara, cara botando fume, enfado
😢	bágoa, cara, cara chorando, chorar, triste
😭	bágoas, cara, cara chorando desconsoladamente, chorar, desconsolo
😦	aberta, boca, cara, cara triste coa boca aberta, triste
😧	angustia, cara, cara de angustia, sufrimento
😨	cara, cara de medo, medo, terror
