🦵🏻	kopať, kopnúť, noha, noha: svetlý tón pleti, svetlý tón pleti
🦵🏼	kopať, kopnúť, noha, noha: stredne svetlý tón pleti, stredne svetlý tón pleti
🦵🏽	kopať, kopnúť, noha, noha: stredný tón pleti, stredný tón pleti
🦵🏾	kopať, kopnúť, noha, noha: stredne tmavý tón pleti, stredne tmavý tón pleti
🦵🏿	kopať, kopnúť, noha, noha: tmavý tón pleti, tmavý tón pleti
🦶🏻	chodidlo, chodidlo: svetlý tón pleti, dupať, kopať, svetlý tón pleti
🦶🏼	chodidlo, chodidlo: stredne svetlý tón pleti, dupať, kopať, stredne svetlý tón pleti
🦶🏽	chodidlo, chodidlo: stredný tón pleti, dupať, kopať, stredný tón pleti
🦶🏾	chodidlo, chodidlo: stredne tmavý tón pleti, dupať, kopať, stredne tmavý tón pleti
🦶🏿	chodidlo, chodidlo: tmavý tón pleti, dupať, kopať, tmavý tón pleti
🦸🏻	hrdina, hrdinka, superschopnosť, superčlovek, superčlovek: svetlý tón pleti, svetlý tón pleti
🦸🏼	hrdina, hrdinka, stredne svetlý tón pleti, superschopnosť, superčlovek, superčlovek: stredne svetlý tón pleti
🦸🏽	hrdina, hrdinka, stredný tón pleti, superschopnosť, superčlovek, superčlovek: stredný tón pleti
🦸🏾	hrdina, hrdinka, stredne tmavý tón pleti, superschopnosť, superčlovek, superčlovek: stredne tmavý tón pleti
🦸🏿	hrdina, hrdinka, superschopnosť, superčlovek, superčlovek: tmavý tón pleti, tmavý tón pleti
🦸🏻‍♀	hrdinka, superschopnosť, superžena, superžena: svetlý tón pleti, svetlý tón pleti, žena
🦸🏼‍♀	hrdinka, stredne svetlý tón pleti, superschopnosť, superžena, superžena: stredne svetlý tón pleti, žena
🦸🏽‍♀	hrdinka, stredný tón pleti, superschopnosť, superžena, superžena: stredný tón pleti, žena
🦸🏾‍♀	hrdinka, stredne tmavý tón pleti, superschopnosť, superžena, superžena: stredne tmavý tón pleti, žena
🦸🏿‍♀	hrdinka, superschopnosť, superžena, superžena: tmavý tón pleti, tmavý tón pleti, žena
🦸🏻‍♂	hrdina, muž, supermuž, supermuž: svetlý tón pleti, superschopnosť, svetlý tón pleti
🦸🏼‍♂	hrdina, muž, stredne svetlý tón pleti, supermuž, supermuž: stredne svetlý tón pleti, superschopnosť
🦸🏽‍♂	hrdina, muž, stredný tón pleti, supermuž, supermuž: stredný tón pleti, superschopnosť
🦸🏾‍♂	hrdina, muž, stredne tmavý tón pleti, supermuž, supermuž: stredne tmavý tón pleti, superschopnosť
🦸🏿‍♂	hrdina, muž, supermuž, supermuž: tmavý tón pleti, superschopnosť, tmavý tón pleti
🦹🏻	darebák, superdarebácka bytosť, superdarebácka bytosť: svetlý tón pleti, superschopnosť, svetlý tón pleti, zlo, zloduch, zločinec
🦹🏼	darebák, stredne svetlý tón pleti, superdarebácka bytosť, superdarebácka bytosť: stredne svetlý tón pleti, superschopnosť, zlo, zloduch, zločinec
🦹🏽	darebák, stredný tón pleti, superdarebácka bytosť, superdarebácka bytosť: stredný tón pleti, superschopnosť, zlo, zloduch, zločinec
🦹🏾	darebák, stredne tmavý tón pleti, superdarebácka bytosť, superdarebácka bytosť: stredne tmavý tón pleti, superschopnosť, zlo, zloduch, zločinec
🦹🏿	darebák, superdarebácka bytosť, superdarebácka bytosť: tmavý tón pleti, superschopnosť, tmavý tón pleti, zlo, zloduch, zločinec
🦹🏻‍♀	darebák, superdarebáčka, superdarebáčka: svetlý tón pleti, superschopnosť, svetlý tón pleti, zlo, zloduch, zločinec, žena
🦹🏼‍♀	darebák, stredne svetlý tón pleti, superdarebáčka, superdarebáčka: stredne svetlý tón pleti, superschopnosť, zlo, zloduch, zločinec, žena
🦹🏽‍♀	darebák, stredný tón pleti, superdarebáčka, superdarebáčka: stredný tón pleti, superschopnosť, zlo, zloduch, zločinec, žena
🦹🏾‍♀	darebák, stredne tmavý tón pleti, superdarebáčka, superdarebáčka: stredne tmavý tón pleti, superschopnosť, zlo, zloduch, zločinec, žena
🦹🏿‍♀	darebák, superdarebáčka, superdarebáčka: tmavý tón pleti, superschopnosť, tmavý tón pleti, zlo, zloduch, zločinec, žena
🦹🏻‍♂	darebák, muž, superdarebák, superdarebák: svetlý tón pleti, superschopnosť, svetlý tón pleti, zlo, zloduch, zločinec
🦹🏼‍♂	darebák, muž, stredne svetlý tón pleti, superdarebák, superdarebák: stredne svetlý tón pleti, superschopnosť, zlo, zloduch, zločinec
🦹🏽‍♂	darebák, muž, stredný tón pleti, superdarebák, superdarebák: stredný tón pleti, superschopnosť, zlo, zloduch, zločinec
🦹🏾‍♂	darebák, muž, stredne tmavý tón pleti, superdarebák, superdarebák: stredne tmavý tón pleti, superschopnosť, zlo, zloduch, zločinec
🦹🏿‍♂	darebák, muž, superdarebák, superdarebák: tmavý tón pleti, superschopnosť, tmavý tón pleti, zlo, zloduch, zločinec
👶🏻	bábä, bábätko, bábätko: svetlý tón pleti, svetlý tón pleti
👶🏼	bábä, bábätko, bábätko: stredne svetlý tón pleti, stredne svetlý tón pleti
👶🏽	bábä, bábätko, bábätko: stredný tón pleti, stredný tón pleti
👶🏾	bábä, bábätko, bábätko: stredne tmavý tón pleti, stredne tmavý tón pleti
👶🏿	bábä, bábätko, bábätko: tmavý tón pleti, tmavý tón pleti
🧒🏻	decko, dieťa, dieťa: svetlý tón pleti, svetlý tón pleti
🧒🏼	decko, dieťa, dieťa: stredne svetlý tón pleti, stredne svetlý tón pleti
🧒🏽	decko, dieťa, dieťa: stredný tón pleti, stredný tón pleti
🧒🏾	decko, dieťa, dieťa: stredne tmavý tón pleti, stredne tmavý tón pleti
🧒🏿	decko, dieťa, dieťa: tmavý tón pleti, tmavý tón pleti
👦🏻	chalan, chlapec, chlapec: svetlý tón pleti, svetlý tón pleti
👦🏼	chalan, chlapec, chlapec: stredne svetlý tón pleti, stredne svetlý tón pleti
👦🏽	chalan, chlapec, chlapec: stredný tón pleti, stredný tón pleti
👦🏾	chalan, chlapec, chlapec: stredne tmavý tón pleti, stredne tmavý tón pleti
👦🏿	chalan, chlapec, chlapec: tmavý tón pleti, tmavý tón pleti
👧🏻	dievča, dievča: svetlý tón pleti, panna, svetlý tón pleti
👧🏼	dievča, dievča: stredne svetlý tón pleti, panna, stredne svetlý tón pleti
👧🏽	dievča, dievča: stredný tón pleti, panna, stredný tón pleti
👧🏾	dievča, dievča: stredne tmavý tón pleti, panna, stredne tmavý tón pleti
👧🏿	dievča, dievča: tmavý tón pleti, panna, tmavý tón pleti
🧑🏻	dospelá, dospelý, dospelý: svetlý tón pleti, svetlý tón pleti
