🧒🏻	child, gender-neutral, light skin tone, toddler, unspecified gender, young
🧒🏼	child, gender-neutral, medium-light skin tone, toddler, unspecified gender, young
🧒🏽	child, gender-neutral, medium skin tone, toddler, unspecified gender, young
🧒🏾	child, gender-neutral, medium-dark skin tone, toddler, unspecified gender, young
🧒🏿	child, dark skin tone, gender-neutral, toddler, unspecified gender, young
👨🏻‍⚕	doctor, health care, light skin tone, man, man health worker, nurse, therapist
👨🏼‍⚕	doctor, health care, man, man health worker, medium-light skin tone, nurse, therapist
👨🏽‍⚕	doctor, health care, man, man health worker, medium skin tone, nurse, therapist
👨🏾‍⚕	doctor, health care, man, man health worker, medium-dark skin tone, nurse, therapist
👨🏿‍⚕	dark skin tone, doctor, health care, man, man health worker, nurse, therapist
👩🏻‍⚕	doctor, health care, light skin tone, nurse, therapist, woman, woman health worker
👩🏼‍⚕	doctor, health care, medium-light skin tone, nurse, therapist, woman, woman health worker
👩🏽‍⚕	doctor, health care, medium skin tone, nurse, therapist, woman, woman health worker
👩🏾‍⚕	doctor, health care, medium-dark skin tone, nurse, therapist, woman, woman health worker
👩🏿‍⚕	dark skin tone, doctor, health care, nurse, therapist, woman, woman health worker
👨🏻‍🌾	farmer, gardener, light skin tone, man, rancher
👨🏼‍🌾	farmer, gardener, man, medium-light skin tone, rancher
👨🏽‍🌾	farmer, gardener, man, medium skin tone, rancher
👨🏾‍🌾	farmer, gardener, man, medium-dark skin tone, rancher
👨🏿‍🌾	dark skin tone, farmer, gardener, man, rancher
👩🏻‍🌾	farmer, gardener, light skin tone, rancher, woman
👩🏼‍🌾	farmer, gardener, medium-light skin tone, rancher, woman
👩🏽‍🌾	farmer, gardener, medium skin tone, rancher, woman
👩🏾‍🌾	farmer, gardener, medium-dark skin tone, rancher, woman
👩🏿‍🌾	dark skin tone, farmer, gardener, rancher, woman
👨🏻‍🔧	electrician, light skin tone, man, mechanic, plumber, tradesperson
👨🏼‍🔧	electrician, man, mechanic, medium-light skin tone, plumber, tradesperson
👨🏽‍🔧	electrician, man, mechanic, medium skin tone, plumber, tradesperson
👨🏾‍🔧	electrician, man, mechanic, medium-dark skin tone, plumber, tradesperson
👨🏿‍🔧	dark skin tone, electrician, man, mechanic, plumber, tradesperson
👩🏻‍🔧	electrician, light skin tone, mechanic, plumber, tradesperson, woman
👩🏼‍🔧	electrician, mechanic, medium-light skin tone, plumber, tradesperson, woman
👩🏽‍🔧	electrician, mechanic, medium skin tone, plumber, tradesperson, woman
👩🏾‍🔧	electrician, mechanic, medium-dark skin tone, plumber, tradesperson, woman
👩🏿‍🔧	dark skin tone, electrician, mechanic, plumber, tradesperson, woman
👨🏻‍🚒	fire truck, firefighter, fireman, light skin tone, man
👨🏼‍🚒	fire truck, firefighter, fireman, man, medium-light skin tone
👨🏽‍🚒	fire truck, firefighter, fireman, man, medium skin tone
👨🏾‍🚒	fire truck, firefighter, fireman, man, medium-dark skin tone
👨🏿‍🚒	dark skin tone, fire truck, firefighter, fireman, man
👩🏻‍🚒	fire truck, firefighter, firewoman, light skin tone, woman
👩🏼‍🚒	fire truck, firefighter, firewoman, medium-light skin tone, woman
👩🏽‍🚒	fire truck, firefighter, firewoman, medium skin tone, woman
👩🏾‍🚒	fire truck, firefighter, firewoman, medium-dark skin tone, woman
👩🏿‍🚒	dark skin tone, fire truck, firefighter, firewoman, woman
