🏻	боја, кожа, модификатор на емотикона, тип на кожа 1–2
🏼	боја, кожа, модификатор на емотикона, тип на кожа 3
🏽	боја, кожа, модификатор на емотикона, тип на кожа 4
🏾	боја, кожа, модификатор на емотикона, тип на кожа 5
🏿	боја, кожа, модификатор на емотикона, тип на кожа 6
😀	лице, широка насмевка, широко насмеано лице
😁	лице, насмевка, око, широка насмевка, широко насмеано лице со насмеани очи
😂	лице, лице со солзи радосници, радост, смеа, солза
🤣	под, превртување од смеење, смеење, тркалање
😃	лице, насмеано лице со големи очи, насмевка, отворена, уста
😄	лице со отворена уста и насмеани очи, насмеано лице со отворена уста и насмеани очи, насмевка, отворена, очи, уста
😅	лице, насмеано лице со отворена уста и капка пот, насмеано лице со отворена уста и пот, насмевка, отворена, пот
😆	лице со отворена уста и затворени очи, насмеано лице со отворена уста и затворени очи, насмевка, отворена, очи, уста
😉	лице, лице што намигнува, намигнување
😊	вцрвенето, лице, насмеано лице со насмеани очи, насмевка, очи
😋	вкусно, лице, лице што ужива во вкусна храна, насмевка, ужива
😎	лице, насмеано лице со очила за сонце, насмевка, очила, сонце
😍	лице, насмеано лице со очи во облик на срца, насмевка, љубов
😘	бакнеж, лице, лице што испраќа бакнеж, срце, љубов
🥰	заљубен, насмеано лице со 3 срца, обожава, симпатија
😗	бакнеж, лице, лице што бакнува
😙	бакнеж, лице, лице што бакнува со насмеани очи, насмевка, очи
😚	бакнеж, затворени, лице, лице што бакнува со затворени очи, очи
☺	лице, насмеано лице, насмевка, релаксирано
🙂	блага, лице, лице со блага насмевка, мала, насмевка
🤗	гушкање, лице, лице што гушка, прегратка
🤩	лице, лице здогледува славна личност, очи, смеење, ѕвезда
🤔	лице, лице што размислува, мисли, размислува
🤨	лице со крената веѓа, недоверба, скептично
😐	лице, неутралност, рамнодушно лице, рамнодушност
😑	без израз, лице, лице без никаков израз, монотоно
😶	лице, лице без уста, молчи, тивко, уста
🙄	лице, лице што превртува очи, очи, превртува
😏	лице, лице со подбивна насмевка, насмевка, подбивно, самозадоволно
😣	издржливо лице, издржливост, истрајност, лице
😥	лице, олеснување, разочарано, но лице со олеснување, разочарување
😮	лице, лице со отворена уста, отворена, уста
🤐	лице, лице со закопчана уста, патент, уста
😯	замолчено, замолчено лице, зачудено, изненадено, лице
😪	лице, поспано лице, спиење
😫	лице, уморно, уморно лице
😴	заспано лице, ззз, лице, спиење
😌	лице, лице со олеснување, олеснување
😛	лице, лице со исплазен јазик, јазик
😜	лице, лице со исплазен јазик и намигнато око, намигнување, шега, јазик
😝	вкус, лице, лице со исплазен јазик и затворени очи, ужасно, јазик
🤤	лигавење, лице
