🏻	اسکن, ایموجی, تبدیل کار, جلد کی ہلکی رنگت, ٹون
🏼	اسکن, ایموجی, تبدیل کار, جلد کی درمیانی -ہلکی رنگت, ٹون
🏽	اسکن, ایموجی, تبدیل کار, جلد کی درمیانی رنگت, ٹون
🏾	اسکن, ایموجی, تبدیل کار, جلد کی درمیانی سیاہ رنگت, ٹون
🏿	اسکن, ایموجی, تبدیل کار, جلد کی سیاہ رنگت, ٹون
😀	منہ, چہرہ, کھل کے ہنستا چہرہ, کھلا, ہنسی
😁	آنکھ, مسکراتی آنکھیں لیے ہنستا چہرہ, مسکراہٹ, منہ, چہرہ, کھلا, ہنسنا
😂	آنسو, خوشی, خوشی کے آنسوؤں والا چہرہ, چہرہ, ہنسی
🤣	لوٹ پوٹ, چہرہ, ہنستے ہنستے لوٹ پوٹ ہونا, ہنسی
😃	بڑی آنکھوں والا کھلے منہ والا مسکراتا چہرہ, مسکراہٹ, منہ, چہرہ
😄	آنکھ, مسکراہٹ, منہ, چہرہ, کھلے منہ اور مسکراتی آنکھوں والا مسکراتا چہرہ
😅	مسکراہٹ, ٹھنڈ, پسینہ, چہرہ, کھلے منہ اور ٹھنڈے پسینے والا مسکراتا چہرہ
😆	مسکراہٹ, مطمئن, منہ, چہرہ, کھلے منہ اور سختی سے بند آنکھوں والا مسکراتا چہرہ, ہنسی
😉	آنکھ جھپکنا, آنکھ مارتا چہرہ, چہرہ
😊	آنکھ, مسکراتی آنکھوں والا مسکراتا چہرہ, مسکراہٹ, چہرہ
😋	مزیدار, مزیدار کھانے کا ذائقہ دینے والا چہرہ, مسکراہٹ, چہرہ
😎	آنکھ, دھوپ, دھوپ کا چشمہ لگائے مسکراتا چہرہ, سورج, مسکراہٹ, چشمہ, چمکیلا
😍	آنکھ, دل, دل کی شکل کی آنکھوں والا مسکراتا چہرہ, پیار, چہرہ
😘	بوسہ, بوسہ اچھالتا چہرہ, دل, چہرہ
🥰	تین دلوں کے ساتھ مسکراتا چہرہ, عقیدت, فریفتگی, محبت میں مبتلا
😗	بوسہ, بوسہ لیتا چہرہ, چہرہ
😙	آنکھ, بوسہ, مسکراتی آنکھوں کے ساتھ بوسہ لیتا چہرہ, مسکراہٹ, چہرہ
😚	آنکھ, بند, بند آنکھوں کے ساتھ بوسہ لیتا چہرہ, بوسہ, چہرہ
🙂	مدھم مسکراہٹ والا چہرہ, مسکراہٹ, چہرہ
🤗	چہرہ, گلے ملتا چہرہ, گلے ملنا
🤩	آنکھیں, تارہ, ستارہ زدہ, مسکراتا, چہرہ
🤔	سوچتا چہرہ, سوچنا, چہرہ
🤨	اٹھی ہوئی بھویں والا چہرہ, بد اعتمادی, شکی
😑	اظہار سے عاری چہرہ, بغیر تاثر, چہرہ
😶	بغیر منہ والا چہرہ, خاموشی, منہ, چہرہ
🙄	آنکھیں, چہرہ, گھومتی آنکھوں والا چہرہ, گھومنا
😏	طنزیہ, طنزیہ مسکراہٹ والا چہرہ, چہرہ
😣	پُرعزم چہرہ, پُرعظم, چہرہ
😥	مایوس, مایوس لیکن پر سکون چہرہ, پر سکون, چہرہ
😮	منہ, چہرہ, کھلا ہوا, کھلے منہ والا چہرہ
🤐	سلا ہوا, منہ, منہ سیے ہوئے چہرہ, چہرہ
😯	حیرت, شدید حیرت زدہ چہرہ, چہرہ
😪	خوابیدہ چہرہ, غنودگی, چہرہ
😫	تھکا ہوا چہرہ, تھکان, چہرہ
😴	سوتا ہوا چہرہ, سونا, چہرہ
😌	پُر سکون, پُر سکون چہرہ, چہرہ
😛	زبان, زبان نکالے چہرہ, چہرہ
😜	آنکھ, زبان, زبان نکالے اور آنکھ مارتا چہرہ, مزاق, چہرہ
😝	آنکھ, خوفناک, زبان, زبان نکالے اور سختی سے بند آنکھوں والا چہرہ, چہرہ
🤤	رال ٹپکاتا چہرہ, رال ٹپکنا, چہرہ
😒	اداس چہرہ, نا خوش, چہرہ
😓	ٹھنڈ, ٹھنڈے پسینے والا چہرہ, پسینہ, چہرہ
😔	سوچ میں ڈوبا چہرہ, غمزدہ, چہرہ
😕	الجھن زدہ چہرہ, چہرہ, کنفیوز
🙃	الٹآ, الٹا چہرہ, چہرہ
🤑	منہ, چہرہ, ڈالر, ڈالر کی زبان والا چہرہ
😲	تکلیف, حیرت, حیرت زدہ چہرہ, چہرہ
🙁	تیوری, چہرہ, ہلکا سا تیوری زدہ چہرہ
😖	انتہائی کنفیوز, بے ترتیب چہرہ, چہرہ
😞	مایوس, مایوس چہرہ, چہرہ
😟	پریشان, پریشان چہرہ, چہرہ
😤	فتخ, ناک سے دھواں نکالتا چہرہ, چہرہ
😢	آنسو, روتا ہوا چہرہ, رونا, چہرہ
😭	آنسو, رونا, زار و قطار روتا چہرہ, چہرہ
😦	تیوری, منہ, منہ کھولے تیوری چڑھاتا چہرہ, چہرہ, کھلا ہوا
😧	تکلیف, تکلیف زدہ چہرہ, چہرہ
😨	خوف, خوفزدہ چہرہ, چہرہ
😩	اکتایا ہوا چہرہ, تھکاوٹ, چہرہ
🤯	حیران, سر پھٹنا
😬	مضحکہ خیز چہرہ, ناگواریت, چہرہ
😰	منہ, نیلا, ٹھنڈا, پسینہ, کھلے منہ اور ٹھنڈے پسینے والا چہرہ
😱	خوف, خوف سے چلاتا چہرہ, چہرہ, چیخ
🥵	بُخار زَدہ, حرارت زدگی, سرخ چہرہ, پسینے سے شرابور, گرم
🥶	برف کے قلمیں, بہت زیادہ سرد, سرد چہرہ, سردی سے ماؤف, نیلگوں چہرہ, ٹھنڈا
😳	سرخ, شرمندگی, شرمندگی سے سرخ چہرہ, چہرہ
🤪	آنکھ, بڑی, پاگل پن والا چہرہ, چھوٹی
😵	چکر, چکراتا چہرہ, چہرہ
😡	نا خوش, نا شاد چہرہ, چہرہ
😠	غصہ, غصے والا چہرہ, چہرہ
🤬	منہ پر علامات والا چہرہ, گالیاں دینا
