😀	išsišiepti, išsišiepęs veidas, veidas
😃	besišypsantis išsižiojęs veidas, burna, praverta, veidas, šypsena
😄	akys, besišypsantis išsižiojęs veidas besišypsančiomis akimis, burna, praverta, veidas, šypsena
😁	akys, išsišiepti, išsišiepęs veidas su besišypsančiomis akimis, veidas, šypsena
😆	besišypsantis išsižiojęs veidas su smarkiai užmerktomis akimis, burna, juokas, pasitenkinęs, praverta, veidas, šypsena
😅	besišypsantis išsižiojęs veidas, išpiltas šalto prakaito, prakaitas, praverta, veidas, šaltas, šypsena
🤣	juokas, raitausi iš juoko, raitytis
😂	ašara, džiaugsmas, juokas, veidas, veidas su džiaugsmo ašaromis
🙂	veidas, šiek tiek besišypsantis veidas, šypsena
🙃	apverstas veidas, aukštyn kojom, veidas
😉	mirksintis veidas, mirktelėjimas, veidas
😊	akys, besišypsantis veidas su besišypsančiomis akimis, nurausti, veidas, šypsena
😇	angelas, aureolė, besišypsantis veidas su aureole, fantazija, nekaltas, veidas
🥰	besišypsantis veidas su trimis širdelėmis, dievinti, garbinimo objektas, įsimylėjęs
😍	akys, besišypsantis veidas su širdelės formos akimis, meilė, veidas, širdelės, šypsena
🤩	akys, veidas, šypsotis, žvaigždė, žvaigždžių liga
😘	bučinys, bučinį siunčiantis veidas, veidas, širdelė
😗	bučinys, bučiuojantis veidas, veidas
☺️	atsipalaidavęs, besišypsantis veidas, veidas, šypsena
😚	akys, bučinys, bučiuojantis su užmerktomis akimis, užmerktos, veidas
😙	akys, bučinys, bučiuojantis su besišypsančiomis akimis, veidas, šypsena
😋	besimėgaujantis, niam, skaniu maistu besimėgaujantis veidas, skanu, veidas, šypsena
😛	liežuvis, veidas, veidas su iškištu liežuviu
😜	akis, liežuvis, mirksnis, pokštas, veidas, veidas su iškištu liežuviu ir viena primerkta akimi
🤪	akis, didelis, mažas, pamišęs veidas
😝	akys, bjaurus, liežuvis, skonis, veidas, veidas su iškištu liežuviu ir stipriai užmerktomis akimis
🤑	burna, pinigai, veidas, veidas su pinigu vietoje liežuvio
🤗	apkabinantis veidas, apkabinimas, apkabinti, veidas
🤭	ups, veidas su ranka ant burnos
🤫	tildantis veidas, tylus, ššš
🤔	mąstantis veidas, mąstymas, veidas
🤐	burna, užtrauktukas, veidas, veidas su užtrauktuku vietoje burnos
🤨	nepasitikintis, skeptiškas, veidas su pakeltais antakiais
😐️	neišraiškingas, neutralus, neutralus veidas, veidas
😑	be išraiškos, neišraiškingas, veidas, veidas be jokios išraiškos
😶	burna, tylus, veidas, veidas be burnos
😏	iš pasitenkinimo besišypsantis veidas, pasitenkinimas, veidas
😒	nelaimingas, nelinksmas, nelinksmas veidas, veidas
🙄	akys, vartyti, veidas, veidas, vartantis akis
😬	besivaipantis veidas, grimasa, veidas
🤥	melas, meluojantis veidas, veidas
😌	palengvėjimas, veidas, veidas su palengvėjimu
😔	prislėgtas, susimąstęs, susimąstęs veidas, veidas
😪	miegas, mieguistas veidas, veidas
🤤	besiseilėjantis veidas, seilės, veidas
😴	miegantis veidas, miegas, veidas, zzz
😷	gydytojas, kaukė, medicina, sergantis, veidas, veidas su medicinine kauke, šaltis
🤒	ligonis, serga, termometras, veidas, veidas su termometru
🤕	skausmas, sužeidimas, tvarstis, veidas, veidas su galvos tvarsčiu
🤢	besiruošiantis vemti veidas, veidas, vemti
🤮	liga, vemiantis veidas, vemti
🤧	veidas, čiaudantis veidas, čiaudulys
🥵	karštas, karščiuojantis, prakaitavimas, raudonveidis, įkaitęs veidas, šilumos smūgis
🥶	mėlynveidis, nušalimas, stingdantis, sušalęs veidas, varvekliai, šaltas
🥴	apkvaišęs veidas, apsvaigęs, banguojanti burna, nelygios akys, įkaušęs
😵	apsvaigęs, apsvaigęs veidas, veidas
🤯	sprogstanti galva, šokiruotas
🤠	kaubojaus veidas su skrybėle, kaubojus, skrybėlė, veidas
🥳	skrybėlė, šventimas, šventė, švenčiantis veidas, švilpynė
😎	akiniai nuo saulės, besišypsantis veidas su akiniais nuo saulės, saulė, veidas, šaunus, šviesus
🤓	moksliukas, moksliuko veidas, pirmūnas, veidas
🧐	tvankus, veidas su monokliu
😕	sutrikęs, sutrikęs veidas, veidas
😟	susirūpinęs, susirūpinęs veidas, veidas
🙁	paniuręs, veidas, šiek tiek paniuręs veidas
☹️	paniuręs, paniuręs veidas, veidas
😮	atverta, burna, išsižiojęs, išsižiojęs veidas, veidas
😯	nustebęs, nuščiuvęs, nuščiuvęs veidas, priblokštas, veidas
😲	apstulbęs, apstulbęs veidas, priblokštas, veidas, visiškai
😳	nuraudęs, nuraudęs veidas, raudonis, veidas
🥺	gailestingumas, maldaujantis veidas, maldavimas, šuniuko akys
😦	burna, išsižiojęs, paniuręs, paniuręs išsižiojęs veidas, veidas
😧	kenčiantis, kenčiantis veidas, veidas
😨	baimė, baimės pilnas veidas, išsigandęs, veidas
😰	burna, išsižiojęs, išsižiojęs veidas, išpiltas šalto prakaito, mėlyna, prakaitas, veidas, šaltis
😥	nusivylęs, nusivylęs veidas su palengvėjimu, palengvėjimas, veidas
😢	ašara, liūdnas, veidas, verkiantis veidas, verkti
😭	ašara, garsiai raudantis veidas, liūdnas, raudoti, veidas, verkti
😱	baimė, iš baimės šaukiantis veidas, išsigandęs, veidas, šauksmas
😖	suglumintas veidas, suglumęs, veidas
😣	atkaklus, atkaklus veidas, veidas
😞	nusivylęs, nusivylęs veidas, veidas
😓	prakaitas, veidas, veidas, išpiltas šalto prakaito, šaltas
😩	nuvargęs, nuvargęs veidas, pavargęs, veidas
😫	pavargęs, pavargęs veidas, veidas
