‾	اوور لائن
_	انڈرلائن, انڈرڈیش, زیریں لائن, زیریں ڈیش, لائن, ڈیش
-	مائنس, ڈیش, ہائفن, ہائفن مائنس
‐	ڈیش, ہائفن
–	این, این ڈیش, ڈیش
—	ایم, ایم ڈیش, ڈیش
―	افقی بار, بار, لائن, ڈیش
・	انٹرپنکٹ, مڈڈاٹ, ڈاٹس, کیٹاکانا, کیٹاکانا مڈل ڈاٹ
,	کوما
،	عربی, عربی کوما, کوما
、	ایڈیوگرافک, ایڈیوگرافک کوما, کوما
;	سیمی کولن
؛	سیمی کولن, عربی, عربی سیمی کولن
:	کولن
!	استعجاب, استعجاب پوائنٹ, بینگ, علامت استعجاب
¡	استعجاب, استعجاب پوائنٹ, الٹا, الٹی علامت استعجاب, بینگ, علامت استعجاب
?	سوال, سوالیہ نشان
¿	الٹا, الٹا سوالیہ نشان, سوال, سوالیہ نشان
؟	سوال, سوالیہ نشان, عربی, عربی سوالیہ نشان
‽	انٹیروبینگ
.	فُل اسٹاپ, پیریڈ, ڈاٹ
…	ایلپسز, حذف, ڈاٹس
。	ایڈیوگرافک, ایڈیوگرافک پیریڈ, فُل اسٹاپ, پیریڈ
·	درمیانی نقطہ, علامت وقف, نقطہ, وسطی, وسطی نقطہ
'	اپوسٹروفی, سنگل علامت اقتباس, علامت اقتباس, ٹائپ رائٹر اپوسٹروفی
‘	اپوسٹروفی, بایاں اپوسٹروفی, سمارٹ علامت اقتباس, سنگل علامت اقتباس, علامت اقتباس
’	اپوسٹروفی, دایاں اپوسٹروفی, سمارٹ علامت اقتباس, سنگل علامت اقتباس, علامت اقتباس
‚	اپوسٹروفی, علامت اقتباس, نچلا دایاں اپوسٹروفی, نچلی علامت اقتباس
“	بائیں علامت اقتباس, سمارٹ کوٹیشن, علامت اقتباس, ڈبل علامت اقتباس, کوٹیشن
”	دائیں بائیں علامت اقتباس, سمارٹ کوٹیشن, علامت اقتباس, ڈبل علامت اقتباس, کوٹیشن
„	سمارٹ کوٹیشن, علامت اقتباس, نچلی دائیں علامت اقتباس, نچلی کوٹیشن, ڈبل علامت اقتباس, کوٹیشن
«	اقتباس, بائیں, بائیں گلیمیٹ, بریکٹ, زاویہ, شیوران, کیریٹس
»	اقتباس, بریکٹس, دائیں, دائیں گلیمیٹ, زاویہ, شیوران, کریٹس
)	بریکٹ, بند قوسین, قوسین, گول بریکٹ
[	بریکٹ, مربع بریکٹ, کراچیٹ, کھلی مربع بریکٹ
]	بریکٹ, بند مربع بریکٹ, مربع بریکٹ, کراچیٹ
{	بریس, بریکٹ, خمیدہ بریس, خمیدہ بریکٹ, کھلی خمیدہ بریکٹ, گل ونگ
}	بریس, بریکٹ, بند خمیدہ بریکٹ, خمیدہ بریس, خمیدہ بریکٹ, گل ونگ
〈	بریکٹ, زاویہ بریکٹ, شیورن, نوکیلی بریکٹ, ٹیوپل, ڈائمنڈ بریکٹس, کھلی زاویہ بریکٹ
〉	بریکٹ, بند زاویہ بریکٹ, زاویہ بریکٹ, شیورن, نوکیلی بریکٹ, ٹیوپل, ڈائمنڈ بریکٹس
《	بریکٹ, ڈبل زاویہ بریکٹ, کھلی ڈبل زاویہ بریکٹ
》	بریکٹ, بند ڈبل زاویہ بریکٹ, ڈبل زاویہ بریکٹ
「	بریکٹ, کارنر بریکٹ, کھلی کارنر بریکٹ
」	بریکٹ, بند کارنر بریکٹ, کارنر بریکٹ
『	بریکٹ, کھلی کھوکھلی کارنر بریکٹ, کھوکھلی کارنر بریکٹ
』	بریکٹ, بند کھوکھلی کارنر بریکٹ, کھوکھلی کارنر بریکٹ
【	بریکٹ, لینز بریکٹ, لینٹیکیولر بریکٹ, کھلی سیاہ لینز بریکٹ
