🏻	အရေပြား အမျိုးအစား−၁−၂, အသားဖြူရောင်, အီမိုဂျီ မွမ်းမံ၊ အရေပြား၊ အသားအရေ
🏼	အရေပြား အမျိုးအစား−၃, အသားနုရောင်, အီမိုဂျီ မွမ်းမံ၊ အရေပြား၊ အသားအရေ
🏽	အရေပြား အမျိုးအစား−၄, အသားလတ်ရောင်, အီမိုဂျီ မွမ်းမံ၊ အရေပြား၊ အသားအရေ
🏾	အရေပြား အမျိုးအစား−၅, အသားညိုရောင်, အီမိုဂျီ မွမ်းမံ၊ အရေပြား၊ အသားအရေ
🏿	အရေပြား အမျိုးအစား−၆, အသားမဲရောင်, အီမိုဂျီ မွမ်းမံ၊ အရေပြား၊ အသားအရေ
😀	ပြုံးဖြဲဖြဲ, ပြုံးဖြဲဖြဲ မျက်နှာ, မျက်နှာ
😁	ပြုံး, ပြုံးနေသည့်မျက်လုံးများဖြင့် ပီတိဖြာနေသော မျက်နှာ, ပြုံးဖြဲဖြဲ, မျက်နှာ, မျက်လုံးများ
😂	ပျော်ရွှင်မှု, ပျော်ရွှင်မှု မျက်ရည်များဖြင့် မျက်နှာ, မျက်နှာ, မျက်ရည်, ရယ်ရွှင်မှု
🤣	ကြမ်းပေါ်လှိမ့်ပြီး ရယ်နေသည်, ကြမ်းပြင်, မျက်နှာ, ရယ်မောသည်, လှိမ့်၍
😃	ပါးစပ်, ပြုံး, မျက်နှာ, မျက်လုံးပြူးဖြင့် ပြုံးဖြဲဖြဲ မျက်နှာ, ဟ
😄	ပါးစပ်ဟနေကာ မျက်လုံးများ ပြုံးနေသည့် အပြုံးမျက်နှာ, ပါးစပ်၊ ဟ၊ မျက်လုံး၊ ပြုံး၊ မျက်နှာ, ပြုံးနေသည့်မျက်လုံးများဖြင့် ပြုံးဖြဲဖြဲ မျက်နှာ
😅	ဇောချွေးပြန်နေသည့် ပြုံးဖြဲဖြဲ မျက်နှာ, ပါးစပ်ဟနေကာ ဇောချွေးပြန်နေသည့် အပြုံးမျက်နှာ, ပါးစပ်၊ ဟ၊ ဇောချွေး၊ ပြုံး၊ မျက်နှာ
😆	ပါးစပ်ဟနေကာ မျက်စိကို ကြိတ်မှိတ်ထားသည့် အပြုံးမျက်နှာ, ပါးစပ်၊ ဟ၊ မျက်စိ၊ မှိတ်၊ ပြုံး၊ မျက်နှာ, မျက်စိကို ကြိတ်မှိတ်ထားသည့် ပြုံးဖြဲဖြဲ မျက်နှာ
😉	မျက်စိမှိတ်ပြနေသည့် မျက်နှာ, မျက်စိမှိတ်၊ မျက်နှာ
😊	မျက်လုံးများ ပြုံးနေသည့် အပြုံးမျက်နှာ, ရှက်သွေးဖြန်း၊ မျက်လုံး၊ ပြုံး၊ မျက်နှာ
😋	အစားအရသာခံနေသည့်မျက်နှာ, အရသာခံနေသည့် မျက်နှာ, အရသာရှိ၊ မျက်နှာ၊ တစိမ့်စိမ့်အရာသာခံ၊ အပြုံး၊ အမ်၊ ယမ်
😎	နေကာမျက်မှန်ဖြင့် အပြုံးမျက်နှာ, နေကာမျက်မှန်၊ နေ၊ တောက်ပ၊ မျက်နှာ၊ ပြုံး၊ မိုးလေဝသ၊ မျက်မှန်၊
