🦵🏻	membru, picior, picior: ton deschis al pielii, ton deschis al pielii, șut
🦵🏼	membru, picior, picior: ton semi‑deschis al pielii, ton semi‑deschis al pielii, șut
🦵🏽	membru, picior, picior: ton mediu al pielii, ton mediu al pielii, șut
🦵🏾	membru, picior, picior: ton semi‑închis al pielii, ton semi‑închis al pielii, șut
🦵🏿	membru, picior, picior: ton închis al pielii, ton închis al pielii, șut
🦶🏻	călcat, laba piciorului, laba piciorului: ton deschis al pielii, ton deschis al pielii, șut
🦶🏼	călcat, laba piciorului, laba piciorului: ton semi‑deschis al pielii, ton semi‑deschis al pielii, șut
🦶🏽	călcat, laba piciorului, laba piciorului: ton mediu al pielii, ton mediu al pielii, șut
🦶🏾	călcat, laba piciorului, laba piciorului: ton semi‑închis al pielii, ton semi‑închis al pielii, șut
🦶🏿	călcat, laba piciorului, laba piciorului: ton închis al pielii, ton închis al pielii, șut
🦸🏻	bun, eroină, erou, supererou, supererou: ton deschis al pielii, superputere, superputeri, ton deschis al pielii
🦸🏼	bun, eroină, erou, supererou, supererou: ton semi‑deschis al pielii, superputere, superputeri, ton semi‑deschis al pielii
🦸🏽	bun, eroină, erou, supererou, supererou: ton mediu al pielii, superputere, superputeri, ton mediu al pielii
🦸🏾	bun, eroină, erou, supererou, supererou: ton semi‑închis al pielii, superputere, superputeri, ton semi‑închis al pielii
🦸🏿	bun, eroină, erou, supererou, supererou: ton închis al pielii, superputere, superputeri, ton închis al pielii
🦸🏻‍♀	bună, eroină, erou, femeie, supererou femeie, supererou femeie: ton deschis al pielii, superputere, ton deschis al pielii
🦸🏼‍♀	bună, eroină, erou, femeie, supererou femeie, supererou femeie: ton semi‑deschis al pielii, superputere, ton semi‑deschis al pielii
🦸🏽‍♀	bună, eroină, erou, femeie, supererou femeie, supererou femeie: ton mediu al pielii, superputere, ton mediu al pielii
🦸🏾‍♀	bună, eroină, erou, femeie, supererou femeie, supererou femeie: ton semi‑închis al pielii, superputere, ton semi‑închis al pielii
🦸🏿‍♀	bună, eroină, erou, femeie, supererou femeie, supererou femeie: ton închis al pielii, superputere, ton închis al pielii
🦸🏻‍♂	bun, bărbat, erou, supererou bărbat, supererou bărbat: ton deschis al pielii, superputere, ton deschis al pielii
🦸🏼‍♂	bun, bărbat, erou, supererou bărbat, supererou bărbat: ton semi‑deschis al pielii, superputere, ton semi‑deschis al pielii
🦸🏽‍♂	bun, bărbat, erou, supererou bărbat, supererou bărbat: ton mediu al pielii, superputere, ton mediu al pielii
🦸🏾‍♂	bun, bărbat, erou, supererou bărbat, supererou bărbat: ton semi‑închis al pielii, superputere, ton semi‑închis al pielii
🦸🏿‍♂	bun, bărbat, erou, supererou bărbat, supererou bărbat: ton închis al pielii, superputere, ton închis al pielii
🦹🏻	criminal, malefic, super-ticălos, super-ticălos: ton deschis al pielii, superputere, ticălos, ton deschis al pielii
🦹🏼	criminal, malefic, super-ticălos, super-ticălos: ton semi‑deschis al pielii, superputere, ticălos, ton semi‑deschis al pielii
🦹🏽	criminal, malefic, super-ticălos, super-ticălos: ton mediu al pielii, superputere, ticălos, ton mediu al pielii
🦹🏾	criminal, malefic, super-ticălos, super-ticălos: ton semi‑închis al pielii, superputere, ticălos, ton semi‑închis al pielii
🦹🏿	criminal, malefic, super-ticălos, super-ticălos: ton închis al pielii, superputere, ticălos, ton închis al pielii
🦹🏻‍♀	criminală, femeie, malefică, super-ticălos femeie, super-ticălos femeie: ton deschis al pielii, superputere, ticăloasă, ton deschis al pielii
🦹🏼‍♀	criminală, femeie, malefică, super-ticălos femeie, super-ticălos femeie: ton semi‑deschis al pielii, superputere, ticăloasă, ton semi‑deschis al pielii
🦹🏽‍♀	criminală, femeie, malefică, super-ticălos femeie, super-ticălos femeie: ton mediu al pielii, superputere, ticăloasă, ton mediu al pielii
🦹🏾‍♀	criminală, femeie, malefică, super-ticălos femeie, super-ticălos femeie: ton semi‑închis al pielii, superputere, ticăloasă, ton semi‑închis al pielii
🦹🏿‍♀	criminală, femeie, malefică, super-ticălos femeie, super-ticălos femeie: ton închis al pielii, superputere, ticăloasă, ton închis al pielii
🦹🏻‍♂	bărbat, criminal, malefic, super-ticălos bărbat, super-ticălos bărbat: ton deschis al pielii, superputere, ticălos, ton deschis al pielii
🦹🏼‍♂	bărbat, criminal, malefic, super-ticălos bărbat, super-ticălos bărbat: ton semi‑deschis al pielii, superputere, ticălos, ton semi‑deschis al pielii
🦹🏽‍♂	bărbat, criminal, malefic, super-ticălos bărbat, super-ticălos bărbat: ton mediu al pielii, superputere, ticălos, ton mediu al pielii
🦹🏾‍♂	bărbat, criminal, malefic, super-ticălos bărbat, super-ticălos bărbat: ton semi‑închis al pielii, superputere, ticălos, ton semi‑închis al pielii
🦹🏿‍♂	bărbat, criminal, malefic, super-ticălos bărbat, super-ticălos bărbat: ton închis al pielii, superputere, ticălos, ton închis al pielii
👶🏻	bebe, bebeluș, bebeluș: ton deschis al pielii, copilaș, ton deschis al pielii, tânăr
👶🏼	bebe, bebeluș, bebeluș: ton semi‑deschis al pielii, copilaș, ton semi‑deschis al pielii, tânăr
👶🏽	bebe, bebeluș, bebeluș: ton mediu al pielii, copilaș, ton mediu al pielii, tânăr
👶🏾	bebe, bebeluș, bebeluș: ton semi‑închis al pielii, copilaș, ton semi‑închis al pielii, tânăr
👶🏿	bebe, bebeluș, bebeluș: ton închis al pielii, copilaș, ton închis al pielii, tânăr
🧒🏻	copil, copil: ton deschis al pielii, sex neutru, ton deschis al pielii, tânăr
🧒🏼	copil, copil: ton semi‑deschis al pielii, sex neutru, ton semi‑deschis al pielii, tânăr
🧒🏽	copil, copil: ton mediu al pielii, sex neutru, ton mediu al pielii, tânăr
🧒🏾	copil, copil: ton semi‑închis al pielii, sex neutru, ton semi‑închis al pielii, tânăr
🧒🏿	copil, copil: ton închis al pielii, sex neutru, ton închis al pielii, tânăr
👦🏻	băiat, băiat: ton deschis al pielii, copil, ton deschis al pielii, tânăr
👦🏼	băiat, băiat: ton semi‑deschis al pielii, copil, ton semi‑deschis al pielii, tânăr
👦🏽	băiat, băiat: ton mediu al pielii, copil, ton mediu al pielii, tânăr
👦🏾	băiat, băiat: ton semi‑închis al pielii, copil, ton semi‑închis al pielii, tânăr
👦🏿	băiat, băiat: ton închis al pielii, copil, ton închis al pielii, tânăr
👧🏻	Fecioară, copil, fată, fată: ton deschis al pielii, ton deschis al pielii, tânără, zodiac
👧🏼	Fecioară, copil, fată, fată: ton semi‑deschis al pielii, ton semi‑deschis al pielii, tânără, zodiac
👧🏽	Fecioară, copil, fată, fată: ton mediu al pielii, ton mediu al pielii, tânără, zodiac
👧🏾	Fecioară, copil, fată, fată: ton semi‑închis al pielii, ton semi‑închis al pielii, tânără, zodiac
👧🏿	Fecioară, copil, fată, fată: ton închis al pielii, ton închis al pielii, tânără, zodiac
🧑🏻	adult, adult: ton deschis al pielii, gen neutru, persoană, ton deschis al pielii
🧑🏼	adult, adult: ton semi‑deschis al pielii, gen neutru, persoană, ton semi‑deschis al pielii
🧑🏽	adult, adult: ton mediu al pielii, gen neutru, persoană, ton mediu al pielii
🧑🏾	adult, adult: ton semi‑închis al pielii, gen neutru, persoană, ton semi‑închis al pielii
🧑🏿	adult, adult: ton închis al pielii, gen neutru, persoană, ton închis al pielii
👨🏻	adult, bărbat, bărbat: ton deschis al pielii, ton deschis al pielii
👨🏼	adult, bărbat, bărbat: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👨🏽	adult, bărbat, bărbat: ton mediu al pielii, ton mediu al pielii
👨🏾	adult, bărbat, bărbat: ton semi‑închis al pielii, ton semi‑închis al pielii
👨🏿	adult, bărbat, bărbat: ton închis al pielii, ton închis al pielii
👨‍🦰	adult, bărbat, bărbat: păr roșcat, păr roșcat
👨🏻‍🦰	adult, bărbat, bărbat: ton deschis al pielii, păr roșcat, păr roșcat, ton deschis al pielii
👨🏼‍🦰	adult, bărbat, bărbat: ton semi‑deschis al pielii, păr roșcat, păr roșcat, ton semi‑deschis al pielii
👨🏽‍🦰	adult, bărbat, bărbat: ton mediu al pielii, păr roșcat, păr roșcat, ton mediu al pielii
👨🏾‍🦰	adult, bărbat, bărbat: ton semi‑închis al pielii, păr roșcat, păr roșcat, ton semi‑închis al pielii
👨🏿‍🦰	adult, bărbat, bărbat: ton închis al pielii, păr roșcat, păr roșcat, ton închis al pielii
👨‍🦱	adult, bărbat, bărbat: păr creț, păr creț
👨🏻‍🦱	adult, bărbat, bărbat: ton deschis al pielii, păr creț, păr creț, ton deschis al pielii
👨🏼‍🦱	adult, bărbat, bărbat: ton semi‑deschis al pielii, păr creț, păr creț, ton semi‑deschis al pielii
👨🏽‍🦱	adult, bărbat, bărbat: ton mediu al pielii, păr creț, păr creț, ton mediu al pielii
👨🏾‍🦱	adult, bărbat, bărbat: ton semi‑închis al pielii, păr creț, păr creț, ton semi‑închis al pielii
👨🏿‍🦱	adult, bărbat, bărbat: ton închis al pielii, păr creț, păr creț, ton închis al pielii
👨‍🦲	adult, bărbat, bărbat: chelie, chelie
👨🏻‍🦲	adult, bărbat, bărbat: ton deschis al pielii, chelie, chelie, ton deschis al pielii
👨🏼‍🦲	adult, bărbat, bărbat: ton semi‑deschis al pielii, chelie, chelie, ton semi‑deschis al pielii
👨🏽‍🦲	adult, bărbat, bărbat: ton mediu al pielii, chelie, chelie, ton mediu al pielii
👨🏾‍🦲	adult, bărbat, bărbat: ton semi‑închis al pielii, chelie, chelie, ton semi‑închis al pielii
👨🏿‍🦲	adult, bărbat, bărbat: ton închis al pielii, chelie, chelie, ton închis al pielii
👨‍🦳	adult, bărbat, bărbat: păr alb, păr alb
👨🏻‍🦳	adult, bărbat, bărbat: ton deschis al pielii, păr alb, păr alb, ton deschis al pielii
