🏻	Hautfarbe, Hauttyp 1–2, helle Hautfarbe
🏼	Hautfarbe, Hauttyp 3, mittelhelle Hautfarbe
🏽	Hautfarbe, Hauttyp 4, mittlere Hautfarbe
🏾	Hautfarbe, Hauttyp 5, mitteldunkle Hautfarbe
🏿	Hautfarbe, Hauttyp 6, dunkle Hautfarbe
😀	Gesicht, grinsendes Gesicht, lol, lustig
😁	Gesicht, Zähne, lustig, strahlendes Gesicht mit lachenden Augen
😂	Gesicht, Gesicht mit Freudentränen, Tränen, lachen
🤣	Gesicht, lachen, sich vor Lachen auf dem Boden wälzen
😃	Gesicht, grinsendes Gesicht mit großen Augen, lol, lustig, lächeln
😄	Gesicht, grinsendes Gesicht mit lachenden Augen, lol, lustig
😅	Gesicht, Schweiß, grinsendes Gesicht mit Schweißtropfen, lustig, schwitzen
😆	Gesicht, geschlossene Augen, grinsendes Gesicht mit zusammengekniffenen Augen, offener Mund
😉	Gesicht, Zwinkern, zwinkerndes Gesicht
😊	Freude, Gesicht, erröten, lächelndes Gesicht mit lachenden Augen, rote Wangen
😋	Gesicht, lecker, leckeres Essen, sich die Lippen leckendes Gesicht
😎	Gesicht, Sonnenbrille, cool, lächelndes Gesicht mit Sonnenbrille
😍	Gesicht, lächelndes Gesicht mit herzförmigen Augen, verliebt
😘	Gesicht, Kuss, Kuss zuwerfendes Gesicht
🥰	anhimmeln, lächelndes Gesicht mit Herzen, verknallt, verliebt
😗	Gesicht, Kuss, küssendes Gesicht
😙	Gesicht, Kuss, küssendes Gesicht mit lächelnden Augen, lächelnde Augen
😚	Gesicht, küssendes Gesicht mit geschlossenen Augen, rote Wangen
☺	Lächeln, fröhlich, lächelnd, lächelndes Gesicht
🙂	Gesicht, Lächeln, leicht lächelndes Gesicht, lächelnd
🤗	Gesicht, Gesicht mit umarmenden Händen, Umarmung, umarmen
🤩	Augen, Gesicht, Grinsen, Stern, überwältigt
🤔	Gesicht, nachdenken, nachdenkendes Gesicht, nachdenklich
🤨	Gesicht mit hochgezogenen Augenbrauen, argwöhnisch, skeptisch
