🏻	cor de pele, cor de pele clara, tez clara, tipo de pele 1–2
🏼	cor de pele, cor de pele clara (média), tez clara (média), tipo de pele 3
🏽	cor de pele, cor de pele média, tez média, tipo de pele 4
🏾	cor de pele, cor de pele escura (média), tez escura (média), tipo de pele 5
🏿	cor de pele, cor de pele escura, tez escura, tipo de pele 6
😀	cara, cara sorridente, sorriso
😁	cara, cara sorridente com olhos sorridentes, olho, sorriso
😂	cara, cara com lágrimas de felicidade, felicidade, lágrimas, riso, sorriso
🤣	a rebolar no chão a rir, cara, chão, rebolar, rir
😃	aberta, boca, cara, cara sorridente com olhos bem abertos, sorriso
😄	aberta, boca, cara, cara a sorrir com boca aberta e olhos sorridentes, olho, sorriso
😅	aberta, cara, cara a sorrir com boca aberta e suor, frio, sorriso, suor
😆	aberta, boca, cara, cara a sorrir com boca aberta e olhos bem fechados, riso, satisfação, sorriso
😉	cara, cara a piscar o olho, piscadela
😊	cara, cara a sorrir com olhos sorridentes, corado, olho, sorriso
😋	apetitoso, cara, cara a saborear uma refeição deliciosa, delicioso, saborear, sorriso
😎	cara, cara a sorrir com óculos de sol, fixe, luminoso, olho, sol, sorriso, tempo, óculos, óculos de sol
😍	amor, cara, cara a sorrir com olhos em forma de coração, coração, olho, sorriso
😘	beijo, cara, cara a atirar um beijo, coração
🥰	amor, apaixonado, cara sorridente com 3 corações, paixão
😗	beijo, cara, cara a dar um beijo
😙	beijo, cara, cara a dar um beijo com olhos sorridentes, olho, sorriso
😚	beijo, cara, cara a dar um beijo com olhos fechados, fechado, olho
🙂	cara, cara a sorrir ligeiramente, sorriso
🤗	abraçar, abraço, cara, cara a dar um abraço
🤩	cara, cara sorridente com estrelas nos olhos, estrela, olhos
🤔	cara, cara a pensar, pensativo
🤨	cara com sobrancelha levantada, cético, desconfiança
😑	cara, cara sem expressão, inexpressivo, sem expressão
😶	boca, calado, cara, cara sem boca, silencioso
🙄	cara, cara com olhos revirados, olhos, revirar
😏	cara, cara com sorriso sarcástico, sorriso pretensioso
😣	cara, cara perseverante, perseverante
😥	aliviado, cara, cara triste, mas aliviada, desiludido, ufa
😮	aberta, boca, cara, cara com boca aberta, pena
🤐	boca, cara, cara com boca com fecho de correr, fecho de correr
😯	cara, cara expectante, expectante, pasmado, surpreso
😪	cara, cara sonolenta, sono
😫	cansado, cara, cara cansada
😴	cara, cara a dormir, sono, zzz
😌	aliviado, cara, cara aliviada
😛	cara, cara com língua de fora, língua
😜	cara, cara com língua de fora e olho a piscar, língua, olho, piada, piscadela
