🦵🏻	канечнасць, нага, нага: светлы тон скуры, светлы тон скуры, удар
🦵🏼	канечнасць, нага, нага: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры, удар
🦵🏽	канечнасць, нага, нага: сярэдні тон скуры, сярэдні тон скуры, удар
🦵🏾	канечнасць, нага, нага: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры, удар
🦵🏿	канечнасць, нага, нага: цёмны тон скуры, удар, цёмны тон скуры
🦶🏻	светлы тон скуры, ступня, ступня: светлы тон скуры, удар
🦶🏼	ступня, ступня: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры, удар
🦶🏽	ступня, ступня: сярэдні тон скуры, сярэдні тон скуры, удар
🦶🏾	ступня, ступня: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры, удар
🦶🏿	ступня, ступня: цёмны тон скуры, удар, цёмны тон скуры
🦸🏻	гераіня, герой, дабро, светлы тон скуры, супергерой, супергерой: светлы тон скуры, суперсіла
🦸🏼	гераіня, герой, дабро, супергерой, супергерой: сярэдне-светлы тон скуры, суперсіла, сярэдне-светлы тон скуры
🦸🏽	гераіня, герой, дабро, супергерой, супергерой: сярэдні тон скуры, суперсіла, сярэдні тон скуры
🦸🏾	гераіня, герой, дабро, супергерой, супергерой: сярэдне-цёмны тон скуры, суперсіла, сярэдне-цёмны тон скуры
🦸🏿	гераіня, герой, дабро, супергерой, супергерой: цёмны тон скуры, суперсіла, цёмны тон скуры
🦸🏻‍♀	гераіня, герой, дабро, жанчына, жанчына-супергерой, жанчына-супергерой: светлы тон скуры, светлы тон скуры, суперсіла
🦸🏼‍♀	гераіня, герой, дабро, жанчына, жанчына-супергерой, жанчына-супергерой: сярэдне-светлы тон скуры, суперсіла, сярэдне-светлы тон скуры
🦸🏽‍♀	гераіня, герой, дабро, жанчына, жанчына-супергерой, жанчына-супергерой: сярэдні тон скуры, суперсіла, сярэдні тон скуры
🦸🏾‍♀	гераіня, герой, дабро, жанчына, жанчына-супергерой, жанчына-супергерой: сярэдне-цёмны тон скуры, суперсіла, сярэдне-цёмны тон скуры
🦸🏿‍♀	гераіня, герой, дабро, жанчына, жанчына-супергерой, жанчына-супергерой: цёмны тон скуры, суперсіла, цёмны тон скуры
🦸🏻‍♂	герой, дабро, мужчына, мужчына-супергерой, мужчына-супергерой: светлы тон скуры, светлы тон скуры, суперсіла
🦸🏼‍♂	герой, дабро, мужчына, мужчына-супергерой, мужчына-супергерой: сярэдне-светлы тон скуры, суперсіла, сярэдне-светлы тон скуры
🦸🏽‍♂	герой, дабро, мужчына, мужчына-супергерой, мужчына-супергерой: сярэдні тон скуры, суперсіла, сярэдні тон скуры
🦸🏾‍♂	герой, дабро, мужчына, мужчына-супергерой, мужчына-супергерой: сярэдне-цёмны тон скуры, суперсіла, сярэдне-цёмны тон скуры
🦸🏿‍♂	герой, дабро, мужчына, мужчына-супергерой, мужчына-супергерой: цёмны тон скуры, суперсіла, цёмны тон скуры
🦹🏻	злачынца, зло, ліхадзей, светлы тон скуры, суперзлачынца, суперзлачынца: светлы тон скуры, суперсіла
🦹🏼	злачынца, зло, ліхадзей, суперзлачынца, суперзлачынца: сярэдне-светлы тон скуры, суперсіла, сярэдне-светлы тон скуры
🦹🏽	злачынца, зло, ліхадзей, суперзлачынца, суперзлачынца: сярэдні тон скуры, суперсіла, сярэдні тон скуры
🦹🏾	злачынца, зло, ліхадзей, суперзлачынца, суперзлачынца: сярэдне-цёмны тон скуры, суперсіла, сярэдне-цёмны тон скуры
🦹🏿	злачынца, зло, ліхадзей, суперзлачынца, суперзлачынца: цёмны тон скуры, суперсіла, цёмны тон скуры
🦹🏻‍♀	жанчына, злачынца, зло, ліхадзей, светлы тон скуры, суперзлачынка, суперзлачынка: светлы тон скуры, суперсіла
🦹🏼‍♀	жанчына, злачынца, зло, ліхадзей, суперзлачынка, суперзлачынка: сярэдне-светлы тон скуры, суперсіла, сярэдне-светлы тон скуры
🦹🏽‍♀	жанчына, злачынца, зло, ліхадзей, суперзлачынка, суперзлачынка: сярэдні тон скуры, суперсіла, сярэдні тон скуры
🦹🏾‍♀	жанчына, злачынца, зло, ліхадзей, суперзлачынка, суперзлачынка: сярэдне-цёмны тон скуры, суперсіла, сярэдне-цёмны тон скуры
🦹🏿‍♀	жанчына, злачынца, зло, ліхадзей, суперзлачынка, суперзлачынка: цёмны тон скуры, суперсіла, цёмны тон скуры
🦹🏻‍♂	злачынца, зло, ліхадзей, мужчына, светлы тон скуры, суперзлачынец, суперзлачынец: светлы тон скуры, суперсіла
🦹🏼‍♂	злачынца, зло, ліхадзей, мужчына, суперзлачынец, суперзлачынец: сярэдне-светлы тон скуры, суперсіла, сярэдне-светлы тон скуры
🦹🏽‍♂	злачынца, зло, ліхадзей, мужчына, суперзлачынец, суперзлачынец: сярэдні тон скуры, суперсіла, сярэдні тон скуры
🦹🏾‍♂	злачынца, зло, ліхадзей, мужчына, суперзлачынец, суперзлачынец: сярэдне-цёмны тон скуры, суперсіла, сярэдне-цёмны тон скуры
🦹🏿‍♂	злачынца, зло, ліхадзей, мужчына, суперзлачынец, суперзлачынец: цёмны тон скуры, суперсіла, цёмны тон скуры
👶🏻	немаўля, немаўля: светлы тон скуры, светлы тон скуры
👶🏼	немаўля, немаўля: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
👶🏽	немаўля, немаўля: сярэдні тон скуры, сярэдні тон скуры
👶🏾	немаўля, немаўля: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
👶🏿	немаўля, немаўля: цёмны тон скуры, цёмны тон скуры
