😱	Munch, face, face screaming in fear, fear, scared, scream
🥵	feverish, flushed, heat stroke, hot, hot face, red-faced, sweating
🤭	face with hand over mouth, whoops
😈	devil, face, fantasy, horns, smile
👦	boy, young, young person
👧	Virgo, girl, young person, zodiac
👨‍💼	business man, manager, office worker, white collar
👩‍💼	business woman, manager, office worker, white collar
👨‍🎤	entertainer, man, performer, rock singer, star
👩‍🎤	entertainer, performer, rock singer, star, woman
👨‍🎨	artist, man, painter, palette
👩‍🎨	artist, painter, palette, woman
👨‍🚒	fire truck, firefighter, man
👩‍🚒	fire truck, firefighter, woman
🕵‍♂	detective, investigator, man, sleuth, spy
🕵‍♀	detective, investigator, sleuth, spy, woman
🎅	Christmas, Father Christmas, Santa, Santa Claus, celebration
🤶	Christmas, Mrs Claus, Mrs Santa Claus, celebration
💇‍♂	haircut, hairdresser, man, man getting haircut
💇‍♀	haircut, hairdresser, woman, woman getting haircut
🧖‍♀	sauna, steam room, woman in steam room, woman in steamy room
🧖‍♂	man in steam room, man in steamy room, sauna, steam room
🛀	bath, bathtub, person taking bath, tub
🛌	hotel, person in bed, sleep, sleeping
🏌‍♂	golf, golfer, man, man golfing
🏌‍♀	golf, golfer, woman, woman golfing
🏄‍♂	man, surfer, surfing
🏄‍♀	surfer, surfing, woman
🚣	boat, person, person rowing boat, rowboat
🏊‍♂	man, man swimming, swim, swimmer
🏊‍♀	swim, swimmer, woman, woman swimming
🚴	bicycle, biking, cyclist, person biking, person riding a bike
🚴‍♂	bicycle, biking, cyclist, man, man riding a bike
🚴‍♀	bicycle, biking, cyclist, woman, woman riding a bike
🤹	balance, juggle, multi-task, skill
🤹‍♂	juggling, man, multi-task
🤹‍♀	juggling, multi-task, woman
🖖	Vulcan salute, finger, hand, spock, vulcan
👔	tie
👕	clothing, shirt, t-shirt, tee, tshirt
👖	clothing, jeans, pants, trousers
👗	clothing, dress, woman’s clothes
👙	bikini, clothing, swim suit, two-piece
👚	blouse, clothing, top, woman, woman’s clothes
👛	accessories, coin, purse
👜	accessories, bag, handbag, tote
👝	accessories, bag, clutch bag, pouch
👟	athletic, clothing, running shoe, shoe, sneaker, trainer
🧢	baseball cap
🦌	deer, stag
🦏	rhino, rhinoceros
🐭	face, mouse, pet
🐁	mouse, pet, rodent
🐀	pet, rat, rodent
🐨	bear, koala, marsupial
🦃	bird, poultry, turkey
🐔	bird, chicken, poultry
🦅	bird of prey, eagle
🦉	bird of prey, owl, wise
🦜	bird, pirate, talk
🐬	dolphin, porpoise
🐠	fish, reef fish, tropical
🦀	crab, crustacean, seafood, shellfish
🦞	bisque, claws, lobster, seafood, shellfish
🦐	prawn, seafood, shellfish, shrimp
🦑	decapod, seafood, squid
🐌	mollusc, snail
🦋	butterfly, insect, moth
🐛	bug, caterpillar, insect, worm
🦟	dengue, fever, insect, malaria, virus
🍊	fruit, mandarin, orange
🥖	French stick, baguette, bread, food, french
🥯	bagel, bakery
🍔	hamburger
🍟	chips, fries
🥙	falafel, flatbread, food, gyro, kebab, pita, pita roll, stuffed
🥗	food, garden, garden salad, salad
🍤	battered, battered prawn, fried, prawn, shrimp, tempura
🥟	dumpling, empanada, gyōza, pastie, samosa
🥡	takeaway container, takeout
🍦	cream, dessert, ice cream, soft serve, sweet
🍧	dessert, granita, ice, sweet
🍨	cream, dessert, ice cream, sweet
🍪	cookie
🍮	baked custard, dessert, pudding, sweet
🥢	chopsticks, pair of chopsticks
🗻	Fuji, mount Fuji, mountain
🕌	Islam, Muslim, mosque, religion
🕋	Islam, Kaaba, Muslim, religion
🌌	Milky Way, space
🎠	merry-go-round
🎪	big top, circus
🚃	car, electric, railway, train, tram, trolley bus
🚊	light rail, oncoming, oncoming light rail, tram, trolleybus
🚋	car, tram, trolley bus
🚎	bus, tram, trolley, trolley bus
🚒	fire truck
🚙	4WD, four-wheel drive
🚛	articulated truck, lorry, semi, truck
🚥	horizontal traffic lights, lights, signal, traffic
🚦	lights, signal, traffic, vertical traffic lights
🚟	cable, cable railway, railway, suspension
🚠	cable, cableway, gondola, mountain
🚡	cable car
🎉	celebration, party, popper, ta-da
🎍	Japanese, bamboo, bamboo decoration, celebration, decoration
🎁	gift
🏅	celebration, medal, sports
🎳	ball, game, tenpin bowling
🏏	cricket game
🥅	goal cage
🎣	fish, fishing, fishing rod, pole, rod
🎿	ski, skiing, snow
🛷	sled, sledge, sleigh
🥌	curling, game, rock, stone
🧿	amulet, charm, evil-eye, evil-eye amulet, nazar, talisman
🎰	game, pokie, pokies
🎹	instrument, keyboard, music, organ, piano
🥁	drum, drumsticks, music, percussions
💾	computer, disk, diskette, floppy
📀	DVD, blu-ray, computer, disk, dvd, optical
🎥	camera, cinema, movie, movie camera
📼	VHS, tape, video, videocassette
💡	bulb, comic, electric, globe, idea, light, light globe
💹	chart, chart increasing with yen, graph, graph increasing with yen, growth, money, yen
📇	index card
📈	chart, chart increasing, graph, graph increasing, growth, trend, upward
📉	chart, chart decreasing, down, graph, graph decreasing, trend
📊	bar graph
📌	drawing-pin, pin
📍	pin, pushpin, round drawing-pin
🔫	gun
🧬	DNA, biologist, dna, evolution, gene, genetics, life
📡	satellite dish
🚽	WC, facilities, loo, toilet
🚾	WC, amenities, bathroom, restroom, toilet, water closet, wc
🚫	denied, entry, forbidden, no, prohibited
🚯	denied, forbidden, litter, no, no littering, prohibited
🚱	non-drinkable water, non-drinking, non-potable, water
🚷	denied, forbidden, no, no pedestrians, pedestrian, prohibited
⏩	fast forward button
🔆	bright button, brightness, brightness button
🔠	input Latin uppercase
🔡	input Latin lowercase
🔤	input Latin letters
‼️	double exclamation mark, exclamation, mark, punctuation
⁉️	exclamation, mark, punctuation, question
⌛️	hourglass, sand, timer
⏲️	timer
☎️	land line, phone, telephone
☑️	ballot, ballot box with check, box, tick
♍️	Virgo, virgin, zodiac
♐️	Sagittarius, archer, centaur, zodiac
♒️	Aquarius, water bearer, zodiac
♣️	card, clubs, game
♦️	card, diamonds, game
♾️	eternal, forever, unbound, universal
♿️	access, disabled access, wheelchair symbol
⛔️	denied, entry, forbidden, no, prohibited, traffic
⛩️	Shinto, Shinto shrine, religion, shrine
⛱️	beach, beach umbrella, sand, sun, umbrella
⛳️	flag, golf, hole
⛸️	ice, ice skating, skate
⛽️	diesel, fuel, gas, petrol pump, pump, station
✔️	heavy tick mark, mark, tick
✝️	Christian, Christian cross, cross, religion
🌶️	chilli, pepper
🎟️	admission, entry, ticket
🎬️	clapper, film
🏄️	person surfing, surfer, surfing
🏆️	celebration, prize, trophy
🏊️	person swimming, swim, swimmer
🏌️	ball, golf, golfer, person golfing
🏟️	arena, stadium
💻️	PC, computer, laptop, personal
💿️	CD, computer, disk, optical
📤️	box, letter, mail, out tray, outbox, sent, tray
📥️	box, in tray, inbox, letter, mail, receive, tray
📪️	closed, closed letterbox with lowered flag, lowered, mail, mailbox, postbox
📫️	closed, closed letterbox with raised flag, mail, mailbox, postbox
📬️	mail, mailbox, open, open letterbox with raised flag, postbox
📭️	lowered, mail, mailbox, open, open letterbox with lowered flag, postbox
📺️	TV, television, video
📻️	AM, FM, radio, wireless
🔈️	low, quiet, soft, speaker, volume
🕰️	clock
🕵️	detective, investigator, sleuth, spy
🕷️	arachnid, spider
🗂️	index card dividers
🗄️	filing cabinet
🚭️	denied, forbidden, no, prohibited, smoking
🚼️	baby, baby symbol, change room, changing
🛋️	couch, couch and lamp, hotel, lamp, sofa, sofa and lamp
🛎️	bell, hotel, porter, porter bell
🛠️	hammer, hammer and spanner, spanner, tool, wrench
🛣️	freeway, highway, road
