🏻	кожа, оттенок, очень светлый тон кожи, светлый, тело, цвет, цвет кожи, цвет кожи 1–2
🏼	кожа, оттенок, светлый, светлый тон кожи, тело, цвет, цвет кожи, цвет кожи 3
🏽	кожа, оттенок, смуглый, средний тон кожи, тело, цвет, цвет кожи, цвет кожи 4
🏾	кожа, оттенок, тело, темный, темный тон кожи, цвет, цвет кожи, цвет кожи 5
🏿	кожа, оттенок, очень темный тон кожи, тело, темный, цвет, цвет кожи, цвет кожи 6
😀	лицо, радость, счастье, улыбка, широкая улыбка, широко улыбается
😁	зубы, светится от счастья, счастливое лицо, улыбающиеся глаза, широкая улыбка
😂	лицо, радость, слезы, смеется до слез, смех, смех до слез
🤣	rofl, катается со смеху, кататься от хохота, смех, смеяться
😃	лицо, радость, рот, смеется, смех, улыбка
😄	закрытые глаза, радость, смеется с закрытыми глазами, смех, улыбка с закрытыми глазами
😅	нервно смеется, нервный смех, облегчение, пот, холодный пот
😆	прищуренные глаза, смеется с закрытыми глазами, смеется с прищуренными глазами, смех, смех с прищуренными глазами
😉	глаз, лицо, мигать, подмигивает, подмигивать, прищур
😊	глаза, довольно улыбается, лицо, румянец, улыбка, щеки
😋	вкус, вкусно, еда, пища, смак
😎	клево, круто, лицо в солнцезащитный очках, лицо в темных очках, солнцезащитные очки
😍	влюбленное лицо, глаза, лицо, любовь, сердце, чувства
😘	воздушный, воздушный поцелуй, любовь, отправляет воздушный поцелуй, сердечко, целует, целую
🥰	влюбленность, влюбленный, сердечки, улыбающееся лицо с сердечками, улыбка с сердечками
😗	лицо, любовь, поцелуй, целует
😙	глаза, лицо, поцелуй, счастливый поцелуй, улыбка
😚	глаза, закрытые, лицо, поцелуй, поцелуй с закрытыми глазами, целует с закрытыми глазами
🙂	легкая улыбка, лицо, радость, слегка улыбается, улыбка, хорошо
🤗	лицо, обнимает, объятие, руки
🤩	звезды, звезды в глазах, радость, смеяться, улыбка
🤔	думает, задумчивость, лицо, пальцы, размышления
🤨	не верит, недоверие, подозрение, скептик, скептически
😑	без эмоций, безразличие, лицо, нет, ничего, эмоции
😶	без рта, лицо без рта, молчание, тихо, тишина
🙄	глаза, досада, закатить, закатывает глаза, лицо, скука
😏	задумал, лицо, ухмылка, ухмыляется, хитрый
😣	зажмурился, лицо, настойчивость, проявляет настойчивость, смайлик, упорство
😥	лицо, облегчение, обошлось, прошло, разочарование, фух
😮	лицо, открытый, рот, удивление
🤐	закрытый, лицо, молчание, рот, рот на замке, секрет
😯	лицо, молчание, неприятно, неприятный сюрприз, сюрприз, удивление
😪	лицо, мало, сон, сонливость, усталость, хочет спать
😫	лицо, отдых, работа, сильная усталость, спать, усталость
😴	дрема, лицо, отдых, сон, спит
😌	испытывает облегчение, лицо, минуло, облегчение, обошло, спокойствие, стороной
😛	дразнит, лицо, показывает язык, хитрый, язык
😜	лицо, подмигивание, подтрунивание, показывает язык и подмигивает, розыгрыш, язык
😝	гадость, зажмуривается, морщится и показывает язык, отвращение, показывает язык
🤤	лицо, пускает слюни, слюни
😒	лицо, недовольный, скука, скусно, скучает, тоска
😓	болезнь, в холодном поту, нервничает, пот, страх
😔	задумчивость, лицо, мысли, размышления, размышляет
😕	в замешательстве, замешательство, конфуз, лицо, стеснение
🙃	вверх, вверх тормашками, лицо, ногами, перевернутое
🤑	деньги в глазах, жадный, лицо, прибыль, рот
😲	в шоке, лицо, потрясение, удивление, шок
🙁	лицо, недовольный, немного грустит, немного грустное лицо, плохо, хмурый
😖	в растерянности, лицо, растерянность, сбит, сбит с толку, толк, тупик
😞	испытывает разочарование, лицо, недоволен, разочарование, фрустрация
😟	беспокоится, беспокойство, лицо, расстройство, тревога, тревожность
😤	в ожидании успеха, гордость, гордый, пар из носа
😢	грусть, лицо, печаль, плачет, слезы
😭	крокодильи слезы, плач, плачет, рев, слезы рекой
😦	в изумлении, изумление, лицо, открыт, рот, удивление, хмурый
😧	боль, лицо, муки, плохо, страдает, страдание, тоска
😨	боится, жуть, испуг, лицо, рот, страх
😩	истощен, лицо, устал, усталость
🤯	в шоке, взрыв мозга, голова, шок
😬	гримаса, зубы, лицо, рожа
😰	боится, открытый рот, пот, сильно беспокоится, страх
😱	в ужасе, испуг, крик, страх, ужас
🥵	болеет, высокая температура, жар, лихорадка, потеет
🥶	замерз, мерзнет, морозно, посинел, холодно
😳	краснеет, красный, лицо, смущение, щеки
🤪	большой, глаз, кривой, лицо, маленький, рожа, сумасшедшее лицо
😵	голова кружится, головокружение, головокружительный, лицо
😡	злится, злой, красный, лицо, рассерженный, сердитый
😠	злой, лицо, недовольный, сердится, сердитый
🤬	браниться, брань, мат, материться, ругань, ругаться, цензура
😷	больной, в медицинской маске, врач, защита, лицо, маска, медик
🤒	болезнь, лицо, недуг, рот, с градусником во рту, термометр
🤕	боль, лицо, лоб, плохо, повязка, с перевязанной головой
🤢	болезнь, лицо, морская болезнь, тошнит, тошно
🤮	блевать, рвота, тошнит, тошнота
🤧	апчхи, лицо, насморк, пчхи, чихает
😇	ангел, лицо, невинность, с нимбом, святость, сказка
🤠	в ковбойской шляпе, в шляпе, ковбой, лицо, шляпа
🥳	веселится, вечеринка, день рождения, на вечеринке, праздник
🥴	головокружение, дезориентация, плохо, тошнота, чувствует головокружение
🥺	большие глаза, глаза, просит, слезы, умоляет
🤥	буратино, врать, длинный нос, лжец, обманывать
🤫	молчи, секрет, тайна, тихо, тишина, тс-с-с
🤭	лишнего, лишнее, ляпнуть, ой, прикрывает рот рукой, проговориться, хи-хи
🧐	задавака, монокль, напыщенный, с моноклем, старомодный
🤓	в очках, всезнайка, отличник, очкарик, очки
😈	лицо, рога, сказка, улыбающийся чертенок, улыбка, фэнтези
👿	демон, злой чертенок, мифология, чертенок, чертик
🤡	клоун, лицо
👹	лицо, мифология, монстр, страх, существо, чудовище
👺	гоблин, монстр, носатое чудище, сказка, японский гоблин
💀	голова, опасность, смерть, страх, череп
👻	лицо, привидение, сказки, страх, существо
👾	космический монстр, космос, лицо, нло, пришелец, фнтастика, чужой
🤖	лицо, монстр, робот, страх
💩	какашка, лицо, смех, фекалии, шутка
😺	кот, кот с широкой улыбкой, морда, улыбающийся кот, широкая улыбка
😸	кот, кот с закрытыми глазами, кот с широкой улыбкой и закрытыми глазами, морда, смеющийся кот
😹	кот, кот смеется до слез, морда, смеющийся до слез кот, смеющийся кот
😻	влюбленный кот, кот, морда, сердечки, счастье, улыбка
😼	кот, кот с ухмылкой, улыбка, ухмылка, ухмыляющийся кот, хитрость, хитрый
😽	глаза, губы, кот, кот целует, морда, целующий кот
🙀	кот, кот в шоке, морда, удивление
😿	кот, кот плачет, морда, печаль, плач, плачущий кот, слезы
😾	злой, злой кот, кот, морда, недовольный, раздраженный
🙈	глаза, запрещено, зрение, нельзя, ничего не вижу, обезьяна
🙉	запрещено, лапы, нельзя, ничего не слышу, обезьяна, слух, уши
🙊	закрыт, запрещено, лапы, молчание, ничего никому не скажу, обезьяна, рот
👶	дитя, карапуз, маленький, младенец, ребенок
🧒	гендерно нейтральный, дитя, малыш, ребенок
👦	дитя, маленький, малыш, мальчик, ребенок
👧	девочка, дитя, маленькая, малышка, ребенок
🧑	взрослый, гендерно нейтральный, совершеннолетний
👱	блондин, волосы, светлые, человек, человек со светлыми волосами
👨	взрослый, мужчина, усы, человек
👱‍♂	блондин, мужчина, мужчина со светлыми волосами, светлые волосы, человек со светлыми волосами
🧔	борода, бородатый человек, бородач, мужчина
👩	взрослая, волосы, длинные, женщина, человек
👱‍♀	блондинка, женщина, женщина со светлыми волосами, светлые волосы, человек со светлыми волосами
🧓	в возрасте, гендерно нейтральный, пожилой, пожилой человек, старый
👴	годы, мужчина, пожилой, пожилой мужчина, старик, старый, человек
👵	женщина, пожилая, пожилая женщина, старая, старуха, человек
👨‍⚕	врач, доктор, медбрат, мужчина, терапевт
