‾	ზედა ტირე, ზედა ხაზი
_	ქვედა ტირე, ქვედა ხაზი, ხაზგასმა
-	დეფისი, დეფისი-მინუსი, მინუსი, ტირე
‐	დეფისი, მინუსი, ტირე
–	საშუალო, საშუალო ტირე, ტირე
—	გრძელი, გრძელი ტირე, ტირე
―	ტირე, ხაზი, ჰორიზონტალური ხაზი
・	ინტერპუნქტი, კატაკანა, კატაკანას შუაწერტილი, შუაწერტილი, წერტილი
,	მძიმე
،	არაბული, არაბული მძიმე, მძიმე
、	იდეოგრაფიული, იდეოგრაფიული მძიმე, მძიმე
;	წერტილმძიმე
؛	არაბული, არაბული წერტილმძიმე, წერტილმძიმე
:	ორწერტილი
!	ძახილი, ძახილის ნიშანი, წამოძახილი
¡	შებრუნებული, შებრუნებული ძახილის ნიშანი, ძახილი, ძახილის მაჩვენებელი, ძახილის ნიშანი, წამოძახილი
?	კითხვა, კითხვის ნიშანი
¿	კითხვა, კითხვის ნიშანი, შებრუნებული, შებრუნებული კითხვის ნიშანი
؟	არაბული, არაბული კითხვის ნიშანი, კითხვა, კითხვის ნიშანი
‽	ინტერბანგი, კითხვა-ძახილი
.	დასასრული, წერტილი
…	მრავალწერტილი, სამი წერტილი, სამწერტილი
。	იდეოგრაფიული, იდეოგრაფიული წერტილი, წერტილი
·	შუა, შუა პუნქტი, შუა წერტილი, წერტილი
'	ერთმაგი ბრჭყალი, საბეჭდი მანქანის აპოსტროფი, შეუმოსავი აპოსტროფი
‘	აპოსტროფი, ერთმაგი ბრჭყალი, მარცხენა აპოსტროფი, სტრიქონზედა მძიმე
’	აპოსტროფი, ერთმაგი ბრჭყალი, მარჯვენა აპოსტროფი, სტრიქონზედა მძიმე
‚	აპოსტროფი, ერთმაგი ბრჭყალი, მარჯვენა ქვედა აპოსტროფი, ქვედა ბრჭყალი
“	ბრჭყალი, ზედა, ზედა ორმაგი დახურვის ბრჭყალი, ორმაგი ბრჭყალი
”	ბრჭყალი, ზედა, ზედა ორმაგი ქვეით მომართული ბრჭყალი, ორმაგი ბრჭყალი
„	ბრჭყალი, ორმაგი ბრჭყალი, ქვედა, ქვედა ორმაგი გამხსნელი ბრჭყალი
