🏻	boja, emoji modifikator, fitzpatrick, koža, svijetla boja kože
🏼	boja, emoji modifikator, fitzpatrick, koža, svijetlo maslinasta boja kože
🏽	boja, emoji modifikator, fitzpatrick, koža, maslinasta boja kože
🏾	boja, emoji modifikator, fitzpatrick, koža, smeđa boja kože
🏿	boja, emoji modifikator, fitzpatrick, koža, tamno smeđa boja kože
😀	lice, nasmijano lice, smiješak, usta, zubi
😁	lice, lice koje sija od zadovoljstva s nasmiješenim očima, oči, smiješak, sretno lice s nasmiješenim očima
😂	lice, lice sa suzama radosnicama, smijeh, suze, veselje
🤣	lice, pod, smijeh, valjanje, valjanje od smijeha
😃	lice, nasmijano lice s velikim očima, otvorena usta, smiješak
😄	lice, nasmijano lice s nasmiješenim očima, otvoreno, oči, smiješak
😅	hladno, lice, nasmijano lice s kapljicom znoja, smiješak, znoj
😆	lice, nasmijano lice s čvrsto zatvorenim očima, smijeh, smiješak, zadovoljno
😉	lice, lice koje namiguje, namigivanje
😊	lice, nasmiješeno lice s nasmiješenim očima, oči, rumeno, smiješak
😋	fino, lice, lice koje uživa u hrani, njam, smiješak, ukusno
😎	cool, lice, nasmiješeno lice sa sunčanim naočalama, sunce, sunčane naočale
😍	lice, ljubav, nasmiješeno lice s očima u obliku srca, oči, smiješak, srce
😘	lice, lice koje šalje poljubac, poljubac, srce
🥰	nasmijano lice sa srcima, obožavanje, zaljubiti se, zaljubljenost
😗	lice, lice koje ljubi, poljubac
😙	lice, lice koje ljubi s nasmiješenim očima, oči, poljubac, smiješak
😚	lice, lice koje ljubi zatvorenih očiju, oči, poljubac, zatvoreno
🙂	blago nasmiješeno lice, lice, smiješak
🤗	grljenje, lice, lice koje grli, zagrljaj
🤩	lice, lice s očima u obliku zvijezda, oduševljenje, oči, smiješak
🤔	lice, lice koje razmišlja, razmišljanje
🤨	lice s podignutom obrvom, nepovjerenje, skeptično
😑	bezizražajno, bezizražajno lice, bezlično, lice
😶	bezglasno, lice, lice bez usta, tiho, usta
🙄	kolutanje, lice, lice s kolutajućim očima, oči
😏	lice, lice koje se smijulji, smijuljenje
😣	lice, odlučno lice, ustrajanje
😥	lice, olakšanje, razočaranje, tužno lice, ali s izrazom olakšanja
😮	lice, lice s otvorenim ustima, otvoreno, suosjećanje, usta
