🦵🏻	άκρο, ανοιχτόχρωμος τόνος δέρματος, κλωτσιά, πόδι, πόδι: ανοιχτόχρωμος τόνος δέρματος
🦵🏼	άκρο, κλωτσιά, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, πόδι, πόδι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🦵🏽	άκρο, κλωτσιά, μεσαίος τόνος δέρματος, πόδι, πόδι: μεσαίος τόνος δέρματος
🦵🏾	άκρο, κλωτσιά, μεσαίος-σκούρος τόνος δέρματος, πόδι, πόδι: μεσαίος-σκούρος τόνος δέρματος
🦵🏿	άκρο, κλωτσιά, πόδι, πόδι: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
🦶🏻	ανοιχτόχρωμος τόνος δέρματος, κάτω άκρο, κάτω άκρο: ανοιχτόχρωμος τόνος δέρματος, κλωτσιά, ποδοβολάω
🦶🏼	κάτω άκρο, κάτω άκρο: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, κλωτσιά, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ποδοβολάω
🦶🏽	κάτω άκρο, κάτω άκρο: μεσαίος τόνος δέρματος, κλωτσιά, μεσαίος τόνος δέρματος, ποδοβολάω
🦶🏾	κάτω άκρο, κάτω άκρο: μεσαίος-σκούρος τόνος δέρματος, κλωτσιά, μεσαίος-σκούρος τόνος δέρματος, ποδοβολάω
🦶🏿	κάτω άκρο, κάτω άκρο: σκούρος τόνος δέρματος, κλωτσιά, ποδοβολάω, σκούρος τόνος δέρματος
🦸🏻	ήρωας, ανοιχτόχρωμος τόνος δέρματος, ηρωίδα, καλός, υπερήρωας, υπερήρωας: ανοιχτόχρωμος τόνος δέρματος, υπερδύναμη
🦸🏼	ήρωας, ηρωίδα, καλός, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, υπερήρωας, υπερήρωας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, υπερδύναμη
🦸🏽	ήρωας, ηρωίδα, καλός, μεσαίος τόνος δέρματος, υπερήρωας, υπερήρωας: μεσαίος τόνος δέρματος, υπερδύναμη
🦸🏾	ήρωας, ηρωίδα, καλός, μεσαίος-σκούρος τόνος δέρματος, υπερήρωας, υπερήρωας: μεσαίος-σκούρος τόνος δέρματος, υπερδύναμη
🦸🏿	ήρωας, ηρωίδα, καλός, σκούρος τόνος δέρματος, υπερήρωας, υπερήρωας: σκούρος τόνος δέρματος, υπερδύναμη
🦸🏻‍♀	ήρωας, ανοιχτόχρωμος τόνος δέρματος, γυναίκα, γυναίκα υπερήρωας, γυναίκα υπερήρωας: ανοιχτόχρωμος τόνος δέρματος, ηρωίδα, καλή, υπερδύναμη
🦸🏼‍♀	ήρωας, γυναίκα, γυναίκα υπερήρωας, γυναίκα υπερήρωας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ηρωίδα, καλή, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, υπερδύναμη
