🏻	piel, tipo 1, tipo 2, tono, tono de piel, tono de piel claro
🏼	piel, tipo 3, tono, tono de piel, tono de piel claro medio
🏽	piel, tipo 4, tono, tono de piel, tono de piel medio
🏾	piel, tipo 5, tono, tono de piel, tono de piel oscuro medio
🏿	piel, tipo 6, tono, tono de piel, tono de piel oscuro
😀	cara, cara sonriendo, divertido, feliz, sonrisa
😁	cara, cara radiante con ojos sonrientes, ojo, risa, sonrisa
😂	cara, cara llorando de risa, felicidad, lágrima, risa
🤣	cara, cara revolviéndose de la risa, carcajada, ojos cerrados, risa
😃	cara, cara sonriendo con ojos grandes, divertido, risa, sonriendo
😄	abierta, cara, cara sonriendo con ojos sonrientes, ojo, sonrisa
😅	cara, cara sonriendo con sudor frío, frío, risa, sudor
😆	abierta, boca, cara, cara sonriendo con los ojos cerrados, risa
😉	cara, cara guiñando el ojo, guiño
😊	cara, cara feliz con ojos sonrientes, ojo, rubor, sonrisa
😋	cara, cara saboreando comida, delicioso, hambre, rico
😎	cara, cara sonriendo con gafas de sol, gafas, guay, sol
😍	amor, cara, cara sonriendo con ojos de corazón, corazón, sonrisa
😘	beso, cara, cara lanzando un beso
🥰	adorar, cara sonriendo con 3 corazones, enamorada, enamorado
😗	beso, cara, cara besando
😙	beso, cara, cara besando con ojos sonrientes, ojo, sonrisa
😚	beso, cara, cara besando con los ojos cerrados, cerrado, ojo
☺	cara, cara sonriente, contorno, relajado, sonrisa
🙂	cara, cara sonriendo ligeramente, sonrisa
🤗	abrazo, cara, cara con manos abrazando, sonrisa
🤩	cara, cara sonriendo con estrellas, estrellas, sonrisa
🤔	cara, cara pensativa, pensando
🤨	cara con ceja alzada, desconfiado, escéptico
😐	cara, cara neutral, inexpresivo, neutral
😑	cara, cara sin expresión, inexpresiva, inexpresivo, inexpresión
😶	boca, callado, cara, cara sin boca, silencio
🙄	cara, cara con ojos en blanco, frustración, ojos, vueltos
😏	cara, cara sonriendo con superioridad, listillo, superioridad
😣	cara, cara desesperada, desesperación, frustración
😥	aliviado, cara, cara triste pero aliviada, decepcionado, menos mal
😮	boca, cara, cara con la boca abierta
🤐	boca, cara, cara con la boca cerrada con cremallera, cremallera
😯	alucinado, cara, cara estupefacta, estupefacto, sorprendido
😪	cara, cara de sueño, dormir, sueño
😫	cansado, cara, cara cansada
😴	cara, cara durmiendo, dormido, sueño, zzz
😌	aliviado, cara, cara de alivio
😛	cara, cara sacando la lengua, lengua
😜	cara, cara sacando la lengua y guiñando un ojo, guiño, lengua, ojo
😝	cara, cara con ojos cerrados y lengua fuera, lengua, ojo, sabor
🤤	baba, babeando, cara, cara babeando
😒	cara, cara de desaprobación, insatisfacción, rechazo
😓	cara, cara con sudor frío, frío, sudor
😔	alicaído, cara, cara desanimada, desanimado, pensativo
😕	cara, cara de confusión, confuso
🙃	cara, cara al revés, revés
🤑	boca, cara, cara con lengua de dinero, dinero
😲	alucinado, asombrado, cara, cara asombrada, pasmado
☹	cara, cara con el ceño fruncido, ceño, fruncido
🙁	cara, cara con el ceño ligeramente fruncido, ceño, fruncido
😖	cara, cara de frustración, frustrado
😞	cara, cara decepcionada, decepcionado, decepción
😟	cara, cara preocupada, preocupación, preocupado
😤	cabreo, cara, cara resoplando, enfado
😢	cara, cara llorando, llorar, lágrima, triste
😭	cara, cara llorando fuerte, llorar, lágrima, triste
😦	boca abierta, cara, cara con el ceño fruncido y la boca abierta, ceño fruncido con boca abierta
😧	angustia, angustiado, cara, cara angustiada
😨	asustado, cara, cara asustada, miedo, miedoso
😩	agotado, cansado, cara, cara agotada
🤯	cabeza, cabeza explotando, explosión
😬	cara, cara haciendo una mueca, mueca
😰	ansiedad, cara, cara con ansiedad y sudor, frío, sudor
😱	asustado, cara, cara gritando de miedo, miedo, pánico
🥵	calor, cara con calor, cara roja, fiebre, golpe de calor, sudor
🥶	cara con frío, cara congelada, congelado, frío, helado
😳	cara, cara sonrojada, colorado, sonrojado
🤪	cara de loco, grande, ojo, pequeño
😵	cara, cara mareada, mareo
😡	cabreo, cara, cara cabreada, enfadado, furia
😠	cara, cara enfadada, enfadado, histérico
🤬	cara con símbolos en la boca, maldecir, palabrota, símbolo
😷	cara, cara con mascarilla médica, enfermo, malo, máscara
🤒	cara, cara con termómetro, enfermo, malo, termómetro
🤕	cara, cara con la cabeza vendada, dolor, herida, venda
🤢	cara, cara de náuseas, náuseas, vomitar
🤮	cara vomitando, enfermo, malo, vomitar
🤧	cara, cara estornudando, estornudar, estornudo, pañuelo
😇	cara, cara sonriendo con aureola, halo, sonrisa, ángel
🤠	cara, cara con sombrero de vaquero, sombrero, vaquera, vaquero
🥳	capirote, cara de fiesta, celebración, fiesta, gorro, matasuegras
🥴	atontado, cara de grogui, entonado, grogui, intoxicado, mareado
🥺	cara de por favor, implorar, ojos adorables, piedad, por favor
🤥	cara, cara de mentiroso, mentiroso, nariz, pinocho
🤫	callado, cara pidiendo silencio, silencio
🤭	cara con mano sobre la boca, ostras, uy, vaya
🧐	aristocrático, cara con monóculo, estirado
🤓	cara, cara de empollón, empollón, friki, friqui
😈	cara, cara sonriendo con cuernos, cuernos, demonio, sonrisa
👿	cara, cara enfadada con cuernos, cuernos, demonio, diablo
🤡	cara, cara de payaso, payaso
👹	cara, cuento, cuernos, demonio japonés oni, sonrisa
👺	cara, cuento, demonio japonés tengu, fantasía, monstruo, tengu
💀	calavera, cara, cuento, monstruo, muerte
☠	calavera, calavera y huesos cruzados, cara, huesos, muerte
👻	cara, criatura, cuento, fantasma, monstruo
👽	alien, alienígena, cara, criatura, extraterrestre, ovni
👾	alien, cara, criatura, extraterrestre, monstruo alienígena, ovni
🤖	cara, cara de robot, monstruo, robot
💩	caca, caca con ojos, cómic, mierda, mojón
😺	abierta, cara, cara de gato sonriendo, gato, sonrisa
😸	cara, cara de gato sonriendo con ojos sonrientes, gato, sonrisa
😹	cara, cara de gato llorando de risa, gato, lágrima, risa
😻	cara, cara de gato sonriendo y ojos de corazón, corazón, gato, sonrisa
😼	cara, cara de gato con sonrisa irónica, gato, irónico, sonrisa
😽	beso, cara, cara de gato besando, gato, ojo
🙀	cara, cara de gato asustado, gato, pánico, sorpresa
😿	cara, cara de gato llorando, gato, lágrima, triste
😾	cara, cara de gato enfadado, enfadado, gato
🙈	cara, mal, mono, mono con los ojos tapados, prohibido
🙉	cara, mal, mono, mono con los oídos tapados, prohibido
🙊	cara, mal, mono, mono con la boca tapada, prohibido
👶	bebé, joven, niño
🧒	crío, género, infante, joven, neutro
👦	joven, niño
👧	chica, joven, niña
🧑	género, neutro, persona adulta
👱	persona adulta rubia, personas, rubio
👨	adulto, hombre
👱‍♂	hombre, hombre rubio, rubiales, rubio
🧔	barba, persona con barba
👩	adulta, mujer
👱‍♀	mujer, mujer rubia, rubia, rubiales
🧓	género, maduro, mayor, neutro, persona adulta madura
👴	anciano, hombre, mayor
👵	anciana, mayor, mujer
👨‍⚕	doctor, enfermero, médico, profesional sanitario hombre, sanitario, terapeuta hombre
👩‍⚕	doctora, enfermera, médica, profesional sanitario mujer, sanitaria, terapeuta mujer
👨‍🎓	estudiante, estudiante hombre, graduado, hombre, licenciado, universitario
👩‍🎓	estudiante, estudiante mujer, graduada, licenciada, mujer, universitaria
👨‍🏫	educador, hombre, instructor, maestro, profesor
👩‍🏫	educadora, instructora, maestra, mujer, profesora
👨‍⚖	balanza, hombre, juez, justicia, magistrado
👩‍⚖	balanza, jueza, justicia, magistrada, mujer
👨‍🌾	agricultor, campo, granjero, hombre, labrador
👩‍🌾	agricultora, campo, granjera, labradora, mujer
👨‍🍳	chef, cocinero, hombre, pinche
👩‍🍳	chef, cocinera, mujer, pinche
👨‍🔧	electricista, fontanero, hombre, mecánico, operario
👩‍🔧	electricista, fontanera, mecánica, mujer, operaria
👨‍🏭	fábrica, montaje, obrero, operario, trabajador
👩‍🏭	fábrica, montaje, obrera, operaria, trabajadora
👨‍💼	director, empresa, hombre, oficina, oficinista, oficinista hombre
👩‍💼	directora, empresa, mujer, oficina, oficinista, oficinista mujer
👨‍🔬	biólogo, científico, físico, hombre, químico
👩‍🔬	bióloga, científica, física, mujer, química
👨‍💻	desarrollador, hombre, informático, programador, tecnólogo
👩‍💻	desarrolladora, informática, mujer, programadora, tecnóloga
👨‍🎤	artista, cantante hombre, estrella, hombre, rock
👩‍🎤	artista, cantante mujer, estrella, mujer, rock
👨‍🎨	artista hombre, hombre, paleta, pintor, pinturas
👩‍🎨	artista mujer, mujer, paleta, pintora, pinturas
👨‍✈	avión, hombre, piloto, piloto hombre, vuelo
👩‍✈	avión, mujer, piloto, piloto mujer, vuelo
👨‍🚀	astronauta, astronauta hombre, cohete, espacio, hombre
👩‍🚀	astronauta, astronauta mujer, cohete, espacio, mujer
👨‍🚒	bombero, camión, manguera
👩‍🚒	bombera, camión, manguera
👮	agente, agente de policía, personas, policía
👮‍♂	agente, agente de policía hombre, hombre, poli, policía
👮‍♀	agente, agente de policía mujer, mujer, poli, policía
🕵	cara, detective, espía
🕵‍♂	agente, detective, detective hombre, espía, hombre, investigador
🕵‍♀	agente, detective, detective mujer, espía, investigadora, mujer
💂	guardia, personas
💂‍♂	guardia, guardia hombre, hombre, vigilante
💂‍♀	guardia, guardia mujer, mujer, vigilante
👷	casco, construcción, obrero, personas, trabajador
👷‍♂	albañil, construcción, hombre, obrero, obrero hombre, trabajador
👷‍♀	albañil, construcción, mujer, obrera, trabajadora
🤴	corona, príncipe
👸	cuento, fantasía, hadas, princesa
👳	hombre, persona con turbante, personas, turbante
👳‍♂	hombre, hombre con turbante, turbante
👳‍♀	mujer, mujer con turbante, turbante
👲	gorro, gua, hombre, hombre con gorro chino, mao
🧕	hiyab, mujer con hiyab, pañuelo
🤵	esmoquin, hombre, hombre con esmoquin, novio
👰	boda, mujer, novia, novia con velo, velo
🤰	embarazada, mujer, mujer embarazada
🤱	amamantar, bebé, dar pecho, lactancia materna, pecho
👼	bebé, bebé ángel, cara, cuento, ángel
🎅	Papá Noel, celebración, claus, navidad, papá noel, santa
🤶	Mamá Noel, abuela, mamá, navidad, noel
🦸	bueno, heroína, héroe, personaje de superhéroe, superhéroe, superpoder
🦸‍♀	heroína, héroe, mujer, superheroína, superhéroe, superpoder
🦸‍♂	bueno, hombre, héroe, superhéroe, superpoder
🦹	criminal, malo, malvado, personaje de supervillano, superpoder, villano
🦹‍♀	criminal, malvada, mujer, superpoder, supervillana, villana
🦹‍♂	criminal, hombre, malvado, superpoder, supervillano, villano
🧙	bruja, brujo, hechicera, hechicero, persona maga
🧙‍♀	bruja, hechicera, maga
🧙‍♂	brujo, hechicero, mago
🧚	campanilla, hada, oberón, puck, titania
🧚‍♀	campanilla, hada, hada mujer, titania
🧚‍♂	hada, hada hombre, oberón, puck
🧛	drácula, muerto viviente, no muerto, vampiro
🧛‍♀	muerta viviente, no muerta, vampiresa
🧛‍♂	drácula, muerto viviente, no muerto, vampiro hombre
🧜	persona sirena, sirena
🧜‍♀	sirena
🧜‍♂	sirena, sirena hombre, tritón
🧝	elfo, mágico
🧝‍♀	elfa, mujer, mágico
🧝‍♂	elfo, elfo hombre, mágico
🧞	genio, lámpara
🧞‍♀	genio, genio mujer, lámpara
🧞‍♂	djinn, genio, genio hombre, lámpara
🧟	caminante, muerto viviente, no muerto, zombi
🧟‍♀	caminante, muerta viviente, no muerta, zombi mujer
🧟‍♂	caminante, muerto viviente, no muerto, zombi hombre
🙍	ceño, fruncido, gesto, persona, persona frunciendo el ceño
🙍‍♂	ceño, fruncido, gesto, hombre, hombre frunciendo el ceño
🙍‍♀	ceño, fruncido, gesto, mujer, mujer frunciendo el ceño
🙎	gesto, persona, persona haciendo pucheros, pucheros
🙎‍♂	gesto, hombre, hombre haciendo pucheros, pucheros
🙎‍♀	gesto, mujer, mujer haciendo pucheros, pucheros
🙅	gesto, mano, no, persona haciendo el gesto de "no", prohibido
🙅‍♂	gesto, hombre, hombre haciendo el gesto de "no", mano, prohibido
🙅‍♀	gesto, mano, mujer, mujer haciendo el gesto de "no", prohibido
🙆	OK, gesto, mano, persona haciendo el gesto de "de acuerdo", vale
🙆‍♂	OK, gesto, hombre haciendo el gesto de "de acuerdo", mano, vale
🙆‍♀	OK, gesto, mano, mujer haciendo el gesto de "de acuerdo", vale
💁	información, mano, mostrador, persona, persona de mostrador de información
💁‍♂	empleado de mostrador de información, hombre, información, mano, mostrador
💁‍♀	empleada de mostrador de información, información, mano, mostrador, mujer
🙋	feliz, gesto, levantar, mano, persona con la mano levantada
🙋‍♂	gesto, hombre, hombre con la mano levantada, levantar, mano
🙋‍♀	gesto, levantar, mano, mujer, mujer con la mano levantada
🙇	disculpa, gesto, perdón, persona haciendo una reverencia, reverencia
🙇‍♂	disculpa, gesto, hombre haciendo una reverencia, perdón, reverencia
🙇‍♀	disculpa, gesto, mujer haciendo una reverencia, perdón, reverencia
🤦	facepalm, frente, incredulidad, mano, persona con la mano en la frente
🤦‍♂	facepalm, frente, hombre con la mano en la frente, incredulidad, mano
🤦‍♀	facepalm, frente, incredulidad, mano, mujer con la mano en la frente
🤷	duda, encogerse, hombros, indiferencia, persona encogida de hombros
🤷‍♂	duda, encogerse, hombre encogido de hombros, hombros, indiferencia
🤷‍♀	duda, encogerse, hombros, indiferencia, mujer encogida de hombros
💆	cara, facial, masaje, persona recibiendo masaje, salón
💆‍♂	cara, facial, hombre recibiendo masaje, masaje, salón
💆‍♀	cara, facial, masaje, mujer recibiendo masaje, salón
💇	belleza, corte, pelo, peluquero, persona cortándose el pelo
💇‍♂	belleza, corte, hombre cortándose el pelo, pelo, peluquero
💇‍♀	belleza, corte, mujer cortándose el pelo, pelo, peluquero
🚶	andar, caminando, caminar, persona caminando
