🏻	白皮膚, 膚色
🏼	膚色, 黃皮膚
🏽	淺褐皮膚, 膚色
🏾	膚色, 褐皮膚
🏿	膚色, 黑皮膚
😀	微笑, 笑臉
😁	嘻嘻, 笑臉, 露齒而笑
😂	喜極而泣, 感動
🤣	捧腹, 笑, 笑翻了, 翻
😃	呵呵, 哈哈, 大笑, 笑臉
😄	呵呵, 哈哈, 笑臉
😅	汗, 苦笑
😆	呵呵, 哈哈, 狂笑, 笑臉
😉	眨眼, 表情
😊	微笑, 笑臉
😋	口水, 好吃
😎	墨鏡, 酷
😍	心花怒放, 花痴
😘	親親, 親親飛吻, 飛吻
🥰	一見鐘情, 三個愛心的笑臉, 喜歡, 戀愛了
😗	嘟嘴, 表情, 親親
😙	笑臉親親, 親親
😚	瞇眼親親, 親親
🙂	呆呆笑, 笑臉
🤗	抱抱, 擁抱
🤩	星星, 眼冒星星, 眼睛, 臉, 露齒笑
🤔	思考, 表情
🤨	不相信, 懷疑, 挑眉驚訝
😑	無語, 面無表情
😶	沉默, 表情
🙄	不屑, 翻白眼, 鄙視
😏	假笑, 冷笑
😣	忍痛中, 痛苦
😥	沮喪, 流汗, 鬆了口氣
😮	啊, 驚訝
🤐	嘴上拉鍊, 閉嘴
😯	哦, 驚訝
😪	打瞌睡, 睏
😫	嘆氣, 疲勞, 疲憊, 累
😴	打呼, 睡著了
😌	放鬆, 鬆了口氣
😛	吐舌頭, 嘿嘿
😜	吐舌頭, 嘿嘿
😝	吐舌頭, 嘿嘿, 眨眼吐舌頭
🤤	口, 垂涎, 水, 流, 流口水
😒	不開心, 不高興
😓	冷汗, 表情
😔	思考, 沉思
😕	困擾, 面有難色
🙃	臉上下顛倒, 顛倒臉
🤑	發財, 見錢眼開
😲	震驚, 驚
🙁	不開心, 壞心情
😖	困惑, 焦頭爛額
😞	失望, 沮喪
😟	憂心忡忡, 擔心
😤	傲慢, 揚眉吐氣
😢	哭臉, 淚
😭	哭, 哭臉, 淚
😦	啊, 目瞪口呆
😧	痛, 難受
😨	可怕, 害怕
😩	唉!, 疲勞, 疲憊, 累
🤯	一個頭兩個大, 驚嚇
😬	咬牙, 咬牙切齒
😰	冒汗, 面有菜色
😱	嚇死了, 恐怖
🥵	好熱, 流汗, 熱臉, 發熱, 臉紅
🥶	冰凍, 冷, 冷臉, 結霜, 藍色的臉
😳	害羞, 愛慕
🤪	大小眼, 瘋狂的臉, 發瘋
😵	表情, 頭暈目眩
😡	怒, 生氣, 發火, 發飆
😠	不爽, 生氣
🤬	嘴上有符號的表情, 發誓
😷	口罩, 生病
🤒	含溫度計, 生病
🤕	包繃帶, 受傷
🤢	吐, 噁心, 想, 想吐
🤮	吐, 吐臉, 狂吐中, 病懨懨
🤧	噴, 嚏, 打, 打噴嚏
😇	天使笑臉, 純真笑臉
🤠	仔, 牛, 牛仔
🥳	帽子, 慶祝, 慶祝的表情, 紙喇叭
🥴	大小眼, 波浪嘴, 頭昏眼花, 頭暈
🥺	拜託, 求求你, 無辜臉, 請求的臉
🤥	小木偶, 變, 長, 鼻, 鼻子變長了
🤫	噓, 安靜
🤭	哎喲, 手蓋住嘴巴
🧐	單片眼鏡, 病厭厭
🤓	怪人, 搞怪, 當阿宅
😈	惡魔的笑, 邪惡的笑
👿	惡魔, 表情, 邪惡
🤡	丑, 小, 小丑
👹	妖怪, 惡鬼, 表情, 魔鬼
👺	天狗, 妖怪, 怪物
💀	怪物, 骷髏, 骷髏頭
👻	幽靈, 鬼
👾	外星怪物, 怪物
🤖	機器人
💩	便便, 大便
😺	呵呵, 哈哈, 笑臉
😸	微笑的貓臉, 笑臉
😹	喜極而泣, 感動的貓臉
😻	心花怒放, 花痴的貓臉
😼	微笑貓臉, 笑, 貓
😽	親親, 親親的貓臉
🙀	疲勞, 疲憊, 累, 累的貓臉
😿	哭, 哭的貓臉, 哭臉, 淚
😾	怒, 生氣, 生氣的貓臉, 發火, 發飆
🙈	不看, 遮眼, 非禮勿視
🙉	不聽, 遮耳, 非禮勿聽
🙊	摀嘴, 非禮勿言
👶	小嬰兒, 小寶寶
🧒	小孩
👦	男孩
👧	女孩
🧑	大人
👱	金髮, 金髮人
👨	男, 男人, 男性
👱‍♂	男, 金髮, 金髮男
🧔	蓄鬍的人
👩	女, 女人, 女性
👱‍♀	女, 金髮, 金髮女
🧓	長者
👴	老爺爺, 老頭
👵	老太, 老太太, 老奶奶
👨‍⚕	男, 男醫生, 醫生
👩‍⚕	女, 女醫生, 醫生
👨‍🎓	男, 男畢業生, 畢業
👩‍🎓	女, 女畢業生, 畢業
👨‍🏫	教授, 男, 男老師, 老師, 講師
👩‍🏫	女, 女老師, 教授, 老師, 講師
👨‍⚖	法官, 男, 男法官
👩‍⚖	女, 女法官, 法官
👨‍🌾	園丁, 男, 農夫, 農民
👩‍🌾	園丁, 女, 農婦, 農民
👨‍🍳	廚師, 男, 男廚師
👩‍🍳	女, 女廚師, 廚師
👨‍🔧	技工, 機械技師, 男, 男技工, 黑手
👩‍🔧	女, 女技工, 技工, 機械技師, 黑手
👨‍🏭	作業員, 工廠, 工廠男作業員, 男
👩‍🏭	作業員, 女, 工廠, 工廠女作業員
👨‍💼	上班族, 男, 男性上班族, 白領
👩‍💼	上班族, 女, 女性上班族, 白領
👨‍🔬	男, 男科學家, 科學家
👩‍🔬	女, 女科學家, 科學家
👨‍💻	工程師, 男, 男工程師
👩‍💻	女, 女工程師, 工程師
👨‍🎤	明星, 歌手, 男, 男歌手
👩‍🎤	女, 女歌手, 明星, 歌手
👨‍🎨	男, 男藝術家, 藝術家
👩‍🎨	女, 女藝術家, 藝術家
👨‍✈	機長, 男, 男機長
👩‍✈	女, 女機長, 機長
👨‍🚀	太空人, 男, 男太空人
👩‍🚀	太空人, 女, 女太空人
👨‍🚒	消防員, 男, 男消防員
👩‍🚒	女, 女消防員, 消防員
👮	警官, 警察
👮‍♂	男, 男警, 警察
👮‍♀	女, 女警, 警察
🕵‍♂	偵探, 男, 男偵探
🕵‍♀	偵探, 女, 女偵探
💂	憲兵, 衛兵
💂‍♂	憲兵, 男, 男衛兵, 衛兵
💂‍♀	女, 女衛兵, 憲兵, 衛兵
👷	建築工人
👷‍♂	建築工人, 男, 男建築工人
👷‍♀	女, 女建築工人, 建築工人
🤴	子, 王, 王子
👸	公主, 皇冠, 童話
👳	戴頭巾的人, 纏頭巾
👳‍♂	戴頭巾, 男, 纏頭男人
👳‍♀	女, 戴頭巾, 纏頭女人
👲	員外, 師爺, 戴瓜皮帽的人
🧕	包頭巾的女子, 面紗, 頭巾
🤵	尾, 服, 燕, 燕尾服, 西裝
👰	新娘, 結婚, 頭紗
🤰	婦, 孕, 孕婦
🤱	哺乳
👼	兒童, 天使, 孩子
🎅	聖誕老人, 聖誕老公公
🤶	奶, 老, 聖, 聖誕老奶奶, 誕
🦸	天賦, 女英雄, 英雄, 超級英雄, 超能力
🦸‍♀	天賦, 女英雄, 女超人, 英雄, 超能力
🦸‍♂	天賦, 男人, 英雄, 超人, 超能力
🦹	反派, 犯罪, 超級反派, 超能力, 邪惡
🦹‍♀	反派, 女人, 女超級反派, 犯罪, 超能力, 邪惡
🦹‍♂	反派, 犯罪, 男人, 男超級反派, 超能力, 邪惡
🧙	魔術師
🧙‍♀	女巫師
🧙‍♂	男巫
🧚	仙女
🧚‍♀	女妖精
🧚‍♂	男妖精
🧛	吸血鬼
🧛‍♀	女吸血鬼
🧛‍♂	男吸血鬼
🧜	人魚
🧜‍♀	美人魚
🧜‍♂	男人魚
🧝	小精靈
🧝‍♀	女精靈
🧝‍♂	男精靈
🧞	精靈
🧞‍♀	女藍精靈
🧞‍♂	藍精靈
🧟	殭屍
🧟‍♀	女殭屍
🧟‍♂	男殭屍
🙍	皺眉, 表情
🙍‍♂	男, 男生皺眉, 皺眉, 表情
🙍‍♀	女, 女生皺眉, 皺眉, 表情
🙎	生氣, 生氣的人
🙎‍♂	噘嘴, 生氣, 男生噘嘴
🙎‍♀	噘嘴, 女生噘嘴, 生氣
🙅	NG, 不行
🙅‍♂	NG, 不行, 叉, 男生手比叉, 禁止
🙅‍♀	NG, 不行, 叉, 女生手比叉, 禁止
🙆	OK, 可以
🙆‍♂	OK, 可以, 圈, 男生手比圈
🙆‍♀	OK, 可以, 圈, 女生手比圈
💁	俏皮, 服務台人員, 服務員
💁‍♂	小費, 男, 男生抬手
💁‍♀	女, 女生抬手, 小費
🙋	嗨, 舉手
🙋‍♂	嗨, 打招呼, 男, 男生舉手, 舉手
🙋‍♀	嗨, 女, 女生舉手, 打招呼, 舉手
🙇	不好意思, 抱歉, 鞠躬
🙇‍♂	不好意思, 男, 男生鞠躬, 道歉
🙇‍♀	不好意思, 女, 女生鞠躬, 道歉
🤦	不, 哦不, 怎麼會
🤦‍♂	捂臉, 無語, 男, 男生遮臉, 難以置信
🤦‍♀	女, 女生遮臉, 捂臉, 無語, 難以置信
🤷	聳, 聳肩, 肩, 隨便
🤷‍♂	男, 男生聳肩, 聳肩, 隨便
🤷‍♀	女, 女生聳肩, 聳肩, 隨便
💆	按摩, 馬殺雞
💆‍♂	按摩, 男, 男生按摩, 馬殺雞
💆‍♀	女, 女生按摩, 按摩, 馬殺雞
💇	剪頭髮, 理髮
💇‍♂	剪頭髮, 理髮, 男, 男生理髮
💇‍♀	剪頭髮, 女, 女生理髮, 理髮
🚶	行人, 路人
🚶‍♂	男行人, 走路, 路人
🚶‍♀	女行人, 走路, 路人
🏃	跑步, 跑者, 跑馬拉松
🏃‍♂	男, 男跑者, 跑, 馬拉松
🏃‍♀	女, 女跑者, 跑, 馬拉松
💃	舞者, 跳舞
🕺	男, 男人跳著舞, 舞, 跳
👯	兔女郎, 兔耳, 跳舞
👯‍♂	兔耳, 跳舞, 雙人兔男郎
👯‍♀	兔耳, 跳舞, 雙人兔女郎
🧖	做蒸氣浴的人
🧖‍♀	做蒸氣浴的女子
🧖‍♂	做蒸氣浴的男子
🧗	攀岩的人
🧗‍♀	攀岩女子
🧗‍♂	攀岩男子
🧘	盤坐
🧘‍♀	盤坐女子
🧘‍♂	盤坐男子
🛀	洗澡, 盆浴
🛌	睡覺
👤	剪影, 肖像剪影
👥	剪影, 雙人肖像剪影
🤺	擊劍, 西洋劍, 運動
🏇	賽馬, 騎馬
🏌‍♂	男, 男生打高爾夫, 高爾夫
🏌‍♀	女, 女生打高爾夫, 高爾夫
🏄‍♂	男, 男生衝浪, 衝浪
🏄‍♀	女, 女生衝浪, 衝浪
🚣	划船, 划艇
🚣‍♂	划船, 男, 男生划船
🚣‍♀	划船, 女, 女生划船
🏊‍♂	游泳, 男, 男生游泳
🏊‍♀	女, 女生游泳, 游泳
⛹‍♂	球, 男, 男生打球
⛹‍♀	女, 女生打球, 球
🏋‍♂	男, 男生舉重, 舉重
🏋‍♀	女, 女生舉重, 舉重
🚴	腳踏車, 自行車, 騎自行車, 騎車
🚴‍♂	男, 男自行車手, 腳踏車, 自行車, 騎車
🚴‍♀	女, 女自行車手, 腳踏車, 自行車, 騎車
🚵	登山車, 騎登山車
🚵‍♂	男, 男登山車手, 登山車
🚵‍♀	女, 女登山車手, 登山車
🤸	個人, 側翻, 運動, 體操
🤸‍♂	男, 男生側翻, 翻跟斗, 體操
🤸‍♀	女, 女生側翻, 翻跟斗, 體操
