😋	delicious, face, savoring, savouring, smile, yum
😍	smiling face with heart eyes
🙃	face, upside down
😷	cold, doctor, face, face with medical mask, ill, mask, sick
🤒	face, face with thermometer, ill, sick, thermometer
🤧	bless you, face, gesundheit, sneeze, sneezing face
🤭	face with hand over mouth, oops, whoops
😻	smiling cat face with heart eyes
🧒	child, gender-neutral, toddler, unspecified gender, young
👨‍⚕	doctor, health care, man, man health worker, nurse, therapist
👩‍⚕	doctor, health care, nurse, therapist, woman, woman health worker
👨‍🚒	fire truck, firefighter, fireman, man
👩‍🚒	fire truck, firefighter, firewoman, woman
🎅	Christmas, Claus, Father, Santa, celebration
🤶	Mrs. Claus
💇	barber, beauty, haircut, parlour
🤹	balance, juggle, multi-task, multitask, person juggling, skill
🤹‍♂	juggling, man, multi-task, multitask
🤹‍♀	juggling, multi-task, multitask, woman
👬	Gemini, couple, man, men, twins, two men holding hands, zodiac
👭	couple, hand, two women holding hands, woman, women
💪	flexed bicep
🤘	finger, hand, horns, rock on, sign of the horns
🤙	call me hand
👌	OK, hand, perfect
🤛	fist, left-facing fist, leftward
🤜	fist, right-facing fist, rightward
🤟	love you gesture
🦳	gray, grey, hair, old, white
👕	T-shirt, clothing, shirt, t-shirt, tee-shirt, tshirt
🎒	backpack
🧢	baseball cap
💎	gemstone
🐫	Bactrian, camel, hump, two-hump camel
🐞	ladybug
🌾	sheaf of rice
🥜	food, nut, peanut, peanuts, vegetable
🌰	nut
🥐	French, bread, crescent roll, croissant, food
🥖	French, baguette, bread, food
🍔	hamburger
🍟	French fries
🌮	Mexican
🌯	Mexican, wrap
🥫	canned food
🥡	takeout box
🍦	cream, dessert, ice, soft, sweet
🍪	cookie
🍬	candy
🍭	candy, dessert, lollipop, sweet
🍴	fork and knife
🗻	mount Fuji
🗼	Tokyo Tower
🗽	Liberty, Statue
🕌	Islam, Muslim, religion
🕋	Islam, Muslim, religion
🌌	Milky Way
🎡	Ferris wheel
💈	barber pole
🚃	car, electric, railway, train, tram, trolley bus, trolleybus
🚄	Shinkansen, railway, speed, train
🚅	Shinkansen, bullet, railway, speed, train
🚊	tram, trolley bus, trolleybus
🚋	tramcar
🚎	trolley bus
🚒	fire truck
🚙	SUV, recreational, sport utility, sport utility vehicle
🛫	aeroplane, airplane, check-in, departure, departures
🕧	twelve thirty
🕜	one thirty
🕝	two thirty
🕞	three thirty
🕟	four thirty
🕠	five thirty
🕡	six thirty
🕢	seven thirty
🕣	eight thirty
🕤	nine thirty
🕥	ten thirty
🕦	eleven thirty
🌝	full-moon face
🎃	Halloween, celebration, jack, jack-o-lantern, lantern
🎋	Tanabata tree
🎑	moon-viewing ceremony
🏉	rugby
🏏	ball, bat, cricket, game
🧿	bead, charm, evil eye, nazar, talisman
💾	computer, disk, diskette, floppy
🎥	movie camera
🔦	flashlight
📧	e-mail, letter, mail
📮	mailbox
📐	triangular ruler
🔧	wrench
🚽	lavatory, toilet
🛒	shopping cart
🚮	garbage, litter, litter bin, litter in bin sign, trash
🚻	washroom
🔼	upward button
🔽	downward button
📳	cell, mobile, mode, phone, telephone, vibrate, vibration
✅	white heavy check mark
🔠	input Latin uppercase
🔡	input Latin lowercase
🔤	input Latin letters
🏁	checkered flag
™️	mark, tm, trade mark, trademark
☑️	ballot box with check
☦️	Orthodox cross
☪️	Islam, Muslim, religion, star and crescent
☯️	Tao, Taoist, religion, yang, yin
♏️	Scorpio
⛩️	Shinto shrine
⛽️	gas pump
✉️	e-mail, email, envelope, letter
✔️	heavy check mark
✝️	Latin cross
⭐️	yellow medium star
🀄️	Mahjong red dragon
🎓️	cap, celebration, clothing, graduation, hat
🏋️	lifter, person lifting weights, weight, weightlifter
📺️	television, tv, video
🕸️	spider web
🗑️	wastebasket
🗨️	dialogue, left speech bubble, speech
🚹️	men’s room
🚺️	women’s room
🛋️	couch and lamp
🛠️	hammer and wrench
🛥️	motorboat
