🦵🏻	ಒದಿ, ಕಾಲು, ಕಾಲು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🦵🏼	ಒದಿ, ಕಾಲು, ಕಾಲು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🦵🏽	ಒದಿ, ಕಾಲು, ಕಾಲು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🦵🏾	ಒದಿ, ಕಾಲು, ಕಾಲು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🦵🏿	ಒದಿ, ಕಾಲು, ಕಾಲು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🦶🏻	ಒದಿ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಪಾದ, ಪಾದ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ಟಾಂಪ್
🦶🏼	ಒದಿ, ಪಾದ, ಪಾದ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ಟಾಂಪ್
🦶🏽	ಒದಿ, ಪಾದ, ಪಾದ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ಟಾಂಪ್
🦶🏾	ಒದಿ, ಪಾದ, ಪಾದ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ಟಾಂಪ್
🦶🏿	ಒದಿ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಪಾದ, ಪಾದ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ಟಾಂಪ್
🦸🏻	ಉತ್ತಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸೂಪರ್‌ಪವರ್, ಸೂಪರ್‌ಹೀರೊ, ಸೂಪರ್‌ಹೀರೊ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಹೀರೊ, ಹೀರೊಯಿನ್
🦸🏼	ಉತ್ತಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸೂಪರ್‌ಪವರ್, ಸೂಪರ್‌ಹೀರೊ, ಸೂಪರ್‌ಹೀರೊ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಹೀರೊ, ಹೀರೊಯಿನ್
🦸🏽	ಉತ್ತಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಸೂಪರ್‌ಪವರ್, ಸೂಪರ್‌ಹೀರೊ, ಸೂಪರ್‌ಹೀರೊ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಹೀರೊ, ಹೀರೊಯಿನ್
