‾	надцрта
_	доња црта, линија, црта
-	минус, црта, цртица, цртица-минус
‐	црта, цртица
–	правописни знак, црта
—	дуга црта, правописни знак
―	линија, трака, хоризонтална трака, црта
・	катакана, средња тачка, средња тачка у писму катакана, тачке
,	зарез
،	арапски, арапски зарез, зарез
、	зарез, идеографски, идеографски зарез
;	тачка и зарез
؛	арапска, арапска тачка и зарез, тачка и зарез
:	две тачке
!	знак узвика, узвичник
¡	знак узвика, обрнут, обрнут знак узвика, узвичник
?	знак питања, упитник
¿	знак питања, обрнут, обрнути знак питања, упитник
؟	арапски, арапски знак питања, знак питања, упитник
‽	узвичник‐упитник
.	тачка, тачка на крају реченице
…	изостављање, тачке, три тачке
。	идеографска тачка, идеографски, тачка, тачка на крају реченице
·	средина, средња тачка, тачка
'	апостроф, апостроф на писаћој машини, наводник, полунаводник
‘	апостроф, леви апостроф, наводник, полунаводник, типогрфски наводник
’	апостроф, десни апостроф, наводник, полунаводник, типографски наводник
‚	апостроф, доњи десни апостроф, доњи полунаводник, полунаводник
“	двоструки наводници, леви наводник, наводник, наводници, типографски наводник
”	двоструки наводници, десни наводник, наводник, наводници, типографски наводник
„	двоструки наводници, доњи десни наводник, доњи наводник, наводник, наводници, типографски наводни
«	заграде, карети, леви француски наводник, лево, наводник, угласти, шеврон
»	десни француски наводник, десно, заграде, карети, наводник, угласти, шеврон
)	десна заграда, заграда, округла заграда
[	заграда, лева угласта заграда, угласта заграда
]	десна угласта заграда, заграда, угласта заграда
{	витичаста заграда, заграда, лева витичаста заграда
}	витичаста заграда, десна витичаста заграда, заграда
〈	дијамантске заграде, заграда, лева тупоугла заграда, н-торка, шиљаста заграда
〉	десна тупоугла заграда, дијамантске заграде, заграда, н-торка, шиљаста заграда
《	двоструке тупоугле заграде, заграда, лева двострука тупоугла заграда
》	двострука тупоугла заграда, десна двострука тупоугла заграда, заграда
「	заграда, лева једноугласта заграда, једноугласта заграда
」	десна једноугласта заграда, заграда, једноугласта заграда
『	заграда, лева шупља једноугласта заграда, шупља једноугласта заграда
』	десна шупља једноугласта заграда, заграда, шупља једноугласта заграда
【	заграда, црна конкавна заграда, црна лева конкавна заграда
】	заграда, црна десна конкавна заграда, црна конкавна заграда
〔	заграда, лева саћаста заграда, саћаста заграда
〕	десна саћаста заграда, заграда, саћаста заграда
〖	заграда, конкавна шупља заграда, лева конкавна шупља заграда
〗	десна конкавна шупља заграда, заграда, конкавна шупља заграда
§	део, знак за одељак, одељак, параграф
¶	алинеја, знак за параграф, параграф, пасус
@	знак „ет”
*️	звезда, звездица, џокер
/	коса црта
\	обрнута коса црта
&	амперсанд, и
#️	lb, број, тараба, хеш, хештаг
%	посто, проценат
‰	на хиљаду, промил
†	бодеж, знак бодежа, обелиск
‡	бодеж, двоструко, знак двоструког бодежа, обелиск
•	знак за набрајање, тачка
‧	тачка, тачка у функцији цртице, црта, цртица
′	полунаводник
″	наводник
‴	троструки наводник
‸	карет
※	референтни знак
⁂	астеризам
`	краткоузлазни, краткоузлазни нагласак, нагласак, тон
´	дугоузлазни, дугоузлазни нагласак, нагласак, тон
^	знак за уметање, контрола, нагласак, показивач, циркумфлекс
¨	дијереза, преглас, трема
°	степен, удео, час
℗	ауторско право, ауторско право о снимању звука, звук, снимање
←	лево, стрелица, стрелица која показује налево
↚	коса црта са стрелицом налево
→	десно, стрелица, стрелица која показује надесно
↛	коса црта са стрелицом надесно
↑	горе, стрелица, стрелица која показује нагоре
↓	доле, стрелица, стрелица која показује надоле
↜	таласаста стрелица налево
↝	таласаста стрелица надесно
↞	стрелица налево са два врха
↟	стрелица нагоре са два врха
↠	стрелица надесно са два врха
↡	стрелица надоле са два врха
↢	стрелица са репом налево
↣	стрелица са репом наdesno
↤	стрелица са цртом налево
↥	стрелица са цртом нагоре
↦	стрелица са цртом надесно
↧	стрелица са цртом надоле
↨	стрелица нагоре и надоле са базом
↫	стрелца налево са петљом
↬	стрелца надесно са петљом
↭	таласаста стрелица са врхом налево и надесно
↯	цик-цак стрелица надоле
↰	стрелица нагоре са врхом налево
↱	стрелица нагоре са врхом надесно
↲	стрелица надоле са врхом налево
↳	стрелица надоле са врхом надесно
↴	стрелица надесно са углом надоле
↵	стрелица надоле са углом налево
↶	полукружна стрелица у смеру супротном од казаљке на сату
↷	полукружна стрелица у смеру казаљке на сату
↸	стрелица са дугом цртом у смеру северозапада
↹	стрелица са цртом налево изнад стрелице са цртом надесно
↺	отворена кружна стрелица у смеру супротном од казаљке на сату
↻	отворена кружна стрелица у смеру казаљке на сату
↼	харпун налево са кукицом нагоре
↽	харпун налево са кукицом надоле
↾	харпун нагоре са кукицом надесно
↿	харпун нагоре са кукицом налево
⇀	харпун надесно са кукицом нагоре
⇁	харпун надесно са кукицом надоле
⇂	харпун надоле са кукицом надесно
⇃	харпун надоле са кукицом налево
⇄	стрелица удесно изнад стрелице налево
⇅	горе, доле, стрелица, стрелица нагоре и стрелица надоле
⇆	десно, лево, стрелица, стрелица налево изнад стрелице надесно
⇇	упарене стрелице налево
⇈	упарене стрелице нагоре
⇉	упарене стрелице удесно
⇊	упарене стрелице надоле
⇋	харпун налево изнад харпуна надесно
⇌	харпун надесно изнад харпуна налево
⇐	двострука стрелца налево
⇍	прецртана двострука стрелица налево
⇑	двострука стрелица нагоре
⇒	двострука стрелица надесно
⇏	прецртана двострука стрелица надесно
⇓	двострука стрелица надоле
⇔	двострука стрелица налево и надесно
⇎	прецртана двострука стрелица налево и надесно
⇖	двострука стрелица нагоре и налево
⇗	двострука стрелица нагоре и надесно
⇘	двострука стрелица надоле и надесно
⇙	двострука стрелица надоле и налево
⇚	трострука стрелица налево
⇛	трострука стрелица надесно
⇜	кривудава стрелица налево
⇝	кривудава стрелица надесно
⇞	двоструко прецртана стрелица нагоре
⇟	двоструко прецртана стрелица надоле
⇠	испрекидана цртица цалево
⇡	испрекидана цртица нагоре
⇢	испрекидана цртица надесно
⇣	испрекидана цртица надоле
⇤	стрелица налево са цртом
⇥	стрелица надесно са цртом
⇦	празна стрелица налево
⇧	празна стрелица нагоре
⇨	празна стрелица надесно
⇩	празна стрелица надоле
⇪	празна стрелица са цртом нагоре
⇵	стрелица надоле и стрелица нагоре
∀	за све
∂	парцијални извод
∃	постоји
∅	празан скуп
∆	инкремент, троугао
∇	набла, троугао
∈	елемент, елемент скупа, садржи, скуп, члан
∉	није елемент
∋	садржи као члан
∎	крај доказа
∏	Н-ти производ
∑	Н-арно сумирање
+	знак плус, плус, сабирање
±	плус-минус
÷	дељење, знак дељења, поделити
×	знак множења, множење, помножити, пута
<	мање, мање од, ознака, почетна ознака
≮	није мање од
=	једнако, једнако је
≠	није једнако, различито, различито од
>	веће, веће од, завршна ознака, ознака
≯	није веће од
¬	не, негација
