‾	горна црта
_	долна црта, линија, црта
-	минус, црта, цртичка, цртичка-минус
‐	црта, цртичка
–	правописен знак, црта
—	долга црта, правописен знак
―	линија, хоризонтална црта, црта
・	катакана, средна точка, средна точка во катакана писмо, точки
,	запирка
،	арапска, арапска запирка, запирка
、	запирка, идеографска, идеографска запирка
;	точка и запирка
؛	арапска, арапска точка и запирка, точка и запирка
:	две точки
!	извик, извичник
¡	извик, извичник, превртен, превртен извичник
?	прашалник, прашање
¿	прашалник, прашање, превртен, превртен прашалник
؟	арапски, арапски прашалник, прашалник, прашање
‽	интеробанг
.	завршна точка, точка, точка на крајот од реченицата
…	изоставање, точки, три точки
。	идеографска, идеографска точка, точка
·	средина, средна точка, точка
'	апостроф, апостроф на машина за пишување, наводник, полунаводник
‘	апостроф, лев апостроф, наводник, полунаводник
’	апостроф, десен апостроф, наводник, полунаводник
‚	апостроф, долен десен апостроф, долен наводник, наводник
“	двоен наводник, лев наводник, наводник
”	двоен наводник, десен наводник, наводник
„	двоен наводник, долен десен наводник, долен наводник, наводник
«	загради, закосен, карети, лев француски наводник, лево, наводник, шеврон
»	десен француски наводник, десно, загради, закосен, карети, наводник, шеврон
)	заграда, заоблена заграда, затворена заграда, мала заграда
[	голема заграда, заграда, квадратна заграда, отворена квадратна заграда
]	голема заграда, заграда, затворена квадратна заграда, квадратна заграда
{	заграда, заокружувачка заграда, кадрава заграда, отворена кадрава заграда
}	заграда, заокружувачка заграда, затворена кадрава заграда, кадрава заграда
〈	аглеста заграда, заграда, конусна заграда, отворена аглеста заграда, шеврон, шилеста заграда
〉	аглеста заграда, заграда, затворена аглеста заграда, конусна заграда, шеврон, шилеста заграда
《	двојна аглеста заграда, заграда, отворена двојна аглеста заграда
》	двојна аглеста заграда, заграда, затворена двојна аглеста заграда
「	аголна заграда, заграда, отворена аголна заграда
」	аголна заграда, заграда, затворена аголна заграда
『	заграда, неисполнета аголна заграда, отворена неисполнета аголна заграда
』	заграда, затворена неисполнета аголна заграда, неисполнета аголна заграда
【	заграда, лентикуларна заграда, леќовидна заграда, отворена црна конкавна заграда
】	заграда, затворена црна конкавна заграда, лентикуларна заграда, леќовидна заграда
〔	заграда, отворена саќеста заграда, саќеста заграда
〕	заграда, затворена саќеста заграда, саќеста заграда
〖	заграда, неисполнета конкавна заграда, неисполнета леќовидна заграда, отворена неисполнета конкавна заграда
〗	заграда, затворена неисполнета конкавна заграда, неисполнета конкавна заграда, неисполнета леќовидна заграда
§	дел, знак за оддел, оддел, параграф
¶	алинеја, знак за параграф, параграф, пасус
@	знак „at“, мајмунче
*️	астериск, ѕвездичка, џокер
/	коса линија, коса црта
\	обратна коса линија, обратна коса црта
&	амперсанд, и, „et“
#️	број, знак тараба, тараба, хаш-ознака
%	отсто, процент
‰	на илјада, промил
†	бодеж, знак за бодеж, обелиск
‡	бодеж, двојно, знак за двоен бодеж, обелиск
•	знак за набројување, точка
‧	точка, точка за делење на слогови, црта, цртичка
′	прим
″	двоен прим, прим
‴	прим, троен прим
‸	карет
※	знак за референца, референца
⁂	астеризам
`	акцент, гравис, тон
´	акут, акцент, тон
^	акцент, знак за „xor“, карет, покажувач, степен, циркумфлекс, шеврон
¨	дијареза, трема, умлаут
°	процент на алкохол, степен, час
℗	авторски права, авторски права за аудиоснимка, аудиоснимка, звук
←	лево, стрелка, стрелка што покажува налево
↚	коса црта со стрелка налево
→	десно, стрелка, стрелка што покажува надесно
↛	коса црта со стрелка надесно
↑	горе, стрелка, стрелка што покажува нагоре
↓	долу, стрелка, стрелка што покажува надолу
↜	брановидна стрелка налево
↝	брановидна стрелка надесно
↞	стрелка налево со два врва
↟	стрелка нагоре со два врва
↠	стрелка надесно со два врва
↡	стрелка надолу со два врва
↢	стрелка налево со опашка
↣	стрелка надесно со опашка
↤	стрелка налево со права опашка
↥	стрелка нагоре со права опашка
↦	стрелка надесно со права опашка
↧	стрелка надолу со права опашка
↨	стрелка нагоре-надолу со основа
↫	стрелка налево со јамка
↬	стрелка надесно со јамка
↭	брановидна двонасочна стрелка
↯	цикцак стрелка надолу
↰	стрелка нагоре со врвот налево
↱	стрелка нагоре со врвот надесно
↲	стрелка надолу со врвот налево
↳	стрелка надолу со врвот надесно
↴	стрелка надесно со аголот надолу
↵	стрелка надолу со аголот налево
↶	полукружна стрелка во спротивна насока од стрелките на часовникот
↷	полукружна стрелка во насока на стрелките на часовникот
↸	стрелка со долга црта во северозападна насока
↹	стрелка со црта налево над стрелка со црта надесно
↺	отворена кружна стрелка во спротивна насока од стрелките на часовникот
↻	отворена кружна стрелка во насока на стрелките на часовникот
↼	харпун налево со куката нагоре
↽	харпун налево со куката надолу
↾	харпун нагоре со куката надесно
↿	харпун нагоре со куката налево
⇀	харпун надесно со куката нагоре
⇁	харпун надесно со куката надолу
⇂	харпун надолу со куката надесно
⇃	харпун надолу со куката налево
⇄	стрелка надесно над стрелка налево
⇅	горе, долу, стрелка, стрелка нагоре и стрелка надолу
⇆	десно, лево, стрелка, стрелка налево врз стрелка надесно
⇇	впарени стрелки налево
⇈	впарени стрелки нагоре
⇉	впарени стрелки надесно
⇊	впарени стрелки надолу
⇋	харпун налево над харпун надесно
⇌	харпун надесно над харпун налево
⇐	двојна стрелка налево
⇍	пречкртана двојна стрелка налево
⇑	двојна стрелка нагоре
⇒	двојна стрелка надесно
⇏	пречкртана двојна стрелка надесно
⇓	двојна стрелка надолу
⇔	двојна стрелка налево-надесно
⇎	пречкртана двојна стрелка налево-надесно
⇖	двојна стрелка нагоре и налево
⇗	двојна стрелка нагоре и надесно
⇘	двојна стрелка надолу и надесно
⇙	двојна стрелка надолу и налево
⇚	тројна стрелка налево
⇛	тројна стрелка надесно
⇜	кривулеста стрелка налево
⇝	кривулеста стрелка надесно
⇞	двојно пречкртана стрелка нагоре
⇟	двојно пречкртана стрелка надолу
⇠	испрекината стрелка налево
⇡	испрекината стрелка нагоре
⇢	испрекината стрелка надесно
⇣	испрекината стрелка надолу
⇤	стрелка налево со црта
⇥	стрелка надесно со црта
⇦	празна стрелка налево
⇧	празна стрелка нагоре
⇨	празна стрелка надесно
⇩	празна стрелка надолу
⇪	празна стрелка со црта нагоре
⇵	стрелка надолу и стрелка нагоре
∀	за сите
∂	парцијален извод
∃	постои
∅	празно множество
∆	инкремент, триаголник
∇	набла, триаголник
∈	е елемент на, елемент, множество, содржи, членство
∉	не е елемент
∋	содржи член
∎	крај на доказот
∏	Декартов производ
∑	n-арно сумирање
+	знак плус, плус, собирање
±	плус-минус
÷	делење, знак за делење, подели
×	знак за множење, множење, по, помножи
<	ознака, помало од, почетна ознака
≮	не е помало од
=	еднакво, еднакво на
≠	нееднакво, нееднаквост, неравенство
>	завршна ознака, ознака, поголемо од
≯	не е поголемо од
¬	не, негација
|	вертикална линија, вертикална црта, исправена црта, линија, потег, црта, шеферова црта
~	тилда
−	знак минус, минус, одземање
⁻	експонент, минус, минус во експонент
∓	минус или плус
∕	коса црта за делење
⁄	дробна коса црта
∗	оператор во облик на ѕвездичка
∘	оператор во облик на прстен
∙	оператор во облик на знак за набројување
√	квадратен корен, корен, радикал
∝	пропорционално
∞	бесконечно, знак за бесконечност
∟	прав агол
∠	агол
∣	дели
∥	паралелно
∧	логичко „и“
∩	множество, пресек
∪	збирка, множество, унија
∫	интеграл
∬	двоен интеграл
∮	контурен интеграл
∴	затоа
∵	бидејќи
∶	сооднос
∷	пропорција
∼	оператор во облик на тилда
∽	обратна тилда
∾	превртено легнато „s“
≃	асимптотски еднакво
≅	приближно еднаков
≈	апроксимација, приближно, приближно еднакво
≌	сѐ еднакво
≒	приближно еднакво на сликата
≖	прстен во знак за еднакво
≡	е идентично на, еднакво, идентично, тројно
≣	строго еднакво
≤	еднакво, еднакво на, нееднаквост, помало од, помало од или еднакво
≥	еднакво, еднакво на, нееднаквост, поголемо од, поголемо од или еднакво
≦	помало од над еднакво
≧	поголемо од над еднакво
≪	многу помало од
≫	многу поголемо од
≬	помеѓу
≳	поголемо од еквивалентното
≺	претходи
≻	следи
⊁	не следи
⊂	е подмножество на, множество, подмножество
⊃	надмножество
⊆	еднакво на подмножество
⊇	еднакво на надмножество
⊕	плус во круг
⊖	минус во круг
⊗	знак за множење во круг
⊘	знак за делење во круг
⊙	оператор во облик на точка во круг
⊚	оператор во облик на прстен во круг
⊛	оператор во облик на ѕвездичка во круг
⊞	плус во квадрат
⊟	минус во квадрат
⊥	неточно
⊮	не наложува
⊰	претходи под релација
⊱	следи под релација
⋭	не содржи како еднакво на нормална подгрупа
⊶	оригинално
⊹	Ермитова матрица
⊿	правоаголен триаголник
⋁	n-арен логички симбол „или“
⋂	n-арен пресек
⋃	n-арна унија
⋅	оператор во облик на точка
⋆	оператор во облик на ѕвезда
⋈	природен спој
⋒	двоен пресек
⋘	значително помало од
⋙	значително поголемо од
⋮	вертикални три точки
⋯	средни хоризонтални три точки
⋰	дијагонални три точки нагоре десно
⋱	дијагонални три точки надолу десно
■	полн квадрат
□	празен квадрат
▢	празен квадрат со заоблени агли
▣	празен квадрат што содржи полн квадрат
▤	квадрат со хоризонтално исполнување
▥	квадрат со вертикално исполнување
▦	квадрат со ортогонално исцртано исполнување
▧	квадрат со исполнување од горе лево кон долу десно
▨	квадрат со исполнување од горе десно кон долу лево
▩	квадрат со дијагонално исцртано исполнување
▬	полн правоаголник
▭	празен правоаголник
▮	полн вертикален правоаголник
▰	полн паралелограм
▲	горе, полн триаголник свртен нагоре, полно, стрелка, триаголник
△	празен триаголник свртен нагоре
▴	мал полн триаголник свртен нагоре
▵	мал празен триаголник свртен нагоре
▷	празен триаголник свртен надесно
▸	мал полн триаголник свртен надесно
▹	мал празен триаголник свртен надесно
►	полн покажувач свртен надесно
▻	празен покажувач свртен надесно
▼	долу, полн траголник свртен надолу, полн триаголник свртен надолу, полно, стрелка, триаголник
▽	празен триаголник свртен надолу
▾	мал полн триаголник свртен надолу
▿	мал празен триаголник свртен надолу
◁	празен триаголник свртен налево
◂	мал полн триаголник свртен налево
◃	мал празен триаголник свртен налево
◄	полн покажувач свртен налево
◅	празен покажувач свртен налево
◆	полн ромб
◇	празен ромб
◈	полн ромб во празен ромб
◉	полн круг во празен круг
◊	дијамант, ромб
○	круг, празен круг, прстен
◌	точкест круг
◍	круг со вертикално исполнување
◎	концентрични кругови
●	круг, полн круг
◐	круг со полна лева половина
◑	круг со полна десна половина
◒	круг со полна долна половина
◓	круг со полна горна половина
◔	круг со полна горна десна четвртина
◕	круг со празна горна лева четвртина
◖	круг со исполнета лева половина
◗	круг со исполнета десна половина
◘	превртен знак за набројување
◙	празен круг во полн квадрат
◜	кружен лак во горната лева четвртина
◝	кружен лак во горната десна четвртина
◞	кружен лак во долната десна четвртина
◟	кружен лак во долната лева четвртина
◠	горен полукруг
◡	долен полукруг
◢	полн триаголник долу десно
◣	полн триаголник долу лево
◤	полн триаголник горе лево
◥	полн триаголник горе десно
◦	празен знак за набројување
◯	голем празен круг, круг, прстен
◳	празен квадрат со горна десна четвртина
◷	празен круг со горна десна четвртина
◿	долен десен триаголник
♪	музика, нота, осмина, осмина нота
⨧	плус и број 2 во индекс
⨯	векторски производ
⨼	внатрешен производ
⩣	логичко „или“ со двојна долна црта
⩽	помало од со закосена црта за еднакво
⪍	помало од над слично еднакво
⪚	еднакво со две црти над поголемо од
⪺	следи над знак за не е приближно еднакво
♭	музика, нота, снижувалка
♯	музика, нота, повишувалка
😀	лице, широка насмевка, широко насмеано лице
😃	лице, насмеано лице со големи очи, насмевка, отворена, уста
😄	лице со отворена уста и насмеани очи, насмеано лице со отворена уста и насмеани очи, насмевка, отворена, очи, уста
😁	лице, насмевка, око, широка насмевка, широко насмеано лице со насмеани очи
😆	лице со отворена уста и затворени очи, насмеано лице со отворена уста и затворени очи, насмевка, отворена, очи, уста
😅	лице, насмеано лице со отворена уста и капка пот, насмеано лице со отворена уста и пот, насмевка, отворена, пот
🤣	под, превртување од смеење, смеење, тркалање
😂	лице, лице со солзи радосници, радост, смеа, солза
🙂	блага, лице, лице со блага насмевка, мала, насмевка
🙃	лице, наопаку, превртено, превртено лице
🫠	исчезнува, лице што се топи, раствора, течност, топење
😉	лице, лице што намигнува, намигнување
😊	вцрвенето, лице, насмеано лице со насмеани очи, насмевка, очи
😇	ангел, насмеано лице со ореол, насмевка, невиност, ореол
🥰	заљубен, насмеано лице со срца, насмеано лице со срциња, обожава, симпатија, срциња
😍	лице, насмеано лице со очи во облик на срца, насмевка, љубов
🤩	лице, лице здогледува славна личност, очи, смеење, ѕвезда
😘	бакнеж, лице, лице што испраќа бакнеж, срце, љубов
😗	бакнеж, лице, лице што бакнува
☺️	лице, насмеано лице, насмевка, релаксирано
😚	бакнеж, затворени, лице, лице што бакнува со затворени очи, очи
😙	бакнеж, лице, лице што бакнува со насмеани очи, насмевка, очи
🥲	благодарно, гордост, насмеано, насмеано лице со солза, солза
