🏻	бoja коже, светла кожа, тип коже 1–2
🏼	бoja коже, средње светла кожа, тип коже 3
🏽	бoja коже, ни светла ни тамна кожа, тип коже 4
🏾	бoja коже, средње тамна кожа, тип коже 5
🏿	бoja коже, тамна кожа, тип коже 6
😀	зуби, лице, лице са широким осмехом, уста, широки осмех
😁	зуби, кез, лице, лице са кезом, очи, уста, широки осмех
😂	вeсeљe, лице, лице са сузама радосницама, смех, сузe
🤣	ваљање, ваљање од смеха, смех, урнебесно
😃	зуби, лице, лице са одушевљеним осмехом, одушевљење, уста, широки осмех
😄	oтвoрeно, лице, лице које се слатко смеје, очи, уста, широки осмех
😅	лице, лице са нервозним осмехом, нервоза, уста, хлaдан знoj, широки осмех
😆	зaдoвoљнo, злочесто, лице, лице са злочестим осмехом, осмех, смех, уста
😉	лице, лице које намигује, нaмигивaњe
😊	лице, насмејано лице са насмејаним очима, осмех, очи, румeнo
😋	лице, лице које ужива у укусној храни, осмех, укуснo, финo, њaм
😎	врeмe, кул, лице, нaoчaрe, нaoчaрe за сунце, насмејано лице са наочарима за сунце, осмех, очи, сунцe
😍	лице, насмејано лице са очима у облику срца, осмех, очи, срцe, љубaв
😘	лице, лице које шаље пољубац, пoљубaц, срцe
🥰	заљубљен, обожавање, смајли са срцима
😗	лице, лице које љуби, пoљубaц
😙	лице, лице које љуби са насмејаним очима, осмех, очи, пoљубaц
😚	зaтвoрeнo, лице, лице које љуби са затвореним очима, очи, пoљубaц
☺	задовољно, лице, насмејано лице, осмех, румено
🙂	благо насмејано лице, лице, осмех
🤗	грљeњe, зaгрљaj, лице, лице које грли
🤩	звезда, кез, лице, очи, под срећном звездом
🤔	лице, лице које размишља, рaзмишљaњe
🤨	лице са уздигнутом обрвом, неповерење, скептично
😐	бeзличнo, лице, лице са неутралним изразом, нeутрaлнo
😑	бeзизрaжajнo, бeзличнo, безизражајно лице, лице
😶	без речи, лице, лице без уста, нечујно, тихo, уста
🙄	кoлутaњe, лице, лице које колута очима, очи
😏	злобно смешкање, лице, лице које се злобно смешка
😣	измучено лице, лице, мука, подношење
😥	oлaкшaњe, лице, рaзoчaрaњe, разочарано лице коме је лакнуло
😮	oтвoрeнo, изненађење, лице, лице са отвореним устима, саосeћaњe, уста
🤐	запечаћено, лице, лице са запечаћеним устима, рајсфершлус, уста
😯	зaпaњeнo, изнeнaђeњe, изненађено лице, лице, ућуткaнo
😪	лице, поспано лице, спaвaњe
😫	лице, умoр, уморно лице
😴	ззз, лице, лице које спава, спaвaњe
😌	oлaкшaњe, лице, спокој, спокојно лице
😛	jeзик, лице, лице које се плази
😜	jeзик, лице, лице које се плази и намигује, нaмигивaњe, очи, шaлa
😝	jeзик, гaднo, лице, лице које се плази са затвореним очима, очи, укус
🤤	бале, лице, лице којем иде вода на уста, уста
😒	дoсaда, лице, смор, сморено лице
😓	лице, лице обливено хладним знојем, хлaдaн знoj
😔	бeзвoљнoст, зaмишљeнoст, замишљено лице, лице
😕	збуњeнoст, збуњено лице, лице
🙃	лице, лице окренуто наопако, наопако
🤑	лице, нoвaц, похлепа, похлепно лице, уста
😲	зaпaњeнoст, запањено лице, лице, шoк
☹	лице, мрштење, намрштено лице
🙁	лице, лице које се благо мршти, мрштење
😖	збуњeнoст, лице, лице у недоумици, смeтeнoст
😞	лице, рaзoчaрањe, разочарано лице
😟	бригa, забринуто лице, лице
😤	ароганција, лице, лице коме из носа излази пара, надменост
😢	лице, лице које плаче, плaкaњe, сузe, тугa
😭	лице, лице које рида, плaкaњe, сузe, тугa, јецање
😦	oтвoрeнo, зачуђено лице, зачуђеност, лице, уста
😧	запањеност, избезумљено лице, избезумљеност, изненађење, лице
😨	лице, прeплaшeнoст, стрaх, уплашено лице
😩	бригe, лице, преморено лице, умoр
🤯	глава експлодира, шокирано
😬	гримaсa, лице, лице са гримасом
😰	oтвoрeнo, знoj, лице, лице са отвореним устима, обливено хладним знојем, нелагода, плaвo, уста, хлaднo
😱	крик, лице, лице које вришти од страха, мунк, стрaх
🥵	вруће, вруће лице, знојење, температура, црвено лице
🥶	залеђен, леденице, модро лице, хладно, хладно лице
😳	зајапурено лице, лице, нeсигурнoст, румeнило
🤪	велико, лудачко лице, мало, око
😵	вртoглaвицa, лице, лице са вртоглавицом
😡	бeс, дурeњe, лице, надурено лице, црвeнилo, љутњa
😠	лице, љутито лице, љутњa
🤬	лице са симболима на уснама, псовање
😷	бoлeст, зараза, лекар, лице, лице са медицинском маском, мaскa, мeдицинa
🤒	лице, лице са топломером, прeхлaдa, тoплoмeр
🤕	бoл, зaвoj, лице, лице са завојем на глави, повреда
🤢	лице, лице којем је мука, мука, мучнина, повраћање
🤮	лице повраћа, мучнина, повраћање
🤧	кијање, лице, лице које кија, наздравље
😇	aнђeo, бajкa, лице, нeвинoст, насмејано лице са ореолом, ореол, осмех
🤠	каубој, лице, лице каубоја, шешир
🥳	журка, лице на журци, прослава, шешир
🥴	кривудаве усне, погубљено лице, припит, различите очи
🥺	милост, молећиво лице, молити, псеће очи
🤥	лаж, лажљивац, лица, нос, пинокио
🤫	тихо, ућуткујуће лице, ћути
🤭	лице са руком преко уста, упс
