🦵🏻	ચામડીનો આછો રંગ, પગ, પગ: ચામડીનો આછો રંગ
🦵🏼	ચામડીનો મધ્યમ આછો રંગ, પગ, પગ: ચામડીનો મધ્યમ આછો રંગ
🦵🏽	પગ, પગ: મધ્યમ ચામડીનો રંગ, મધ્યમ ચામડીનો રંગ
🦵🏾	પગ, પગ: મધ્યમ ઘેરો ચામડીનો રંગ, મધ્યમ ઘેરો ચામડીનો રંગ
🦵🏿	ઘેરો ચામડીનો રંગ, પગ, પગ: ઘેરો ચામડીનો રંગ
🦶🏻	ચામડીનો આછો રંગ, પંજો, પંજો: ચામડીનો આછો રંગ
🦶🏼	ચામડીનો મધ્યમ આછો રંગ, પંજો, પંજો: ચામડીનો મધ્યમ આછો રંગ
🦶🏽	પંજો, પંજો: મધ્યમ ચામડીનો રંગ, મધ્યમ ચામડીનો રંગ
🦶🏾	પંજો, પંજો: મધ્યમ ઘેરો ચામડીનો રંગ, મધ્યમ ઘેરો ચામડીનો રંગ
🦶🏿	ઘેરો ચામડીનો રંગ, પંજો, પંજો: ઘેરો ચામડીનો રંગ
🦸🏻	ગુણવાન, ચામડીનો આછો રંગ, સુપરપાવર, સુપરહીરો, સુપરહીરો: ચામડીનો આછો રંગ, હીરો, હીરોઇન
🦸🏼	ગુણવાન, ચામડીનો મધ્યમ આછો રંગ, સુપરપાવર, સુપરહીરો, સુપરહીરો: ચામડીનો મધ્યમ આછો રંગ, હીરો, હીરોઇન
🦸🏽	ગુણવાન, મધ્યમ ચામડીનો રંગ, સુપરપાવર, સુપરહીરો, સુપરહીરો: મધ્યમ ચામડીનો રંગ, હીરો, હીરોઇન
🦸🏾	ગુણવાન, મધ્યમ ઘેરો ચામડીનો રંગ, સુપરપાવર, સુપરહીરો, સુપરહીરો: મધ્યમ ઘેરો ચામડીનો રંગ, હીરો, હીરોઇન
🦸🏿	ગુણવાન, ઘેરો ચામડીનો રંગ, સુપરપાવર, સુપરહીરો, સુપરહીરો: ઘેરો ચામડીનો રંગ, હીરો, હીરોઇન
🦸🏻‍♀	ગુણવાન, ચામડીનો આછો રંગ, સુપરપાવર, સ્ત્રી, સ્ત્રી સુપરહીરો, સ્ત્રી સુપરહીરો: ચામડીનો આછો રંગ, હીરો, હીરોઇન
🦸🏼‍♀	ગુણવાન, ચામડીનો મધ્યમ આછો રંગ, સુપરપાવર, સ્ત્રી, સ્ત્રી સુપરહીરો, સ્ત્રી સુપરહીરો: ચામડીનો મધ્યમ આછો રંગ, હીરો, હીરોઇન
🦸🏽‍♀	ગુણવાન, મધ્યમ ચામડીનો રંગ, સુપરપાવર, સ્ત્રી, સ્ત્રી સુપરહીરો, સ્ત્રી સુપરહીરો: મધ્યમ ચામડીનો રંગ, હીરો, હીરોઇન
