🏻	piel, piel tipo 1–2, tipo, tono
🏼	piel, piel tipo 3, tipo, tono
🏽	piel, piel tipo 4, tipo, tono
🏾	piel, piel tipo 5, tipo, tono
🏿	piel, piel tipo 6, tipo, tono
😀	cara, cara feliz, contento, divertido, sonrisa
😁	cara, cara y ojos sonrientes, divertido, risa, sonrisa
😂	cara, cara llorando, felicidad, feliz, lágrimas
🤣	cara, cara llorando de risa, carcajada, risa, sonrisa
😃	boca abierta, cara, divertido, risa, sonrisa, sonrisa con boca abierta
😄	boca abierta, boca y ojos sonrientes, cara, divertido, risa, sonrisa
😅	boca abierta, cara, sonrisa, sonrisa boca abierta, sonrisa y sudor frío, sudor frío
😆	boca abierta, cara, sonrisa con boca abierta y ojos cerrados
😉	cara, cara con guiño, guiño
😊	cara, cara alegre, ojos sonrientes, sonrisa
😋	broma, cara, cara de broma, delicioso, rico, sonriente
😎	cara, cara sonriendo con lentes de sol, lentes, lentes de sol, onda, sol
😍	amor, cara, cara sonriendo con ojos de corazón, corazones, dulce, ojos con corazones, sonriente, tierno
😘	besos, cara, cara lanzando un beso, cara manda un beso, corazón
🥰	cara sonriendo con 4 corazones
😗	cara besando, cara dando un beso
😙	beso, beso y sonrisa, cara, cara besando con ojos sonrientes, ojos, sonriente
😚	beso, beso con ojos cerrados, cara, cerrados, ojos
🙂	cara, cara sonriendo levemente, leve sonrisa, sonrisa
🤗	abrazo, cara
🤔	cara, cara pensante, duda, pensar
😑	cara, cara sin expresión, inexpresivo, nada
🙄	cara, cara revoleando los ojos, ojos, revoleando
😏	cara, cara sonriendo con superioridad, creído, gesto de superioridad, sarcástico, sonrisa
😣	cara, cara perseverante, equivocado, me equivoqué, perdón, perseverar
😥	aliviado, alivio, cara, cara triste pero aliviada, decepcionado, decepción, sudor
😮	abierta, boca, cara, cara con boca abierta, empatía, sorpresa
🤐	boca, boca cerrada, cara, cara con la boca cerrada con cierre, cierre
😯	cara, sorprendido, sorpresa
😪	cara, cara de sueño, gota, sueño
😫	agotado, cansado, cara, cara cansada, cara de exhausto, exhausto
😴	cara, cara durmiendo, dormir, sueño
😌	aliviado, alivio, cara
😛	broma, cara, cara sacando la lengua, divertido, lengua, sacar, sacar la lengua
😜	broma, cara, cara sacando la lengua y guiñando un ojo, divertido, guiño, lengua, sacar lengua y guiñar
😝	asco, broma, cara, cara con los ojos bien cerrados y sacando la lengua, horrible, lengua, sacar la lengua
🤤	baba, cara
😒	aburrido, cara, enojado
😔	cara, cara desanimada, cara pensativa, deprimido, pensativo, triste
😕	cara, cara de confusión, confundido, confusión, triste
🤑	cara, cara con lengua de dinero, dinero, lengua, pensando en dinero
😲	asombro, cara, horrorizado, sorprendido
🙁	cara, triste
😖	cara, cara de frustración, enojo, frustración, tristeza
😞	cara, cara de decepción, decepcionado, decepción
😟	cara, cara de preocupación, preocupado
😤	cara, gané, mirada de triunfo, triunfo, victoria
😢	cara, cara con llanto, llanto, llorar, triste, tristeza
😭	cara, llorar, lágrimas
😦	abierta, boca, cara, cara boquiabierta
😧	angustiado, cara, cara de angustia, sufrir
😨	cara, cara de miedo, horror, miedo, temor, terror
😩	agotado, cansado, cara, cara de cansancio, exhausto
😬	cara
😰	abierta, boca, en aprietos, frío, miedo, sudor, temor
😱	cara, cara de terror, grito, horror, miedo, terror
😳	cara sonrojada
😵	cara, cara de mareado, mareado
😡	cara, cara de odio, enojado, enojo, ira, odio, rojo
😠	cara, cara de enojado, enojado, enojo
😷	barbijo, cara, cara con barbijo, enfermo, resfrío
🤒	cara con termómetro
🤕	cabeza vendada, cara, dolor, herido, vendas
🤢	cara, náuseas, vómito
🤧	cara, cara de estornudo, estornudar, estornudo, resfrío
😇	aureola, cara, inocente, sonriente con aureola, sonrisa, ángel
🤠	cara, sombrero, vaquera, vaquero
