🏻	ผิวโทน 1–2, โทนผิวสีขาว, โทนสีผิว
🏼	ผิวโทน 3, โทนผิวสีขาวเหลือง, โทนสีผิว
🏽	ผิวโทน 4, โทนผิวสีเหลือง, โทนสีผิว
🏾	ผิวโทน 5, โทนผิวสีแทน, โทนสีผิว
🏿	ผิวโทน 6, โทนผิวสีเข้ม, โทนสีผิว
😀	ยิ้มกว้าง, ยิ้มยิงฟัน, หน้ายิ้มยิงฟัน, ใบหน้า
😁	ยิงฟัน, ยิ้ม, ยิ้มยิงฟันตายิ้ม, หน้า, ฮี่ฮี่, ฮี่ๆ
😂	ดีใจ, น้ำตา, ปลื้ม, ร้องไห้ดีใจ, หน้า
🤣	กลิ้ง, ขำ, ขำกลิ้ง, แว้ก
😃	ตลก, ยิ้ม, ยิ้มยิงฟันปากอ้า, หน้า, หน้ายิ้มอ้าปาก, หัวเราะ, ฮ่าฮ่า, ฮ่าๆ
😄	ตลก, ยิ้ม, หน้า, หน้ายิ้มตายิ้ม และอ้าปาก, หัวเราะ, ฮ่าฮ่า, ฮ่าๆ
😅	ยิ้ม, ยิ้มเหงื่อตก, หน้า, เหงื่อออก
😆	ตาหยี, ยิ้ม, ยิ้มตาหยี, หน้า
😉	vbvb, ขยิบตา, ยิ้ม, หน้า, อิอิ
😊	vbvb, หน้า, หน้ายิ้มตายิ้ม, อมยิ้ม, อิอิ
😋	หน้า, อร่อย, แลบลิ้นมุมปาก
😎	ยิ้ม, หน้า, หน้ายิ้มใส่แว่น, แว่นกันแดด
😍	ความรัก, ตา, ตาหัวใจ, ยิ้ม, หน้า, หัวใจ
😘	จุ๊บ, ส่งจูบ, หน้า, หน้าส่งจุ๊บ, หัวใจ
🥰	ตกหลุมรัก, หน้ายิ้มพร้อมกับหัวใจ 3 ดวง, หลงรัก, หลงใหล
😗	จุ๊บ, ส่งจูบ, หน้า, หน้าจุ๊บ
😙	จุ๊บ, ส่งจูบ, หน้า, หน้ายิ้มส่งจุ๊บ
😚	จุ๊บ, ส่งจูบ, หน้า, หยีตาส่งจุ๊บ
🙂	ยิ้ม, หน้า, หน้ายิ้มบางๆ
🤗	กอด, ยิ้ม, ยิ้มกอด, หน้า, อบอุ่น
🤩	หน้าตาเป็นประกาย
🤔	คิด, หน้า, หน้าครุ่นคิด
🤨	คลางแคลงใจ, สงสัย, หน้าประหลาดใจกับยักคิ้ว
😑	หน้า, หน้าเย็นชา, เฉยๆ
😶	หน้า, หน้าไม่มีปาก, ไม่มีปาก
🙄	กลอกตา, หน้า
😏	หน้า, แสยะยิ้ม
😣	หน้า, อดทน
😥	ผิดหวัง, หน้า, โล่งอก
😮	ตกใจ, หน้า, อ้าปาก
🤐	รูดซิป, รูดซิปปาก, หน้า
