🏻	boja kože, svetla koža, tip kože 1–2
🏼	boja kože, srednje svetla koža, tip kože 3
🏽	boja kože, ni svetla ni tamna koža, tip kože 4
🏾	boja kože, srednje tamna koža, tip kože 5
🏿	boja kože, tamna koža, tip kože 6
😀	lice, lice sa širokim osmehom, usta, zubi, široki osmeh
😁	kez, lice, lice sa kezom, oči, usta, zubi, široki osmeh
😂	lice, lice sa suzama radosnicama, smeh, suze, veselje
🤣	smeh, urnebesno, valjanje, valjanje od smeha
😃	lice, lice sa oduševljenim osmehom, oduševljenje, usta, zubi, široki osmeh
😄	lice, lice koje se slatko smeje, otvoreno, oči, usta, široki osmeh
😅	hladan znoj, lice, lice sa nervoznim osmehom, nervoza, usta, široki osmeh
😆	lice, lice sa zločestim osmehom, osmeh, smeh, usta, zadovoljno, zločesto
😉	lice, lice koje namiguje, namigivanje
😊	lice, nasmejano lice sa nasmejanim očima, osmeh, oči, rumeno
😋	fino, lice, lice koje uživa u ukusnoj hrani, njam, osmeh, ukusno
😎	kul, lice, naočare, naočare za sunce, nasmejano lice sa naočarima za sunce, osmeh, oči, sunce, vreme
😍	lice, ljubav, nasmejano lice sa očima u obliku srca, osmeh, oči, srce
😘	lice, lice koje šalje poljubac, poljubac, srce
🥰	obožavanje, smajli sa srcima, zaljubljen
😗	lice, lice koje ljubi, poljubac
😙	lice, lice koje ljubi sa nasmejanim očima, osmeh, oči, poljubac
😚	lice, lice koje ljubi sa zatvorenim očima, oči, poljubac, zatvoreno
☺	lice, nasmejano lice, osmeh, rumeno, zadovoljno
🙂	blago nasmejano lice, lice, osmeh
🤗	grljenje, lice, lice koje grli, zagrljaj
🤩	kez, lice, oči, pod srećnom zvezdom, zvezda
🤔	lice, lice koje razmišlja, razmišljanje
🤨	lice sa uzdignutom obrvom, nepoverenje, skeptično
😐	bezlično, lice, lice sa neutralnim izrazom, neutralno
😑	bezizražajno, bezizražajno lice, bezlično, lice
😶	bez reči, lice, lice bez usta, nečujno, tiho, usta
🙄	kolutanje, lice, lice koje koluta očima, oči
😏	lice, lice koje se zlobno smeška, zlobno smeškanje
😣	izmučeno lice, lice, muka, podnošenje
😥	lice, olakšanje, razočaranje, razočarano lice kome je laknulo
😮	iznenađenje, lice, lice sa otvorenim ustima, otvoreno, saosećanje, usta
🤐	lice, lice sa zapečaćenim ustima, rajsferšlus, usta, zapečaćeno
😯	iznenađenje, iznenađeno lice, lice, ućutkano, zapanjeno
😪	lice, pospano lice, spavanje
😫	lice, umor, umorno lice
😴	lice, lice koje spava, spavanje, zzz
😌	lice, olakšanje, spokoj, spokojno lice
😛	jezik, lice, lice koje se plazi
😜	jezik, lice, lice koje se plazi i namiguje, namigivanje, oči, šala
😝	gadno, jezik, lice, lice koje se plazi sa zatvorenim očima, oči, ukus
🤤	bale, lice, lice kojem ide voda na usta, usta
😒	dosada, lice, smor, smoreno lice
😓	hladan znoj, lice, lice obliveno hladnim znojem
😔	bezvoljnost, lice, zamišljeno lice, zamišljenost
😕	lice, zbunjeno lice, zbunjenost
🙃	lice, lice okrenuto naopako, naopako
