🏻	boja kože, svijetla boja kože, tip 1–2
🏼	boja kože, tip 3, umjereno svijetla boja kože
🏽	boja kože, tip 4, umjerena boja kože
🏾	boja kože, tip 5, umjereno tamna boja kože
🏿	boja kože, tamna boja kože, tip 6
😀	cerenje, lice
😁	cerenje, cerenje sa škiljenjem, lice, škiljenje
😂	lice, plakanje od smijeha, radost, smijeh, suza
🤣	lice, pod, smijeh, valjanje, valjanje od smijeha
😃	kez, lice, osmijeh, otvorena usta
😄	kez sa škiljenjem, lice, osmijeh, oči, usta
😅	hladan znoj, kez uz hladan znoj, lice, osmijeh
😆	kez žmireći, lice, smijeh, zadovoljstvo
😉	lice, mig, namigivanje
😊	lice, oko, osmijeh, rumen, širok osmijeh
😋	lice, njam njam, oblizivanje, ukusno, žderanje
😎	fora, naočale, osmijeh sa sunčanim naočalama, sunčane naočale, svjetlost
😍	lice, ljubav, osmijeh, osmijeh sa srcima u očima, srce
😘	lice, poljubac, slanje poljupca, srce
🥰	nasmijano lice sa srcima, obožavanje, zaljubiti se, zaljubljenost
😗	davanje poljupca, lice, poljubac
😙	lice, oko, osmijeh, poljubac, poljubac sa škiljenjem
😚	lice, oko, poljubac, poljubac žmireći, žmirenje
☺	lice, opušten, osmijeh
🙂	diskretni osmijeh, lice, osmijeh
🤗	lice, zagrliti, zagrljaj
🤩	cerenje, lice, oči, zvijezda, zvjezdane oči
🤔	lice, razmišljanje
🤨	nepovjerljiv, podignuta obrva, skeptičan
😐	indiferentno, indiferentnost, lice, neutralno
😑	bezizražajan, bezizražajnost, lice
😶	lice, lice bez usta, tiho, usta, šutnja
🙄	kolutanje, kolutanje očima, lice, oči
😏	lice, smješkanje, zlobno, zlobno smješkanje
😣	lice, ustrajni pogled, ustrajnost
😥	lice, olakšanje, olakšavajuće razočarenje, razočarenje
😮	lice, usta, zinuo, šokiranost
🤐	lice, usta, začepljena, šuti ko zaliven
😯	iznenađen, lice, nijem, zanijemio, zapanjen
😪	lice, pospanost, umor
😫	lice, umor, umoran
😴	lice, lice koje spava, spavanje, zzz
😌	lice, olakšanje, rasterećenje
😛	isplažen, jezik, lice, ruganje
😜	jezik, lice, mig, ruganje sa namigivanjem, šala
😝	lice, oko, ruganje žmireći, strašan, ukus
🤤	lice, slina, slinjenje
😒	lice, nesretan, nezainteresovanost, smor, smorenost
😓	hladan, lice, oblivenost hladnim znojem, znoj
😔	bezvoljan, potišten, utučen, zamišljen, zamišljenost
😕	lice, zbunjen, zbunjenost
🙃	lice, naglavačke, obrnuto
🤑	lice, lice s novčanicama, novčanice, pare
😲	lice, totalno, zapanjen, zapanjenost, zatečen
☹	lice, mrštenje, namrštenost
🙁	diskretna namrštenost, lice, mrštenje
😖	lice, potpuna rezigniranost, rezigniranost
😞	lice, razočaranost, razočarenje
😟	lice, zabrinutost
😤	bijes, huja, lice, ljutnja
😢	lice, plakanje, plač, suza, tuga
😭	glasan plač, jecanje, lice, plakanje, tuga
😦	mrštenje, namrštenost s otvorenim ustima, otvorena, usta
😧	izmučenost, lice, mučenje
😨	plašenje, plašljivost, prepad, strah
😩	iscrpljen, iscrpljenost, lice, umoran
🤯	eksplodirajuća glava, šok
😬	grimasa, lice
😰	hladan, otvorena usta i hladan znoj, plav, usta, znoj
😱	prestrašen, strah, strašljiv, vrištanje od straha
🥵	crveno lice, groznica, pregrijano lice, toplotni udar, vruće, znoj
🥶	hladnoća, ledenice, ledeno lice, plavo lice, promtzlina, smrzavanje
😳	ispran, ispranost, lice, omama, ošamućen
🤪	ludilo, malo, oko, veliko
😵	lice, vrtoglavica
😡	bijes, crven, durenje, ljutnja, lud
😠	lice, ljut, ljutnja
🤬	psovke, znakovi na ustima
😷	bolest, doktor, maska, nosi medicinsku masku
🤒	bolestan, lice, nezdrav, toplomjer, toplomjer u ustima
🤕	bol, lice, povreda, zavoj, zavoj na glavi
🤢	lice, muka, povraćanje
🤮	muka, povraćanje
🤧	kihanje, lice, nazdravlje
😇	anđeo, fantazija, nevin, oreol, oreol iznad glave
🤠	kauboj, lice, šešir
🥳	lice koje se zabavlja, party, proslava, slavlje, zabava, šešir
🥴	intoksikacija, iskrivljena usta, nejednake oči, ošamućeno lice, pripitost, vrtoglavica
🥺	milost, molećiv, molećivo lice, pseći pogled
🤥	laganje, laž, lice, pinokio
🤫	psst, tišina, ušutkivanje, šuti
🤭	opa, ruka preko usta, ups
🧐	monokl, začepljen
🤓	lice, čudak, štreber
😈	fantazija, rogovi, smiješak, vragolasto smješkanje
👿	fantazija, lice, vrag, đavo, đavoljak
🤡	klaun, lice
👹	fantazija, japansko, ljudožder, stvorenje, čudovište
👺	fantazija, goblin, japansko, stvorenje, čudovište
💀	lobanja, smrt, tijelo, čudovište
☠	kosti, lobanja, lobanja i ukrštene kosti, smrt, čudovište
👻	duh, fantazija, stvorenje, čudovište
👽	fantazija, nlo, stvorenje, svemir, vanzemaljac
👾	fantazija, nlo, stvorenje, svemir, vanzemaljac, vanzemaljsko čudovište
🤖	lice, robot, čudovište
💩	humor, izmet, kaka, lice, čudovište
😺	maca sa otvorenim ustima, mačka, osmijeh, otvorena, usta
😸	cerenje, maca koja se ceri, mačka, oko, osmijeh
😹	maca koja plače od smijeha, mačka, oko, radost, suza
😻	ljubav, maca sa srcima u očima, mačka, osmijeh, srce
😼	ironija, iskrivljen, kiseo, maca sa kiselim osmijehom, mačka
😽	lice, maca šalje poljubac zatvorenih očiju, mačka, oko, poljubac
🙀	iscrpljen, iscrpljena maca, mačka, uh, umoren
😿	maca plače, mačka, plakanje, suza, tužna
😾	durenje, lice, maca se duri, mačka
🙈	lice, majmun, ne vidim, zabranjeno, zlo
🙉	lice, majmun, ne čujem, zabranjeno, zlo
🙊	lice, majmun, ne govorim, zabranjeno, zlo
👶	beba, mlado
🧒	dijete, mlado, srednji rod
👦	dječak, mladić
👧	djevojka, djevojčica
🧑	odrasla osoba, srednji rod
👱	osoba sa plavom kosom, plava kosa
👨	muškarac, muško
👱‍♂	muškarac, plava kosa, plavušan
🧔	brada, osoba s bradom
👩	žena, žensko
👱‍♀	plava kosa, plavuša, žena
🧓	srednji rod, starija odrasla osoba, staro
👴	muškarac, star, starac, čovjek
👵	stara, starica, žena
👨‍⚕	doktor, liječnik, ljekar, medicinski tehničar, zdravstveni radnik
👩‍⚕	doktorica, liječnica, ljekarka, medicinska sestra, zdravstvena radnica
👨‍🎓	diploma, muškarac, student
👩‍🎓	diploma, student, studentica, žena
👨‍🏫	muškarac, nastavnik, profesor, učitelj
