🏻	світлий тон шкіри, тон, фіцпатрік, шкіра
🏼	помірно світлий тон шкіри, помірно-світлий тон шкіри, тон, фіцпатрік, шкіра
🏽	помірний тон шкіри, середній тон шкіри, тон, фіцпатрік, шкіра
🏾	помірно темний тон шкіри, помірно-темний тон шкіри, тон, фіцпатрік, шкіра
🏿	темний тон шкіри, тон, фіцпатрік, шкіра
😀	обличчя, усмішка, широко всміхнене обличчя, широко усміхнене обличчя
😁	обличчя, осяйно всміхнене обличчя й очі, осяйно усміхнене обличчя з усміхненими очима, осяйно усміхнене обличчя й очі, очі, усмішка
😂	обличчя, обличчя в сльозах радості, обличчя зі сльозами радості, радість, сльози, сміх
🤣	качається від сміху, обличчя, регіт, сміх
😃	відкритий, обличчя, посмішка, рот, широко всміхнене обличчя з очищами, широко усміхнене обличчя з великими очима, широко усміхнене обличчя з очищами
😄	відкритий, обличчя, очі, посмішка, рот, усміхнене обличчя з відкритим ротом і примруженими очима, широко всміхнене обличчя з примруженими очима, широко усміхнене обличчя зі змруженими очима
😅	відкритий, обличчя, посмішка, піт, усміхнене обличчя з відкритим ротом і холодним потом, холодний, широко всміхнене обличчя з потом
😆	відкритий, задоволений, обличчя, посмішка, рот, сміх, усміхнене обличчя з відкритим ротом і міцно заплющеними очима, широко всміхнене замружене обличчя
😉	обличчя, обличчя, що підморгує, підморгування
😊	обличчя, очі, посмішка, рум’янець, усміхнене обличчя з примруженими очима, усміхнене обличчя й очі
😋	ммм, ням-ням, облизується, обличчя, посмішка, смакує, смачно, усміхнене обличчя, що облизує губи
😎	крутий, обличчя, окуляри, очі, погода, посмішка, сонце, сонцезахисні, темні окуляри, усміхнене обличчя в темних окулярах, яскраво
😍	кохання, обличчя, очі, посмішка, серце, усміхнене обличчя з очами-серцями, усміхнене обличчя з очима у формі сердець
😘	обличчя, обличчя, що надсилає цілунок, поцілунок, серце
🥰	закоханість, закохатися, кохання, любов, ніжність, усміхнене обличчя із сердечками
😗	обличчя, обличчя, що цілує
😙	обличчя, обличчя з примруженими очима, що цілує, очі, посмішка, поцілунок
😚	закриті, обличчя, обличчя з закритими очима, що цілує, обличчя із закритими очима, що цілує, очі, поцілунок
🙂	обличчя, посмішка, трохи всміхнене обличчя, трохи усміхнене обличчя
🤗	обличчя, обійматися, щасливе обличчя з руками, що обіймають
🤩	зірка, обличчя, очі, очі-зірочки, посмішка
🤔	обличчя, обличчя в роздумах
🤨	недовіра, обличчя з піднятими бровами, скептичний
😑	без емоцій, невиразний, обличчя, обличчя без емоцій
😶	беззвучно, обличчя, обличчя без рота, рот, тихо
🙄	закочувати, обличчя, обличчя із закоченими очима, очі
😏	обличчя, самовдоволене обличчя
😣	завзяте обличчя, невідступне обличчя, обличчя
😥	cумне, але втішене обличчя, обличчя, полегшення, розчароване, але заспокоєне обличчя, розчарування, фух
😮	відкритий, здивоване обличчя з відкритим ротом, обличчя, обличчя з відкритим ротом, рот, співчуття
🤐	блискавка, обличчя, обличчя з застібкою замість рота, обличчя із застібкою замість рота, рот
😯	вражений, здивоване і збентежене обличчя з бровами, здивований, обличчя, приголомшений
😪	заспане обличчя, обличчя, сон
😫	обличчя, стомлене обличчя, стомлений
😴	обличчя, обличчя, що спить
😌	заспокоєне обличчя, обличчя
😛	обличчя, обличчя з висунутим язиком, язик
😜	жарт, обличчя, обличчя з висунутим язиком, що підморгує, обличчя, що підморгує і показує язика, очі, підморгування, язик
😝	жахливий, обличчя, обличчя з висунутим язиком і заплющеними очима, очі, смак, язик
🤤	обличчя, обличчя, що пускає слину, слина
😒	невдоволене обличчя, незадоволене обличчя, незадоволений, нещасливий, обличчя
😓	обличчя, обличчя з краплями холодного поту, понурене обличчя в поту, піт, холодний
😔	задумливий, замислене обличчя, обличчя, роздуми, сумне замислене обличчя
😕	обличчя, спантеличене обличчя, спантеличений
🙃	догори ногами, обличчя, обличчя догори дном, обличчя догори дриґом
🤑	обличчя, обличчя з грішми замість очей та язика, рот
😲	вражене обличчя, здивований, обличчя, шокований
🙁	нахмурений, обличчя, сумний, трохи похмуре обличчя
😖	збентежене обличчя, збентежений, обличчя
😞	обличчя, розчароване обличчя, розчарований
😟	обличчя, стурбоване обличчя, стурбований
😤	виграш, обличчя, обличчя, що сердито видихає, тріумф
😢	обличчя, обличчя, що плаче, сльоза, сумний
😭	обличчя, обличчя, що гучно ридає, плач, ридання, сльоза, сумний
😦	відкритий, нахмурений, обличчя, похмуре обличчя з відкритим ротом, рот
😧	обличчя, страждання, стражденне обличчя
😨	боязкий, налякане обличчя, наляканий, обличчя, страх
😩	втомлене обличчя, замучене обличчя, зморений, обличчя, стомлений
🤯	голова, що вибухає, шокований
😬	кривляння, обличчя, обличчя з гримасою, скривлене обличчя
😰	відкритий, занепокоєне обличчя з потом, обличчя, обличчя у холодному поту з відкритим ротом, піт, рот, синій, холодно
😱	боязкий, крик, наляканий, обличчя, обличчя, що кричить із переляку, страх
🥵	гаряче, жар, палати, розпашіле обличчя, сонячний удар, спека, червоне лице
🥶	бурулька, замерзле обличчя, зуб на зуб, мороз, синє лице, холод
😳	зашаріле обличчя, обличчя, обличчя із широко відкритими очима та зашарілими щоками, присоромлений
🤪	божевільне обличчя, великий, малий, око
