🏻	رنگ, قسم 1–2, گوري رنگت
🏼	رنگ, قسم 3, وچولي گوري رنگت
🏽	رنگ, قسم 4, پڪو رنگ
🏾	رنگ, قسم 5, وچولو ڪارو رنگ
🏿	رنگ, قسم 6, ڪارو رنگ
😀	وڏي کل, وڏي کل وارو چهرو, چهرو
😁	اک, مرڪ, مرڪندڙ اکين سان ٻھڪندڙ چھرو, وڏي کل, چھرو, کلندڙ اکين سان گڏ چمڪندڙ چهرو
😂	خوشي, خوشي جي ڳوڙهن وارو چهرو, خوشي جي ڳوڙھن وارو چھرو, چھرو, کل, ڳوڙھو
🤣	فرش, ليٿريون پائيندي, چھرو, کل, کلندي فرش تي ليٿڙيون پائيندي
😃	وڏين انکين سان وڏي کل وارو چهرو, چهرو، وات، کليل، کل
😄	اک، چهرو، وات، کليل، کل،, کلندڙ انکين سان وڏي کل وارو چهرو
😅	پگهر سان وڏي کل وارو چهرو, ٿڏ، چهرو، کليل، کل، پگهر
😆	وڏي کل وارو ڦريل انکين وارو چهرو, چهرو، کل، منهن، کليل، متمعين، مسڪراهٽ
😉	اک هڻڻ, چهرو، اک هڻڻ
😊	شرمائڻ، اک چهرو، مسڪراهٽ, کلندڙ انکين سان کلندڙ چهرو
😋	لذت, مرڪ, مزو ڏيندي, مزي وارو, مزيدار, چهرو, کاڏي تي وات ۾ پاڻي اچڻ
😎	اس جي عينڪ, اس جي چشمي سان گڏ مسڪرائيندڙ چهرو, اک, روشن, سج, شيشا, عمدو, مرڪ, چشمو, چهرو
😍	اک, دل واري اکين سان مسڪرائيندڙ چهرو, مرڪ, پيار, چهرو
😘	هڪ چمي موڪليندڙ چهرو, چمي, چهرو
🥰	3 دلين سان گڏ مرڪندڙ چهرو, پسند, پيار ۾, ڪرش
😗	چمي ڏيندڙ چهرو, چمڻ, چهرو
😙	اک, مرڪ, مسڪرائيندڙ اکين سان گڏ چمي ڏيندڙ چهرو, چمي, چهرو
😚	اک, بند اکين سان گڏ چمي ڏيندڙ چهرو, بند ٿيل, چمي, چهرو
🙂	مرڪ, هلڪو مسڪرائيندڙ چهرو, چهرو
🤗	ڀاڪر, ڀاڪر پائيندڙ چهرو, ڀاڪر پائڻ, چهرو
🤩	اکيون, اکيون تاري نما, تارو, مسڪرائڻ, چهرو
🤔	سوچيندڙ, سوچيندڙ چهرو, چهرو
🤨	اڀريل ڀرن سان چهرو, بي اعتمادي, شڪي
😑	بغير اظهار, بغير اظهاري وارو چهرو, بي معني, لااظهار, چهرو
😶	بغير وات وارو چهرو, خاموش, وات, چهرو, چپ
🙄	اکيون, چهرو, ڦرندڙ, ڦرندڙ اکين سان چهرو
😏	بناوٽي مرڪ, بناوٽي چهرو, چهرو
😣	ثابت قدم, چهرو
😥	آجو, اداس پر سڪون وارو چهرو, نااميد, واه, چهرو
😮	همدردي, وات, چهرو, کليل, کليل وات سان چهرو
🤐	زپ ٿيل وات وارو چهرو, زپر, وات, چهرو
😯	حيران ڪيل, ششدر, مخفي, چهرو, چپ ٿيل چهرو
😪	ننڊ, ننڊ وارو چهرو, چهرو
😫	ٿڪل چهرو, ٿڪيل, چهرو
😴	ززز, سمهندڙ چهرو, ننڊ, چهرو
😌	آجو, آجو ٿيل چهرو, چهرو
😛	زبان, زبان وارو چهرو, چهرو
😜	اک, جھپڪڻ, زبان, زبان سان گڏ چهرو انک هڻندي, مذاق, چهرو
😝	اک, خوفناڪ, ذائقو, زبان, زبان سان گڏ انک بند ڪندي چهرو, چهرو
🤤	رال ٽپڪائيندڙ, رال ٽپڪائيندڙ چهرو, چهرو
😒	ناخوش, ناخوش چهرو, چهرو
😓	هلڪي آنسن سان لٿل چهرو, پگھر, ٿڌو, چهرو
😔	اداس, فڪرمند, فڪرمند چهرو, چهرو
😕	الجهيل چهرو, الجھيل, چهرو
🙃	ابتو, ابتو چهرو, چهرو
🤑	وات, وات ۾ پئسن وارو چهرو, پئسا, چهرو
😲	بدحواس, حيران, حيران ٿيل چهرو, پورو, چهرو
🙁	لٿل, هلڪو لٿل چهرو, چهرو
😖	شرمنده چهرو, شرمنده، چهرو
😞	نااميد, نااميد چهرو, چهرو
😟	پريشان, پريشان چهرو, چهرو
😤	فتح, نڪ مان ٻاڦ نڪرندڙ چهرو, چهرو, کٽڻ
😢	روئندڙ چهرو, روئڻ, چهرو, ڏکويل, ڳوڙهو
😭	روئڻ, سڏڪڻ, وڏي آواز سان روئندڙ چهرو, چهرو, ڏکويل, ڳوڙهو
😦	ناپسنديدگي, وات, چهرو, کليل, کليل وات سان اداس چهرو
😧	چهرو, ڏکايل, ڏکايل چهرو
😨	خوف, خوفناڪ, چهرو, ڊنل, ڊنل چهرو
😩	اکڙيل چهرو, ٿڪجڻ, ٿڪيل, چهرو
🤯	ڇرڪ, ڦاٽندڙ مٿو
😬	بدصورت بڻائڻ, بناوٽي صورت ٺاهيندڙ چهرو, چهرو
😰	نيرو, وات, وڌيل, پگهر سان فڪرمند چهرو, پگھر, ٿڌو, چهرو, کليل
😱	خوف, خوفناڪ, رڙيون ڪرڻ, چهرو, چٻاڙڻ, ڊنل, ڊپ ۾ رڙيون ڪندڙ چهرو
🥵	بخار نما, هيٽ اسٽروڪ, پگهر ايندڙ, گرم, گرم چهرو, ڳاڙهو-چهري سان
🥶	icicles, بلو-چهرو, فروسٽ بائيٽ, فريزنگ, ٿڌ, ٿڌو چهرو
😳	بدحواس, سرخي ڇانيل, سرخي ڇانيل چهرو, چهرو
🤪	اوڏو, اک, ننڍو, چريو چهرو
😵	چهرو, چڪرائيندڙ, چڪرائيندڙ چهرو
😡	ضدي, منهن بسوريندڙ چهرو, چريو, چهرو, ڪاوڙ, ڪاوڙيل, ڳاڙهو
😠	چريو, چهرو, ڪاوڙيل, ڪاوڙيل چهرو
🤬	وات تي نشان سان گڏ چهرو, گار ڏيڻ
😷	بيمار, دوا, ميڊيڪل ماسڪ سان گڏ چهرو, نقاب, ٿڌو, چهرو, ڊاڪٽر
🤒	بيمار, ٿرماميٽر, ٿرماميٽر سان گڏ چهرو, چهرو
🤕	زخم, مٿي تي پٽي ٻڌل چهرو, پٽي, چهرو, ڏکائڻ
🤢	الٽي, الٽي ايندڙ چهرو, چهرو, ڪراهت
