🦵🏻	končetina, kopanec, kopnutí, noha, noha: světlý odstín pleti, světlý odstín pleti
🦵🏼	končetina, kopanec, kopnutí, noha, noha: středně světlý odstín pleti, středně světlý odstín pleti
🦵🏽	končetina, kopanec, kopnutí, noha, noha: střední odstín pleti, střední odstín pleti
🦵🏾	končetina, kopanec, kopnutí, noha, noha: středně tmavý odstín pleti, středně tmavý odstín pleti
🦵🏿	končetina, kopanec, kopnutí, noha, noha: tmavý odstín pleti, tmavý odstín pleti
🦶🏻	chodidlo, chodidlo: světlý odstín pleti, kopanec, kopnutí, noha, světlý odstín pleti, šlapka, šlápnutí
🦶🏼	chodidlo, chodidlo: středně světlý odstín pleti, kopanec, kopnutí, noha, středně světlý odstín pleti, šlapka, šlápnutí
🦶🏽	chodidlo, chodidlo: střední odstín pleti, kopanec, kopnutí, noha, střední odstín pleti, šlapka, šlápnutí
🦶🏾	chodidlo, chodidlo: středně tmavý odstín pleti, kopanec, kopnutí, noha, středně tmavý odstín pleti, šlapka, šlápnutí
🦶🏿	chodidlo, chodidlo: tmavý odstín pleti, kopanec, kopnutí, noha, tmavý odstín pleti, šlapka, šlápnutí
🦸🏻	hrdina, hrdinka, kladná postava, superhrdina, superhrdinka, superhrdinská postava, superhrdinská postava: světlý odstín pleti, superschopnost, světlý odstín pleti
🦸🏼	hrdina, hrdinka, kladná postava, středně světlý odstín pleti, superhrdina, superhrdinka, superhrdinská postava, superhrdinská postava: středně světlý odstín pleti, superschopnost
🦸🏽	hrdina, hrdinka, kladná postava, střední odstín pleti, superhrdina, superhrdinka, superhrdinská postava, superhrdinská postava: střední odstín pleti, superschopnost
🦸🏾	hrdina, hrdinka, kladná postava, středně tmavý odstín pleti, superhrdina, superhrdinka, superhrdinská postava, superhrdinská postava: středně tmavý odstín pleti, superschopnost
🦸🏿	hrdina, hrdinka, kladná postava, superhrdina, superhrdinka, superhrdinská postava, superhrdinská postava: tmavý odstín pleti, superschopnost, tmavý odstín pleti
🦸🏻‍♀	hrdinka, kladná postava, superhrdina, superhrdinka, superhrdinka: světlý odstín pleti, superschopnost, světlý odstín pleti, žena
🦸🏼‍♀	hrdinka, kladná postava, středně světlý odstín pleti, superhrdina, superhrdinka, superhrdinka: středně světlý odstín pleti, superschopnost, žena
🦸🏽‍♀	hrdinka, kladná postava, střední odstín pleti, superhrdina, superhrdinka, superhrdinka: střední odstín pleti, superschopnost, žena
🦸🏾‍♀	hrdinka, kladná postava, středně tmavý odstín pleti, superhrdina, superhrdinka, superhrdinka: středně tmavý odstín pleti, superschopnost, žena
🦸🏿‍♀	hrdinka, kladná postava, superhrdina, superhrdinka, superhrdinka: tmavý odstín pleti, superschopnost, tmavý odstín pleti, žena
🦸🏻‍♂	hrdina, kladná postava, muž, superhrdina, superhrdina: světlý odstín pleti, superschopnost, světlý odstín pleti
🦸🏼‍♂	hrdina, kladná postava, muž, středně světlý odstín pleti, superhrdina, superhrdina: středně světlý odstín pleti, superschopnost
🦸🏽‍♂	hrdina, kladná postava, muž, střední odstín pleti, superhrdina, superhrdina: střední odstín pleti, superschopnost
🦸🏾‍♂	hrdina, kladná postava, muž, středně tmavý odstín pleti, superhrdina, superhrdina: středně tmavý odstín pleti, superschopnost
🦸🏿‍♂	hrdina, kladná postava, muž, superhrdina, superhrdina: tmavý odstín pleti, superschopnost, tmavý odstín pleti
🦹🏻	superpadouch, superschopnost, superzloduch, superzločinec, superzločinec: světlý odstín pleti, světlý odstín pleti, zločinec, záporná postava
🦹🏼	středně světlý odstín pleti, superpadouch, superschopnost, superzloduch, superzločinec, superzločinec: středně světlý odstín pleti, zločinec, záporná postava
🦹🏽	střední odstín pleti, superpadouch, superschopnost, superzloduch, superzločinec, superzločinec: střední odstín pleti, zločinec, záporná postava
🦹🏾	středně tmavý odstín pleti, superpadouch, superschopnost, superzloduch, superzločinec, superzločinec: středně tmavý odstín pleti, zločinec, záporná postava
🦹🏿	superpadouch, superschopnost, superzloduch, superzločinec, superzločinec: tmavý odstín pleti, tmavý odstín pleti, zločinec, záporná postava
🦹🏻‍♀	padouška, superpadouška, superpadouška: světlý odstín pleti, superschopnost, superzloduška, světlý odstín pleti, záporná postava, žena
🦹🏼‍♀	padouška, středně světlý odstín pleti, superpadouška, superpadouška: středně světlý odstín pleti, superschopnost, superzloduška, záporná postava, žena
🦹🏽‍♀	padouška, střední odstín pleti, superpadouška, superpadouška: střední odstín pleti, superschopnost, superzloduška, záporná postava, žena
🦹🏾‍♀	padouška, středně tmavý odstín pleti, superpadouška, superpadouška: středně tmavý odstín pleti, superschopnost, superzloduška, záporná postava, žena
🦹🏿‍♀	padouška, superpadouška, superpadouška: tmavý odstín pleti, superschopnost, superzloduška, tmavý odstín pleti, záporná postava, žena
🦹🏻‍♂	muž, padouch, superpadouch, superpadouch: světlý odstín pleti, superschopnost, superzločinec, světlý odstín pleti, záporná postava
🦹🏼‍♂	muž, padouch, středně světlý odstín pleti, superpadouch, superpadouch: středně světlý odstín pleti, superschopnost, superzločinec, záporná postava
🦹🏽‍♂	muž, padouch, střední odstín pleti, superpadouch, superpadouch: střední odstín pleti, superschopnost, superzločinec, záporná postava
