🏻	açık cilt tonu, açık ten rengi, deri, emoji değiştirici, ton
🏼	deri, emoji değiştirici, orta açık cilt tonu, orta açık ten rengi, ton
🏽	deri, emoji değiştirici, orta cilt tonu, orta ten rengi, ton
🏾	deri, emoji değiştirici, orta koyu cilt tonu, ton
🏿	deri, emoji değiştirici, koyu cilt tonu, koyu ten rengi, ton
😀	gülen yüz, gülme, lol, neşeli, sırıtan yüz, yüz
😁	gülen gözlerle sırıtan yüz, gülen gözlerle sırıtma, gülen yüz, gülme, gülümseme, gülümseyen gözler, lol, neşeli, yüz
😂	gözyaşları, sevinç, sevinç gözyaşları, sevinç gözyaşları olan yüz, yüz
🤣	gülme, gülmekten yerlere yatma, yatma, yer, yüz
😃	ağzı açık gülen yüz, ağzı açık sırıtma, gülen yüz, gülme, gülümseme, lol, neşeli, yüz
😄	ağzı açık gülen gözler, gülen gözlerle ağzı açık sırıtma, gülen yüz, gülme, gülümseme, lol, neşeli
😅	soğuk ter, soğuk terli ağzı açık gülümseme
😆	ağız açık, gözler kapalı, kapalı gözlerle ağzı açık sırıtma, kapalı gözlerle gülümseme, yüz
😉	göz kırpan yüz, göz kırpma, yüz
😊	ağzı açık gülme, gülümseyen gözler, gülümseyen yüz, gülümseyen yüz ve gözler, yüz
😋	gülümseyen yüz, harika yemek, lezzetli, lezzetli yiyecek beğenen yüz, oh oh harika, yüz
😎	gülümseme, güneş gözlükleri, güneş gözlükleriyle gülümseme, güneş gözlüklü gülümseme, soğukkanlı Jane, soğukkanlı Joe, yüz
😍	aşk, değer verme, gözler, kalp, kalp gözlü gülümseme, yüz
😘	yüz, öpücük gönderen yüz
🥰	3 kalpli gülümseyen yüz, hayranlık, çarpılma, aşık olma
😗	yüz, öpen yüz, öpücük
😙	gülen gözlerle öpen yüz, gülümseme, gülümseyen gözler, gülümseyerek öpen yüz, yüz
😚	gözler kapalı, gözler kapalı öpüşme, kapalı gözlerle öpen yüz, yüz
☺	gülen yüz, içi boş gülen yüz, yüz
🙂	gülme, hafifçe gülümseyen yüz, yüz
🤗	kucaklama, kucaklayarak gülümseme, sarılma, yüz
🤩	gözler, sırıtan, yüz, yıldız, yıldız çarpmış
🤔	düşünen yüz, düşünme, yüz
🤨	güvenmeyen, tek kaşı çatık yüz, şüpheci
😐	duygusuz, duygusuz yüz, nötr, yorum yok, yüz
😑	ifadesiz yüz, yorum yok, yüz
😶	ağzı olmayan yüz, ağız, sakin, sessiz, yüz
🙄	gözler, gözlerini deviren yüz, yuvarlanma, yüz
😏	imalı gülümseme, yapmacık gülümseyen, yapmacık gülümseyen yüz, yüz
😣	dayanıklı, kararlı yüz, yüz, zorlanan yüz
😥	canı sıkkın, canı sıkkın ama rahatlamış, rahatlamış, yüz, üzgün ama rahatlamış yüz
😮	ağzı açık, ağzı açık yüz, ağız, yüz
🤐	ağzı fermuarlı yüz, ağız, fermuar, yüz
😯	yüz, şaşkın yüz, şaşırmış, şok olmuş
😪	uykulu yüz, yüz
😫	yorgun yüz, yüz
😴	uykulu yüz, uyuyan yüz, yüz
😌	rahatlamış, rahatlamış yüz, yüz
😛	dil dışarıda, dil dışarıda kalmış, dil çıkarmış yüz, yüz
😜	dil dışardayken göz kırpma, dili dışarda göz kırpma, göz kırpma, kışkırtma, yüz, şaka
