🦵🏻	ଅବୟବ, କିକ୍‌, ଗୋଡ, ଗୋଡ: ହାଲକା ଚର୍ମ ରଙ୍ଗ, ହାଲକା ଚର୍ମ ରଙ୍ଗ
🦵🏼	ଅବୟବ, କିକ୍‌, ଗୋଡ, ଗୋଡ: ମଧ୍ୟମ-ହାଲକା ଚର୍ମ ରଙ୍ଗ, ମଧ୍ୟମ-ହାଲକା ଚର୍ମ ରଙ୍ଗ
🦵🏽	ଅବୟବ, କିକ୍‌, ଗୋଡ, ଗୋଡ: ମଧ୍ୟମ ଚର୍ମ ରଙ୍ଗ, ମଧ୍ୟମ ଚର୍ମ ରଙ୍ଗ
🦵🏾	ଅବୟବ, କିକ୍‌, ଗୋଡ, ଗୋଡ: ମଧ୍ୟମ-ଗାଢ଼ ଚର୍ମ ରଙ୍ଗ, ମଧ୍ୟମ-ଗାଢ଼ ଚର୍ମ ରଙ୍ଗ
🦵🏿	ଅବୟବ, କିକ୍‌, ଗାଢ଼ ଚର୍ମ ରଙ୍ଗ, ଗୋଡ, ଗୋଡ: ଗାଢ଼ ଚର୍ମ ରଙ୍ଗ
🦶🏻	କିକ୍‌, ଦୁମ୍‌ ଦୁମ୍‌ ଚାଲିବା, ପାଦ, ପାଦ: ହାଲକା ଚର୍ମ ରଙ୍ଗ, ହାଲକା ଚର୍ମ ରଙ୍ଗ
🦶🏼	କିକ୍‌, ଦୁମ୍‌ ଦୁମ୍‌ ଚାଲିବା, ପାଦ, ପାଦ: ମଧ୍ୟମ-ହାଲକା ଚର୍ମ ରଙ୍ଗ, ମଧ୍ୟମ-ହାଲକା ଚର୍ମ ରଙ୍ଗ
🦶🏽	କିକ୍‌, ଦୁମ୍‌ ଦୁମ୍‌ ଚାଲିବା, ପାଦ, ପାଦ: ମଧ୍ୟମ ଚର୍ମ ରଙ୍ଗ, ମଧ୍ୟମ ଚର୍ମ ରଙ୍ଗ
🦶🏾	କିକ୍‌, ଦୁମ୍‌ ଦୁମ୍‌ ଚାଲିବା, ପାଦ, ପାଦ: ମଧ୍ୟମ-ଗାଢ଼ ଚର୍ମ ରଙ୍ଗ, ମଧ୍ୟମ-ଗାଢ଼ ଚର୍ମ ରଙ୍ଗ
🦶🏿	କିକ୍‌, ଗାଢ଼ ଚର୍ମ ରଙ୍ଗ, ଦୁମ୍‌ ଦୁମ୍‌ ଚାଲିବା, ପାଦ, ପାଦ: ଗାଢ଼ ଚର୍ମ ରଙ୍ଗ
🦸🏻	ଭଲ, ସୁପର୍‌ ପାୱାର, ସୁପର୍‌ହିରୋ, ସୁପର୍‌ହିରୋ: ହାଲକା ଚର୍ମ ରଙ୍ଗ, ହାଲକା ଚର୍ମ ରଙ୍ଗ, ହିରୋ, ହିରୋଇନ୍‌
🦸🏼	ଭଲ, ମଧ୍ୟମ-ହାଲକା ଚର୍ମ ରଙ୍ଗ, ସୁପର୍‌ ପାୱାର, ସୁପର୍‌ହିରୋ, ସୁପର୍‌ହିରୋ: ମଧ୍ୟମ-ହାଲକା ଚର୍ମ ରଙ୍ଗ, ହିରୋ, ହିରୋଇନ୍‌
🦸🏽	ଭଲ, ମଧ୍ୟମ ଚର୍ମ ରଙ୍ଗ, ସୁପର୍‌ ପାୱାର, ସୁପର୍‌ହିରୋ, ସୁପର୍‌ହିରୋ: ମଧ୍ୟମ ଚର୍ମ ରଙ୍ଗ, ହିରୋ, ହିରୋଇନ୍‌
🦸🏾	ଭଲ, ମଧ୍ୟମ-ଗାଢ଼ ଚର୍ମ ରଙ୍ଗ, ସୁପର୍‌ ପାୱାର, ସୁପର୍‌ହିରୋ, ସୁପର୍‌ହିରୋ: ମଧ୍ୟମ-ଗାଢ଼ ଚର୍ମ ରଙ୍ଗ, ହିରୋ, ହିରୋଇନ୍‌
🦸🏿	ଗାଢ଼ ଚର୍ମ ରଙ୍ଗ, ଭଲ, ସୁପର୍‌ ପାୱାର, ସୁପର୍‌ହିରୋ, ସୁପର୍‌ହିରୋ: ଗାଢ଼ ଚର୍ମ ରଙ୍ଗ, ହିରୋ, ହିରୋଇନ୍‌
🦸🏻‍♀	ଭଲ, ମହିଳା, ମହିଳା ସୁପର୍‌ ହିରୋ, ମହିଳା ସୁପର୍‌ ହିରୋ: ହାଲକା ଚର୍ମ ରଙ୍ଗ, ସୁପର୍‌ ପାୱାର, ହାଲକା ଚର୍ମ ରଙ୍ଗ, ହିରୋ, ହିରୋଇନ୍‌
🦸🏼‍♀	ଭଲ, ମଧ୍ୟମ-ହାଲକା ଚର୍ମ ରଙ୍ଗ, ମହିଳା, ମହିଳା ସୁପର୍‌ ହିରୋ, ମହିଳା ସୁପର୍‌ ହିରୋ: ମଧ୍ୟମ-ହାଲକା ଚର୍ମ ରଙ୍ଗ, ସୁପର୍‌ ପାୱାର, ହିରୋ, ହିରୋଇନ୍‌
🦸🏽‍♀	ଭଲ, ମଧ୍ୟମ ଚର୍ମ ରଙ୍ଗ, ମହିଳା, ମହିଳା ସୁପର୍‌ ହିରୋ, ମହିଳା ସୁପର୍‌ ହିରୋ: ମଧ୍ୟମ ଚର୍ମ ରଙ୍ଗ, ସୁପର୍‌ ପାୱାର, ହିରୋ, ହିରୋଇନ୍‌
🦸🏾‍♀	ଭଲ, ମଧ୍ୟମ-ଗାଢ଼ ଚର୍ମ ରଙ୍ଗ, ମହିଳା, ମହିଳା ସୁପର୍‌ ହିରୋ, ମହିଳା ସୁପର୍‌ ହିରୋ: ମଧ୍ୟମ-ଗାଢ଼ ଚର୍ମ ରଙ୍ଗ, ସୁପର୍‌ ପାୱାର, ହିରୋ, ହିରୋଇନ୍‌
🦸🏿‍♀	ଗାଢ଼ ଚର୍ମ ରଙ୍ଗ, ଭଲ, ମହିଳା, ମହିଳା ସୁପର୍‌ ହିରୋ, ମହିଳା ସୁପର୍‌ ହିରୋ: ଗାଢ଼ ଚର୍ମ ରଙ୍ଗ, ସୁପର୍‌ ପାୱାର, ହିରୋ, ହିରୋଇନ୍‌
🦸🏻‍♂	ପୁରୁଷ, ପୁରୁଷ ସୁପର୍‌ ହିରୋ, ପୁରୁଷ ସୁପର୍‌ ହିରୋ: ହାଲକା ଚର୍ମ ରଙ୍ଗ, ଭଲ, ସୁପର୍‌ ପାୱାର, ହାଲକା ଚର୍ମ ରଙ୍ଗ, ହିରୋ, ହିରୋଇନ୍‌
🦸🏼‍♂	ପୁରୁଷ, ପୁରୁଷ ସୁପର୍‌ ହିରୋ, ପୁରୁଷ ସୁପର୍‌ ହିରୋ: ମଧ୍ୟମ-ହାଲକା ଚର୍ମ ରଙ୍ଗ, ଭଲ, ମଧ୍ୟମ-ହାଲକା ଚର୍ମ ରଙ୍ଗ, ସୁପର୍‌ ପାୱାର, ହିରୋ, ହିରୋଇନ୍‌
🦸🏽‍♂	ପୁରୁଷ, ପୁରୁଷ ସୁପର୍‌ ହିରୋ, ପୁରୁଷ ସୁପର୍‌ ହିରୋ: ମଧ୍ୟମ ଚର୍ମ ରଙ୍ଗ, ଭଲ, ମଧ୍ୟମ ଚର୍ମ ରଙ୍ଗ, ସୁପର୍‌ ପାୱାର, ହିରୋ, ହିରୋଇନ୍‌
🦸🏾‍♂	ପୁରୁଷ, ପୁରୁଷ ସୁପର୍‌ ହିରୋ, ପୁରୁଷ ସୁପର୍‌ ହିରୋ: ମଧ୍ୟମ-ଗାଢ଼ ଚର୍ମ ରଙ୍ଗ, ଭଲ, ମଧ୍ୟମ-ଗାଢ଼ ଚର୍ମ ରଙ୍ଗ, ସୁପର୍‌ ପାୱାର, ହିରୋ, ହିରୋଇନ୍‌
