🦵🏻	кожа от тип 1, 2, крайник, крак, крак: кожа от тип 1, 2, ритник
🦵🏼	кожа от тип 3, крайник, крак, крак: кожа от тип 3, ритник
🦵🏽	кожа от тип 4, крайник, крак, крак: кожа от тип 4, ритник
🦵🏾	кожа от тип 5, крайник, крак, крак: кожа от тип 5, ритник
🦵🏿	кожа от тип 6, крайник, крак, крак: кожа от тип 6, ритник
🦶🏻	кожа от тип 1, 2, настъпване, ритник, стъпало, стъпало: кожа от тип 1, 2
🦶🏼	кожа от тип 3, настъпване, ритник, стъпало, стъпало: кожа от тип 3
🦶🏽	кожа от тип 4, настъпване, ритник, стъпало, стъпало: кожа от тип 4
🦶🏾	кожа от тип 5, настъпване, ритник, стъпало, стъпало: кожа от тип 5
🦶🏿	кожа от тип 6, настъпване, ритник, стъпало, стъпало: кожа от тип 6
🦸🏻	героиня, героична, добра, жена супергерой, жена супергерой: кожа от тип 1, 2, кожа от тип 1, 2, суперсили
🦸🏼	героиня, героична, добра, жена супергерой, жена супергерой: кожа от тип 3, кожа от тип 3, суперсили
🦸🏽	героиня, героична, добра, жена супергерой, жена супергерой: кожа от тип 4, кожа от тип 4, суперсили
🦸🏾	героиня, героична, добра, жена супергерой, жена супергерой: кожа от тип 5, кожа от тип 5, суперсили
🦸🏿	героиня, героична, добра, жена супергерой, жена супергерой: кожа от тип 6, кожа от тип 6, суперсили
🦸🏻‍♀	героиня, герой, жена, кожа от тип 1, 2, праведна, способности, супергерой от женски пол, супергерой от женски пол: кожа от тип 1, 2
🦸🏼‍♀	героиня, герой, жена, кожа от тип 3, праведна, способности, супергерой от женски пол, супергерой от женски пол: кожа от тип 3
🦸🏽‍♀	героиня, герой, жена, кожа от тип 4, праведна, способности, супергерой от женски пол, супергерой от женски пол: кожа от тип 4
🦸🏾‍♀	героиня, герой, жена, кожа от тип 5, праведна, способности, супергерой от женски пол, супергерой от женски пол: кожа от тип 5
🦸🏿‍♀	героиня, герой, жена, кожа от тип 6, праведна, способности, супергерой от женски пол, супергерой от женски пол: кожа от тип 6
🦸🏻‍♂	герой, добър, кожа от тип 1, 2, супергерой, супергерой: кожа от тип 1, 2, супермен, суперсила
🦸🏼‍♂	герой, добър, кожа от тип 3, супергерой, супергерой: кожа от тип 3, супермен, суперсила
🦸🏽‍♂	герой, добър, кожа от тип 4, супергерой, супергерой: кожа от тип 4, супермен, суперсила
🦸🏾‍♂	герой, добър, кожа от тип 5, супергерой, супергерой: кожа от тип 5, супермен, суперсила
🦸🏿‍♂	герой, добър, кожа от тип 6, супергерой, супергерой: кожа от тип 6, супермен, суперсила
🦹🏻	зло, злодей, кожа от тип 1, 2, престъпник, суперзлодей, суперзлодей: кожа от тип 1, 2, суперсила
🦹🏼	зло, злодей, кожа от тип 3, престъпник, суперзлодей, суперзлодей: кожа от тип 3, суперсила
🦹🏽	зло, злодей, кожа от тип 4, престъпник, суперзлодей, суперзлодей: кожа от тип 4, суперсила
🦹🏾	зло, злодей, кожа от тип 5, престъпник, суперзлодей, суперзлодей: кожа от тип 5, суперсила
🦹🏿	зло, злодей, кожа от тип 6, престъпник, суперзлодей, суперзлодей: кожа от тип 6, суперсила
🦹🏻‍♀	жена, жена суперзлодей, жена суперзлодей: кожа от тип 1, 2, зло, злодей, кожа от тип 1, 2, престъпник, суперсила
🦹🏼‍♀	жена, жена суперзлодей, жена суперзлодей: кожа от тип 3, зло, злодей, кожа от тип 3, престъпник, суперсила
🦹🏽‍♀	жена, жена суперзлодей, жена суперзлодей: кожа от тип 4, зло, злодей, кожа от тип 4, престъпник, суперсила
🦹🏾‍♀	жена, жена суперзлодей, жена суперзлодей: кожа от тип 5, зло, злодей, кожа от тип 5, престъпник, суперсила
🦹🏿‍♀	жена, жена суперзлодей, жена суперзлодей: кожа от тип 6, зло, злодей, кожа от тип 6, престъпник, суперсила
🦹🏻‍♂	зло, злодей, кожа от тип 1, 2, мъж, мъж суперзлодей, мъж суперзлодей: кожа от тип 1, 2, престъпник, суперсила
🦹🏼‍♂	зло, злодей, кожа от тип 3, мъж, мъж суперзлодей, мъж суперзлодей: кожа от тип 3, престъпник, суперсила
🦹🏽‍♂	зло, злодей, кожа от тип 4, мъж, мъж суперзлодей, мъж суперзлодей: кожа от тип 4, престъпник, суперсила
🦹🏾‍♂	зло, злодей, кожа от тип 5, мъж, мъж суперзлодей, мъж суперзлодей: кожа от тип 5, престъпник, суперсила
🦹🏿‍♂	зло, злодей, кожа от тип 6, мъж, мъж суперзлодей, мъж суперзлодей: кожа от тип 6, престъпник, суперсила
👶🏻	бебе, бебе: кожа от тип 1, 2, кожа от тип 1, 2
👶🏼	бебе, бебе: кожа от тип 3, кожа от тип 3
👶🏽	бебе, бебе: кожа от тип 4, кожа от тип 4
👶🏾	бебе, бебе: кожа от тип 5, кожа от тип 5
👶🏿	бебе, бебе: кожа от тип 6, кожа от тип 6
🧒🏻	без определен пол, дете, дете: кожа от тип 1, 2, кожа от тип 1, 2, млад
🧒🏼	без определен пол, дете, дете: кожа от тип 3, кожа от тип 3, млад
🧒🏽	без определен пол, дете, дете: кожа от тип 4, кожа от тип 4, млад
🧒🏾	без определен пол, дете, дете: кожа от тип 5, кожа от тип 5, млад
🧒🏿	без определен пол, дете, дете: кожа от тип 6, кожа от тип 6, млад
👦🏻	кожа от тип 1, 2, момче, момче: кожа от тип 1, 2
👦🏼	кожа от тип 3, момче, момче: кожа от тип 3
👦🏽	кожа от тип 4, момче, момче: кожа от тип 4
👦🏾	кожа от тип 5, момче, момче: кожа от тип 5
👦🏿	кожа от тип 6, момче, момче: кожа от тип 6
👧🏻	дева, девойка, кожа от тип 1, 2, момиче, момиче: кожа от тип 1, 2
👧🏼	дева, девойка, кожа от тип 3, момиче, момиче: кожа от тип 3
👧🏽	дева, девойка, кожа от тип 4, момиче, момиче: кожа от тип 4
👧🏾	дева, девойка, кожа от тип 5, момиче, момиче: кожа от тип 5
👧🏿	дева, девойка, кожа от тип 6, момиче, момиче: кожа от тип 6
🧑🏻	без определен пол, възрастен, възрастен: кожа от тип 1, 2, кожа от тип 1, 2
🧑🏼	без определен пол, възрастен, възрастен: кожа от тип 3, кожа от тип 3
🧑🏽	без определен пол, възрастен, възрастен: кожа от тип 4, кожа от тип 4
🧑🏾	без определен пол, възрастен, възрастен: кожа от тип 5, кожа от тип 5
🧑🏿	без определен пол, възрастен, възрастен: кожа от тип 6, кожа от тип 6
👨🏻	кожа от тип 1, 2, мъж, мъж: кожа от тип 1, 2
👨🏼	кожа от тип 3, мъж, мъж: кожа от тип 3
👨🏽	кожа от тип 4, мъж, мъж: кожа от тип 4
👨🏾	кожа от тип 5, мъж, мъж: кожа от тип 5
👨🏿	кожа от тип 6, мъж, мъж: кожа от тип 6
👨‍🦰	мъж, мъж: рижа коса, рижа коса
👨🏻‍🦰	кожа от тип 1, 2, мъж, мъж: кожа от тип 1, 2 и рижа коса, рижа коса
👨🏼‍🦰	кожа от тип 3, мъж, мъж: кожа от тип 3 и рижа коса, рижа коса
👨🏽‍🦰	кожа от тип 4, мъж, мъж: кожа от тип 4 и рижа коса, рижа коса
👨🏾‍🦰	кожа от тип 5, мъж, мъж: кожа от тип 5 и рижа коса, рижа коса
👨🏿‍🦰	кожа от тип 6, мъж, мъж: кожа от тип 6 и рижа коса, рижа коса
👨‍🦱	къдрава коса, мъж, мъж: къдрава коса
👨🏻‍🦱	кожа от тип 1, 2, къдрава коса, мъж, мъж: кожа от тип 1, 2 и къдрава коса
👨🏼‍🦱	кожа от тип 3, къдрава коса, мъж, мъж: кожа от тип 3 и къдрава коса
👨🏽‍🦱	кожа от тип 4, къдрава коса, мъж, мъж: кожа от тип 4 и къдрава коса
👨🏾‍🦱	кожа от тип 5, къдрава коса, мъж, мъж: кожа от тип 5 и къдрава коса
👨🏿‍🦱	кожа от тип 6, къдрава коса, мъж, мъж: кожа от тип 6 и къдрава коса
👨‍🦲	мъж, мъж: плешив човек, плешив човек
👨🏻‍🦲	кожа от тип 1, 2, мъж, мъж: кожа от тип 1, 2 и плешив човек, плешив човек
👨🏼‍🦲	кожа от тип 3, мъж, мъж: кожа от тип 3 и плешив човек, плешив човек
👨🏽‍🦲	кожа от тип 4, мъж, мъж: кожа от тип 4 и плешив човек, плешив човек
👨🏾‍🦲	кожа от тип 5, мъж, мъж: кожа от тип 5 и плешив човек, плешив човек
👨🏿‍🦲	кожа от тип 6, мъж, мъж: кожа от тип 6 и плешив човек, плешив човек
👨‍🦳	мъж, мъж: побеляла коса, побеляла коса
👨🏻‍🦳	кожа от тип 1, 2, мъж, мъж: кожа от тип 1, 2 и побеляла коса, побеляла коса
👨🏼‍🦳	кожа от тип 3, мъж, мъж: кожа от тип 3 и побеляла коса, побеляла коса
👨🏽‍🦳	кожа от тип 4, мъж, мъж: кожа от тип 4 и побеляла коса, побеляла коса
👨🏾‍🦳	кожа от тип 5, мъж, мъж: кожа от тип 5 и побеляла коса, побеляла коса
👨🏿‍🦳	кожа от тип 6, мъж, мъж: кожа от тип 6 и побеляла коса, побеляла коса
👩🏻	жена, жена: кожа от тип 1, 2, кожа от тип 1, 2
👩🏼	жена, жена: кожа от тип 3, кожа от тип 3
👩🏽	жена, жена: кожа от тип 4, кожа от тип 4
👩🏾	жена, жена: кожа от тип 5, кожа от тип 5
👩🏿	жена, жена: кожа от тип 6, кожа от тип 6
👩‍🦰	жена, жена: рижа коса, рижа коса
👩🏻‍🦰	жена, жена: кожа от тип 1, 2 и рижа коса, кожа от тип 1, 2, рижа коса
👩🏼‍🦰	жена, жена: кожа от тип 3 и рижа коса, кожа от тип 3, рижа коса
👩🏽‍🦰	жена, жена: кожа от тип 4 и рижа коса, кожа от тип 4, рижа коса
👩🏾‍🦰	жена, жена: кожа от тип 5 и рижа коса, кожа от тип 5, рижа коса
👩🏿‍🦰	жена, жена: кожа от тип 6 и рижа коса, кожа от тип 6, рижа коса
👩‍🦱	жена, жена: къдрава коса, къдрава коса
👩🏻‍🦱	жена, жена: кожа от тип 1, 2 и къдрава коса, кожа от тип 1, 2, къдрава коса
👩🏼‍🦱	жена, жена: кожа от тип 3 и къдрава коса, кожа от тип 3, къдрава коса
👩🏽‍🦱	жена, жена: кожа от тип 4 и къдрава коса, кожа от тип 4, къдрава коса
👩🏾‍🦱	жена, жена: кожа от тип 5 и къдрава коса, кожа от тип 5, къдрава коса
👩🏿‍🦱	жена, жена: кожа от тип 6 и къдрава коса, кожа от тип 6, къдрава коса
👩‍🦲	жена, жена: плешив човек, плешив човек
👩🏻‍🦲	жена, жена: кожа от тип 1, 2 и плешив човек, кожа от тип 1, 2, плешив човек
👩🏼‍🦲	жена, жена: кожа от тип 3 и плешив човек, кожа от тип 3, плешив човек
👩🏽‍🦲	жена, жена: кожа от тип 4 и плешив човек, кожа от тип 4, плешив човек
👩🏾‍🦲	жена, жена: кожа от тип 5 и плешив човек, кожа от тип 5, плешив човек
👩🏿‍🦲	жена, жена: кожа от тип 6 и плешив човек, кожа от тип 6, плешив човек
👩‍🦳	жена, жена: побеляла коса, побеляла коса
👩🏻‍🦳	жена, жена: кожа от тип 1, 2 и побеляла коса, кожа от тип 1, 2, побеляла коса
👩🏼‍🦳	жена, жена: кожа от тип 3 и побеляла коса, кожа от тип 3, побеляла коса
👩🏽‍🦳	жена, жена: кожа от тип 4 и побеляла коса, кожа от тип 4, побеляла коса
👩🏾‍🦳	жена, жена: кожа от тип 5 и побеляла коса, кожа от тип 5, побеляла коса
👩🏿‍🦳	жена, жена: кожа от тип 6 и побеляла коса, кожа от тип 6, побеляла коса
🧓🏻	без определен пол, възрастен, кожа от тип 1, 2, по-възрастен човек, по-възрастен човек: кожа от тип 1, 2
🧓🏼	без определен пол, възрастен, кожа от тип 3, по-възрастен човек, по-възрастен човек: кожа от тип 3
🧓🏽	без определен пол, възрастен, кожа от тип 4, по-възрастен човек, по-възрастен човек: кожа от тип 4
🧓🏾	без определен пол, възрастен, кожа от тип 5, по-възрастен човек, по-възрастен човек: кожа от тип 5
🧓🏿	без определен пол, възрастен, кожа от тип 6, по-възрастен човек, по-възрастен човек: кожа от тип 6
👴🏻	възрастен, кожа от тип 1, 2, мъж, стар, старец, старец: кожа от тип 1, 2
👴🏼	възрастен, кожа от тип 3, мъж, стар, старец, старец: кожа от тип 3
👴🏽	възрастен, кожа от тип 4, мъж, стар, старец, старец: кожа от тип 4
👴🏾	възрастен, кожа от тип 5, мъж, стар, старец, старец: кожа от тип 5
👴🏿	възрастен, кожа от тип 6, мъж, стар, старец, старец: кожа от тип 6
👵🏻	възрастна, жена, кожа от тип 1, 2, стара, старица, старица: кожа от тип 1, 2
👵🏼	възрастна, жена, кожа от тип 3, стара, старица, старица: кожа от тип 3
👵🏽	възрастна, жена, кожа от тип 4, стара, старица, старица: кожа от тип 4
👵🏾	възрастна, жена, кожа от тип 5, стара, старица, старица: кожа от тип 5
👵🏿	възрастна, жена, кожа от тип 6, стара, старица, старица: кожа от тип 6
👨🏻‍⚕	доктор, здравен работник, здравен работник: кожа от тип 1, 2, здравна система, кожа от тип 1, 2, лекар, мъж
👨🏼‍⚕	доктор, здравен работник, здравен работник: кожа от тип 3, здравна система, кожа от тип 3, лекар, мъж
👨🏽‍⚕	доктор, здравен работник, здравен работник: кожа от тип 4, здравна система, кожа от тип 4, лекар, мъж
👨🏾‍⚕	доктор, здравен работник, здравен работник: кожа от тип 5, здравна система, кожа от тип 5, лекар, мъж
👨🏿‍⚕	доктор, здравен работник, здравен работник: кожа от тип 6, здравна система, кожа от тип 6, лекар, мъж
👩🏻‍⚕	жена, здравна работничка, здравна работничка: кожа от тип 1, 2, здравна система, кожа от тип 1, 2, лекарка, медицинска сестра
👩🏼‍⚕	жена, здравна работничка, здравна работничка: кожа от тип 3, здравна система, кожа от тип 3, лекарка, медицинска сестра
👩🏽‍⚕	жена, здравна работничка, здравна работничка: кожа от тип 4, здравна система, кожа от тип 4, лекарка, медицинска сестра
👩🏾‍⚕	жена, здравна работничка, здравна работничка: кожа от тип 5, здравна система, кожа от тип 5, лекарка, медицинска сестра
👩🏿‍⚕	жена, здравна работничка, здравна работничка: кожа от тип 6, здравна система, кожа от тип 6, лекарка, медицинска сестра
👨🏻‍🎓	висше образование, дипломиран младеж, кожа от тип 1, 2, студент, студент: кожа от тип 1, 2, учащ
👨🏼‍🎓	висше образование, дипломиран младеж, кожа от тип 3, студент, студент: кожа от тип 3, учащ
👨🏽‍🎓	висше образование, дипломиран младеж, кожа от тип 4, студент, студент: кожа от тип 4, учащ
👨🏾‍🎓	висше образование, дипломиран младеж, кожа от тип 5, студент, студент: кожа от тип 5, учащ
👨🏿‍🎓	висше образование, дипломиран младеж, кожа от тип 6, студент, студент: кожа от тип 6, учащ
👩🏻‍🎓	висше образование, жена, кожа от тип 1, 2, студентка, студентка: кожа от тип 1, 2, учаща
👩🏼‍🎓	висше образование, жена, кожа от тип 3, студентка, студентка: кожа от тип 3, учаща
👩🏽‍🎓	висше образование, жена, кожа от тип 4, студентка, студентка: кожа от тип 4, учаща
👩🏾‍🎓	висше образование, жена, кожа от тип 5, студентка, студентка: кожа от тип 5, учаща
👩🏿‍🎓	висше образование, жена, кожа от тип 6, студентка, студентка: кожа от тип 6, учаща
👨🏻‍🏫	инструктор, кожа от тип 1, 2, лектор, преподавател, учител, учител: кожа от тип 1, 2
👨🏼‍🏫	инструктор, кожа от тип 3, лектор, преподавател, учител, учител: кожа от тип 3
👨🏽‍🏫	инструктор, кожа от тип 4, лектор, преподавател, учител, учител: кожа от тип 4
👨🏾‍🏫	инструктор, кожа от тип 5, лектор, преподавател, учител, учител: кожа от тип 5
👨🏿‍🏫	инструктор, кожа от тип 6, лектор, преподавател, учител, учител: кожа от тип 6
👩🏻‍🏫	инструкторка, кожа от тип 1, 2, лектор, преподавателка, учителка, учителка: кожа от тип 1, 2
👩🏼‍🏫	инструкторка, кожа от тип 3, лектор, преподавателка, учителка, учителка: кожа от тип 3
👩🏽‍🏫	инструкторка, кожа от тип 4, лектор, преподавателка, учителка, учителка: кожа от тип 4
👩🏾‍🏫	инструкторка, кожа от тип 5, лектор, преподавателка, учителка, учителка: кожа от тип 5
👩🏿‍🏫	инструкторка, кожа от тип 6, лектор, преподавателка, учителка, учителка: кожа от тип 6
👨🏻‍⚖	везни, кожа от тип 1, 2, правосъдие, служител на правосъдието, съдия, съдия: кожа от тип 1, 2
👨🏼‍⚖	везни, кожа от тип 3, правосъдие, служител на правосъдието, съдия, съдия: кожа от тип 3
👨🏽‍⚖	везни, кожа от тип 4, правосъдие, служител на правосъдието, съдия, съдия: кожа от тип 4
👨🏾‍⚖	везни, кожа от тип 5, правосъдие, служител на правосъдието, съдия, съдия: кожа от тип 5
👨🏿‍⚖	везни, кожа от тип 6, правосъдие, служител на правосъдието, съдия, съдия: кожа от тип 6
👩🏻‍⚖	везни, кожа от тип 1, 2, правосъдие, служителка на правосъдието, съдийка, съдийка: кожа от тип 1, 2
👩🏼‍⚖	везни, кожа от тип 3, правосъдие, служителка на правосъдието, съдийка, съдийка: кожа от тип 3
👩🏽‍⚖	везни, кожа от тип 4, правосъдие, служителка на правосъдието, съдийка, съдийка: кожа от тип 4
👩🏾‍⚖	везни, кожа от тип 5, правосъдие, служителка на правосъдието, съдийка, съдийка: кожа от тип 5
👩🏿‍⚖	везни, кожа от тип 6, правосъдие, служителка на правосъдието, съдийка, съдийка: кожа от тип 6
👨🏻‍🌾	градинар, кожа от тип 1, 2, производител, селскостопански работник, фермер, фермер: кожа от тип 1, 2
👨🏼‍🌾	градинар, кожа от тип 3, производител, селскостопански работник, фермер, фермер: кожа от тип 3
👨🏽‍🌾	градинар, кожа от тип 4, производител, селскостопански работник, фермер, фермер: кожа от тип 4
