🏻	આછો ત્વચાનો રંગ, ચામડીનો આછો રંગ, ત્વચાનો પ્રકાર-1-2, ત્વચાનો રંગ
🏼	ચામડીનો મધ્યમ આછો રંગ, ત્વચાનો પ્રકાર-3, ત્વચાનો રંગ, મધ્યમ આછો ત્વચાનો રંગ
🏽	ત્વચાનો પ્રકાર-4, ત્વચાનો રંગ, મધ્યમ ચામડીનો રંગ, મધ્યમ ત્વચાનો રંગ
🏾	ત્વચાનો પ્રકાર-5, ત્વચાનો રંગ, મધ્યમ ઘેરો ચામડીનો રંગ, મધ્યમ ઘેરો ત્વચાનો રંગ
🏿	ઘેરો ચામડીનો રંગ, ઘેરો ત્વચાનો રંગ, ત્વચાનો પ્રકાર-6, ત્વચાનો રંગ
😀	ચહેરો, સ્મિત, સ્મિત કરતો ચહેરો
😁	આંખ, ચહેરો, સ્મિત, હસતી આંખો સાથેનો સ્મિત કરતો ચહેરો, હસવું
😂	અશ્રુ, આનંદ, ચહેરો, હર્ષના આંસુ સાથેનો ચહેરો, હાસ્ય
🤣	ચહેરો, જમીન, જમીન પર લોટીને હસવું, લોટવું, હસવું
😃	ખુલ્લા મોં સાથેનો સ્મિત કરતો ચહેરો, ખુલ્લું, ચહેરો, મોટી આંખો સાથે સ્મિત કરતો ચહેરો, સ્મિત
😄	આંખ, ખુલ્લા મોં અને હસતી આંખો સાથેનો સ્મિત કરતો ચહેરો, ખુલ્લું, ચહેરો, મોં, સ્મિત, હસતી આંખો સાથે સ્મિત કરતો ચહેરો
😅	ખુલ્લા મોં અને ઠંડા પરસેવા સાથેનો સ્મિત કરતો ચહેરો, ખુલ્લો, ચહેરો, ઠંડો, પરસેવો, પરસેવો સાથે સ્મિત કરતો ચહેરો, સ્મિત
😆	ખુલ્લા મોં અને ચુસ્તપણે બંધ આંખો સાથેનો સ્મિત કરતો ચહેરો, ખુલ્લા મોંએ હાસ્ય, ખુલ્લું મોઢું, ચહેરો, બંધ આંખો, બંધ આંખો સાથેનું હાસ્ય
😉	આંખ મારતો ચહેરો, આંખ મારવી, ચહેરો
😊	ચહેરો, હસતી આંખો, હસતો ચહેરો, હસતો ચહેરો અને આંખો, હસ્તી આંખો સાથેનો સ્મિત કરતો ચહેરો, હાસ્ય
😋	ચહેરો, યમ યમ મસ્ત, સ્વાદિષ્ટ, સ્વાદિષ્ટ ભોજન, સ્વાદિષ્ટના ભાવવાળો ચહેરો, હસતો ચહેરો
😎	કૂલ, ચહેરો, તેજસ્વી, સનગ્લાસેસ, સનગ્લાસેસ સાથે હસતો ચહેરો, સૂર્ય
😍	આંખો, ચહેરો, પ્રેમ, સ્મિત, હૃદયાકારની આંખો સાથેનો સ્મિત કરતો ચહેરો, હ્રદયાકારની આંખો સાથેનો સ્મિત કરતો ચહેરો
😘	ચહેરો, ચુંબન, ચુંબન ઉછાળતો ચહેરો
🥰	3 હ્રદય સાથે હસતો ચહેરો
😗	ચહેરો, ચુંબન, ચુંબન કરતો ચહેરો
😙	આંખો, ચહેરો, ચુંબન, હસતી આંખો સાથેનો ચુંબન કરતો ચહેરો, હાસ્ય
😚	આંખ, ચહેરો, ચુંબન, બંધ, બંધ આંખો સાથે ચુંબન કરતો ચહેરો
🙂	ચહેરો, મુખ, સહેજ સ્મિત કરતો ચહેરો, સ્મિત, હાસ્ય
🤗	આલિંગન, આલિંગન કરતો ચહેરો, આલિંગન કરવું, ચહેરો
🤩	સ્ટાર સ્ટ્રક
🤔	ચહેરો, વિચાર કરતો, વિચારશીલ ચહેરો
🤨	ઊંચી ભ્રમર સાથેનો ચહેરો
😑	અકથનીય ચહેરો, કોઈ ટિપ્પણી નહીં, ચહેરો, ભાવશૂન્ય ચહેરો, મુખ, હાવભાવવિહીન
😶	ચહેરો, મુખ, મોંઢા વગરનો, મોંઢા વગરનો ચહેરો
🙄	આંખો, આંખો ફેરવતો ચહેરો, ચહેરો, ફેરવવું
😏	કૃત્રિમ, કૃત્રિમ હસતો ચહેરો, ચહેરો
😣	ચહેરો, જબરદસ્ત ચહેરો, સખત ચહેરો, સ્થાયી
😥	આવો, ઉદાસી પરંતુ રાહત ચહેરો, ચહેરો, નાખુશ પરંતુ રાહતવાળો ચહેરો, નિરાશ, રાહત
😮	ખુલ્લાં મોંઢાવાળો ચહેરો, ખુલ્લું મોઢું, ચહેરો, મોંઢું, સહાનુભૂતિ
🤐	ચહેરો, ઝિપથી બંધ કરેલો મોઢું, મુખ, મોઢા પર ઝિપ સાથેનો ચહેરો
😯	અચંભિત, અવાક, ચહેરો, શાંત ચહેરો
😪	ઊંઘતું, ઊંઘતો ચહેરો, ચહેરો
😫	ચહેરો, થાકેલો, થાકેલો ચહેરો
😴	ચહેરો, નિંદ્રાધીન ચહેરો, નિદ્રામાં, નિદ્રામાંનો ચહેરો
😌	ચહેરો, રાહતના ભાવવાળો ચહેરો, રાહતવાળો ચહેરો
😛	ચહેરો, જીભ, જીભ બહાર કાઢેલો ચહેરો, બહાર કાઢેલી જીભ સાથેનો ચહેરો
😜	આંખ, આંખ મારવાની સાથે જીભ બહાર કાઢતો ચહેરો, આંખ મારવી, ચહેરો, જીભ, જીભ સાથે આંખ મારતો ચહેરો, મજાક
😝	આંખ, ચહેરો, ચુસ્તપણે બંધ આંખો સાથે જીભ બહાર કાઢતો ચહેરો, જીભ, જીભ સાથે ચુસ્તપણે બંધ આંખોવાળો ચહેરો, ભયાનક, સ્વાદ
🤤	ચહેરો, લાળ, લાળ ટપકવાવાળો ચહેરો
😒	ચહેરો, દુઃખી, નાખુશ, નાખુશ ચહેરો
😓	ચહેરો, ઠંડા પરસેવા સાથેનો ચહેરો, ઠંડો, તકલીફોની સાથે નિરાશાજનક ચહેરો, પરસેવો
😔	ચહેરો, નાસીપાસ, વિચારગ્રસ્ત, વિચારગ્રસ્ત ચહેરો
😕	ચહેરો, મૂંઝાયેલ, મૂંઝાયેલ ચહેરો
🙃	ઊંધો, ઊંધો ચહેરો, ચહેરો, મુખ
🤑	ચહેરો, ધન, ધનવાળો ચહેરો, મુખ
😲	આઘાત, આશ્ચર્ય, આશ્ચર્યચકિત ચહેરો, ચહેરો, તદ્દન
🙁	ગમગીન, ચહેરો, થોડો ગમગીન ચહેરો, મુખ
😖	આકુળવ્યાકુળ, આકુળવ્યાકુળ ચહેરો, ચહેરો
😞	ચહેરો, નિરાશ, નિરાશ ચહેરો
😟	ચહેરો, ચિંતાગ્રસ્ત, ચિંતાગ્રસ્ત ચહેરો
😤	ચહેરો, મેં તે જીત્યાનો ચહેરો, વિજય, વિજયી દેખાવ, હું જીત્યો
😢	આંસુઓ, ચહેરો, દુઃખી, રડતો ચહેરો, રડવું
😭	અશ્રુ, ચહેરો, મોટેથી રડતો ચહેરો, મોટેથી રડવું, રડવું, રુદન
😦	ખુલ્લાં મોંઢા સાથે ભવાં ચડાવતો ચહેરો, ખુલ્લું, ચહેરો, ભવાં, મુખ
😧	ચહેરો, દુઃખી, દુઃખી ચહેરો
😨	ચહેરો, ભયગ્રસ્ત, ભયભીત, ભયભીત ચહેરો
😩	કંટાળાજનક, કંટાળાજનક ચહેરો, ચહેરો, થાકેલો
🤯	ફાટતું માથું
😬	ચહેરો, ચેનચાળા, ચેનચાળા કરતો ચહેરો
😰	ખુલ્લા મોં અને ઠંડા પરસેવા સાથેનો ચહેરો, ખુલ્લું મોઢું, ચહેરો, ઠંડા પરસેવા સાથેનો વાદળી ચહેરો, ઠંડો પરસેવો, ધસેલો ચહેરો
😱	ચહેરો, ભય, ભયગ્રસ્ત, ભયભીત, ભયમાં ચીસો પાડતો ચહેરો, ભયમાં ચીસો પાડવી
🥵	લાલચોળ ચહેરો
🥶	ઠંડો ચહેરો
😳	ચહેરો, ફ્લશ્ડ, સ્તબ્ધ, સ્તબ્ધ ચહેરો, સ્તબ્ધતામાં
🤪	ઉન્મત્ત ચહેરો
😵	ચક્કર, ચક્કર આવતો ચહેરો, ચહેરો
😡	ગુસ્સેલ, ચહેરો, પાગલ, રિસાવું, લાલ ચહેરો, લાલ રિસાયેલો ચહેરો
😠	ગુસ્સેલ, ગુસ્સેલ ચહેરો, ચહેરો, પાગલ
🤬	મુખ પર ચિહ્નો સાથેનો ચહેરો
