😀	Gesiicht, Grinsen, Grinsgesiicht
😃	Gesiicht, Laachen, Mond, laachend Gesiicht mat oppenem Mond, oppen
😄	A, Gesiicht, Laachen, Mond, laachend Gesiicht mat oppenem Mond a laachenden Aen, oppen
😁	A, Gesiicht, Grinsen, Grinsgesiicht mat laachenden Aen, Laachen
😆	Gesiicht, Laachen, Mond, laachend Gesiicht mat oppenem Mond an zouen Aen, oppen, zefridden
😅	Gesiicht, Laachen, Schweess, kal, laachend Gesiicht mat oppenem Mond a kalem Schweess, oppen
🤣	Buedem, Gesiicht, laachen, rullen, vu Laache rullend
😂	Freed, Gesiicht, Gesiicht mat Freedtréinen, Laachen, Tréin
🙂	Gesiicht, Gesiicht mat engem liichte Laachen, Laachen
🙃	Gesiicht, op der Kopp
😉	A zoudrécken, A zoudréckend, Gesiicht
😊	A, Gesiicht, Laachen, laachend Gesiicht mat laachenden Aen, rout ginn
😇	Engel, Fantasie, Gesiicht, Hellegeschäin, Laachen, Mäerchen, laachend Gesiicht mat Hellegeschäin, onschëlleg
😍	A, Gesiicht, Laachen, Léift, laachend Gesiicht mat Häerzeraen
🤩	Aen, Gesiicht, Stär, Stärenaen, grinsend
😘	Gesiicht, Kuss, e Kuss schéckend
😗	Gesiicht, Kuss, kussend
☺️	Gesiicht, Laachen, laachend Gesiicht, relax, stiliséiert
😚	A, Gesiicht, Kuss, kussend mat zouen Aen, zouen
😙	A, Gesiicht, Kuss, Laachen, kussend mat laachenden Aen
😋	Gesiicht, Laachen, genéissen, gutt, gutt Iesse genéissend, mmh
😛	Gesiicht, Zong, d’Zong erausstreckend
😜	A, A zoudrécken, Gesiicht, Witz, Zong, d’Zong erausstreckend mat zougedrécktem A
🤪	A, grouss, kleng, verréckt Gesiicht
😝	A, Gesiicht, Goût, Zong, d’Zong erausstreckend mat zouen Aen, schrecklech
🤑	Gesiicht, Mond, Suen, geldgiereg
🤗	Gesiicht, Ëmaarmung, ëmaarmen
🤭	Gesiicht mat Hand virum Mond, Oups, Uups
🤫	Gesiicht mam Fanger virum Mond, pscht, roueg
🤔	Gesiicht, nodenklech
🤐	Gesiicht, Mond, Tirett, verschlossene Mond
🤨	Gesiicht mat gehuewenem Aperhoer, mësstrauesch, skeptesch
😐️	Gesiicht, neutraalt Gesiicht, neutral, ouni Ausdrock
😑	Gesiicht, Gesiicht ouni Ausdrock, inexpressiv, onexpressiv, ouni Ausdrock
😶	Gesiicht, Gesiicht ouni Mond, Mond, roueg
😏	Gesiicht, schmunzelen, schmunzelend
😒	Gesiicht, onglécklech, onzefridden
🙄	Ae verdréinend, Aen, Gesiicht, verdréinen
😬	Gesiicht, Grimass, Grimass schneidend Gesiicht
🤥	Gesiicht, Ligenergesiicht, Pinocchio, léien
😌	Gesiicht, erliichtert
😔	Gesiicht, bedréckt, besuergt
😪	Gesiicht, Schlof, schléifreg
🤤	Gesiicht, sabbelend, sabbelend Gesiicht
😴	Gesiicht, Schlof, ageschlof, zzz
😷	Dokter, Gesiicht, Gesiicht mat Doktersmask, Mask, Medezin, kal, krank
🤒	Gesiicht, Gesiicht mat Thermometer, Thermometer, krank
🤕	Gesiicht, Gesiicht mat Kappverband, Verband, Verletzung, verletzt
🤢	Gesiicht, iwwel, iwwelt Gesiicht, sech iwwerginn
🤮	Gesiicht wat sech iwwergëtt, iwwerginn, krank
🤧	Gesiicht, Gesondheet, néitsen, néitsend Gesiicht
😵	Gesiicht, schwindeleg, schwindelegt Gesiicht
🤯	explodéierende Kapp, schockéiert
🤠	Cowboy, Cowgirl, Gesiicht, Gesiicht mat Cowboyshutt, Hutt
😎	A, Brëll, Gesiicht, Laachen, Sonn, Sonnebrëll, cool, hell, laachend Gesiicht mat Sonnebrëll
🤓	Geek, Gesiicht, Nerd
🧐	Gesiicht mat Monokel, langweileg
😕	Gesiicht, konfus
