🏻	kleur, ligte velkleur, vel, velkleur, veltipe 1–2
🏼	kleur, medium-ligte velkleur, vel, velkleur, veltipe 3
🏽	kleur, medium velkleur, vel, velkleur, veltipe 4
🏾	kleur, medium-donker velkleur, vel, velkleur, veltipe 5
🏿	donker velkleur, kleur, vel, velkleur, veltipe 6
😀	gesig, grinnik, grinnikende gesig
😁	gesig, glimlag, grinnik, grinnikende gesig met glimlaggende oë, oog
😂	gesig, gesig met trane van vreugde, lag, traan, vreugde
🤣	gesig, gesig wat hard lag, histeries, lag, rol
😃	gesig, glimlag, glimlaggende gesig met oop mond, mond, oop
😄	gesig, glimlag, glimlaggende gesig met oop mond en glimlaggende oë, mond, oog, oop
😅	gesig, glimlag, glimlaggende gesig met oop mond en koue sweet, koud, oop, sweet
😆	gesig, glimlag, glimlaggende gesig met oop mond en oë styf toe, lag, mond, oop, tevrede
😉	gesig, gesig wat knipoog, knipoog
😊	bloos, gesig, glimlag, glimlaggende gesig met glimlaggende oë, oog
😋	geniet, gesig, gesig wat heerlike kos geniet, glimlag, heerlik, lekker
😎	bril, gesig, glimlag, glimlaggende gesig met sonbril, helder, koel, oog, son, sonbril, weer
😍	gesig, glimlag, glimlaggende gesig met hartvormige oë, hart, liefde, oog
😘	gesig, gesig wat ‘n soentjie blaas, hart, soen
🥰	bewonder, geliefd, glimlaggende gesig met 3 hartjies, verlief
😗	gesig, gesig wat soen, soen
😙	gesig, gesig wat soen met glimlaggende oë, glimlag, oog, soen
😚	gesig, gesig wat soen met toe oë, oog, soen, toe
🙂	gesig, gesig wat effens glimlag, glimlag
🤗	drukkie, gesig, gesig wat drukkie gee
🤩	gesig, glimlag, oë, ster, sterre in die oë
🤔	dink, gesig, gesig wat dink
🤨	gesig met geligte wenkbroue, skepties, wantrou
😑	gesig, uitdrukkingloos, uitdrukkinglose gesig
😶	gesig, gesig sonder mond, mond, stil
🙄	gesig, gesig met oë wat rol, oë, rol
😏	gesig, gesig wat grynslag, grynslag
😣	deurdruk, gesig, gesig wat vasbyt, vasbyt
😥	gesig, sjoe, teleurgesteld, teleurgestelde maar verligte gesig, verlig
😮	gesig, gesig met oop mond, mond, oop, simpatie
🤐	gesig, gesig met ritssluitermond, mond, ritssluiter
😯	gedemp, gedempte gesig, gesig, stil, verbaas
😪	gesig, slaap, vaak gesig
😫	gesig, moeg, moeë gesig
😴	gesig, gesig wat slaap, slaap, zzz
😌	gesig, verlig, verligte gesig
😛	gesig, gesig met tong wat uitsteek, tong
😜	gesig, gesig met tong wat uitsteek en wat knipoog, grap, knipoog, oog, tong
😝	aaklig, gesig, gesig met tong wat uitsteek en oë styf toe, oog, smaak, tong
🤤	gesig, gesig wat kwyl, honger, kwyl
😒	gesig, ongelukkig, ontevrede, ontevrede gesig
😓	gesig, gesig met koue sweet, koud, sweet
😔	gesig, neerslagtig, peinsend, peinsende gesig
😕	gesig, verward, verwarde gesig
🙃	gesig, onderstebo, onderstebo gesig
🤑	geld, gesig, gesig met geldmond, mond
😲	gesig, geskok, verbaas, verstom, verstomde gesig
🙁	frons, gesig, gesig wat effens frons
😖	gesig, oorbluf, oorblufte gesig
😞	gesig, teleurgesteld, teleurgestelde gesig
😟	bekommerd, bekommerde gesig, gesig
😤	gesig, gesig met stoom uit neus, triomf, wen
😢	gesig, gesig wat huil, hartseer, huil, traan
😭	gesig, gesig wat hard huil, hartseer, huil, snik, traan
😦	frons, fronsende gesig met oop mond, gesig, mond, oop
😧	beangs, beangste gesig, gesig
😨	bang, bang gesig, bevrees, gesig, vrees
😩	gesig, moeg, uitgeput, uitgeputte gesig
🤯	geskok, kop wat ontplof
😬	gesig, grynsend, grynsende gesig
😰	blou, gesig, gesig met oop mond en koue sweet, koud, mond, oop, sweet
😱	bang, beangs, bevrees, gesig, gesig wat beangs skree, skree
🥵	hitte-uitputting, koorsig, rooi gesig, sweet, warm, warm gesig
🥶	bibber, blou gesig, koud, koue gesig, vries
😳	blosend, blosende gesig, gesig, verbysterd
🤪	groot, klein, mal gesig, oog
😵	dronk, duiselig, duiselig gesig, gesig
😡	gesig, kwaad, pruilend, pruilende gesig, rooi, woedend
😠	gesig, kwaad, kwaai gesig, woedend
🤬	gesig met simbole op mond, vloek
😷	dokter, gesig, gesig met mediese masker, koud, masker, medisyne, siek
🤒	gesig, gesig met koorspen, koorspen, siek
🤕	besering, gesig, gesig met kopverband, seer, verband
🤢	gesig, kots, naar, naar gesig, opgooi
🤮	gesig wat opgooi, opgooi, siek
🤧	atsjoe, gesig, gesig wat nies, nies
😇	engel, gesig, glimlag, glimlaggende gesig met stralekrans, onskuldig, stralekrans
🤠	cowboy, gesig, gesig met cowboy-hoed, hoed
🥳	blaas, hoedjie, partytjie, partytjie gesig, vier
🥴	dronk, dronk gesig, duiselig, gesuip, lighoofdig, onewe oë
🥺	asseblief, ontferming, smeek, soebat, soebat gesig
🤥	gesig, gesig wat jok, jok, leuen, lieg, onwaar
🤫	Sjuut, stilbly, stilmaak gesig
🤭	gesig met hand oor die mond, oeps
🧐	bedompig, gesig met oogglas
🤓	bleeksiel, bleeksielgesig, gesig
😈	fantasie, gesig, glimlag, glimlaggende gesig met horings, horings
👿	boos, demoon, duiwel, gesig
🤡	gesig, hanswors, hansworsgesig, nar
👹	fantasie, gesig, japannees, kreatuur, mensvreter, monster, sprokie
👺	fantasie, gesig, japannees, kreatuur, monster, sprokie, tokkelos
💀	dood, gesig, kopbeen, liggaam, monster, sprokie
👻	fantasie, gesig, kreatuur, monster, spook, sprokie
👾	buiteruimtelik, buiteruimtelike monster, fantasie, gesig, kreatuur, monster, ruimte, sprokie, vvv
🤖	gesig, monster, robot, robotgesig
💩	gesig, mis, mishoop, monster, poef, strokie
😺	gesig, glimlag, glimlaggende katgesig met oopmond, kat, mond, oop
😸	gesig, glimlag, grinnik, grinnikende katgesig met glimlaggende oë, kat, oog
😹	gesig, kat, katgesig met trane van vreugde, traan, vreugde
😻	gesig, glimlag, glimlaggende katgesig met hartvormige oë, hart, kat, liefde, oog
😼	gesig, glimlag, ironies, kat, katgesig met wrang glimlag, wrang
😽	gesig, kat, katgesig met geslote oë wat soen, oog, soen
🙀	gesig, kat, verbaas, vermoeid, vermoeide katgesig
😿	gesig, hartseer, huil, kat, katgesig wat huil, traan
😾	gesig, kat, pruil, pruilende katgesig
🙈	aap, boos, gebaar, geen, kwaad, sien, sien geen kwaad nie, verbode
🙉	aap, boos, gebaar, geen, hoor, hoor geen kwaad nie, kwaad, verbode
🙊	aap, boos, gebaar, geen, kwaad, praat, praat geen kwaad nie, verbode
👶	baba
🧒	geslag-neutraal, jongmens, kind
👦	kind, seun
👧	kind, meisie
🧑	geslag-neutraal, volwassene
👱	blond, persoon met blonde hare
👨	man
👱‍♂	blonde man
🧔	baard, bebaarde persoon
👩	vrou
👱‍♀	blonde vrou, blondine
🧓	geslag-neutraal, oud, ouer volwassene
👴	man, ou man, oud
👵	ou vrou, oud, vrou
👨‍⚕	dokter, manlike dokter, medies
👩‍⚕	dokter, medies, vroulike dokter
👨‍🎓	graad, gradeplegtigheid, manlike student, toga
👩‍🎓	graad, gradeplegtigheid, toga, vroulike student
👨‍🏫	meneer, onderwyser, opvoeder, skool
👩‍🏫	juffrou, onderwyser, onderwyseres, opvoeder, skool
👨‍⚖	hof, landdros, magistraat, manlike regter, regter
👩‍⚖	hof, landdros, magistraat, regter, vroulike regter
👨‍🌾	boer, koringaar, manlike boer, plaas
👩‍🌾	boer, koringaar, plaas, vroulike boer
👨‍🍳	eier, kok, manlike kok, pan
👩‍🍳	eier, kok, pan, vroulike kok
👨‍🔧	manlike motorwerktuigkundige, mechanic, moersleutel, motorwerktuigkundige
👩‍🔧	mechanic, moersleutel, motorwerktuigkundige, vroulike motorwerktuigkundige
👨‍🏭	fabriekswerker, manlike fabriekswerker
👩‍🏭	fabriekswerker, vroulike fabriekswerker
👨‍💼	kantoorwerker, manlike kantoorwerker
👩‍💼	kantoorwerker, vroulike kantoorwerker
👨‍🔬	manlike wetenskaplike, mikroskoop, proefbuis, wetenskaplike
👩‍🔬	mikroskoop, proefbuis, vroulike wetenskaplike, wetenskaplike
