🏻	hele nahatoon, nahatoon, nahk, tüüp 1–2
🏼	keskmiselt hele nahatoon, nahatoon, nahk, tüüp 3
🏽	keskmine nahatoon, nahatoon, nahk, tüüp 4
🏾	keskmiselt tume nahatoon, nahatoon, nahk, tüüp 5
🏿	nahatoon, nahk, tume nahatoon, tüüp 6
😀	irve, laia naeratusega nägu, naeratus, nägu
😁	irve, naeratus, naerul silmade ja laia naeratusega nägu, nägu, silm
😂	naer, nägu, pisar, rõõm, rõõmupisaratega nägu
🤣	kõver, naer, naerust kõveras
😃	avatud, avatud suuga naerunägu, lahti, naeratus, nägu, suu
😄	avatud, avatud suu ja naeratavate silmadega naerunägu, lahti, naeratus, nägu, silm, suu
😅	avatud, higi, külm, külma higiga kaetud ja avatud suuga naerunägu, naeratus, nägu
😆	avatud, avatud suu ja suletud silmadega naerunägu, lahti, naer, naeratus, nägu, rahul, suu
😉	nägu, silma pilgutav nägu, silmapilgutus
😊	naeratavate silmadega naerunägu, naeratus, nägu, punastamine, silm
😋	maitsev, maitsvat toitu nautija nägu, naeratus, nautimine, nägu
😎	ere, ilm, lahe, naeratus, nägu, prillid, päike, päikeseprillid, päikeseprillidega naerunägu, silm
😍	armastus, naeratus, nägu, silm, süda, südamekujuliste silmadega naerunägu
😘	nägu, suudlus, suudlust saatev nägu, süda
🥰	armunud, imetlev, naeratav kolme südamega nägu, sisse võetud
😗	nägu, suudlev nägu, suudlus
😙	naeratavate silmadega suudlev nägu, naeratus, nägu, silm, suudlus
😚	nägu, silm, suletud, suletud silmadega suudlev nägu, suudlus
🙂	naeratus, naeratusega nägu, nägu
🤗	kallistamine, kallistav nägu, kallistus, nägu
🤩	nägu, silmad, staar, staariga silmitsi, suu kõrvuni
🤔	mõtlemine, mõtlev nägu, nägu
🤨	kergitatud kulmudega nägu, skeptiline, umbusaldav
😑	ilmetu, ilmetu nägu, mittemidagiütlev, nägu, väheütlev
😶	ilma suuta nägu, nägu, suu, vaikne, vaikus
🙄	nägu, pööritamine, pööritavate silmadega nägu, silmad
😏	irvitus, muigav nägu, nägu
😣	kannatamine, nägu, sihikindel nägu
😥	kergendus, leevendus, nägu, pettunud, pettunud, kuid kergendust tundev nägu
😮	avatud, avatud suuga nägu, kaastunne, lahti, nägu, suu
🤐	nägu, suu, tõmblukk, tõmblukusuuga nägu
😯	hämmingus, nägu, vaigistatud, vaigistatud nägu, üllatunud
😪	magamine, nägu, unine nägu
😫	nägu, väsinud, väsinud nägu
😴	magav nägu, nägu, uni, zzz
😌	kergendus, kergendust tundev nägu, nägu
😛	keel, nägu, suust väljas keelega nägu
😜	keel, nali, nägu, silm, silmapilgutus, suust väljas keelega ja silma pilgutav nägu
😝	keel, maitse, nägu, silm, suust väljas keelega ja suletud silmadega nägu, õudne
🤤	ila, ilastav nägu, nägu
😒	nägu, põlglik, põlglik nägu, õnnetu
😓	higi, külm, külma higiga kaetud nägu, nägu
😔	mõtlik, mõtlik nägu, nukker, nägu
😕	nägu, segaduses, segaduses nägu
🙃	nägu, tagurpidi, tagurpidi nägu
🤑	nägu, nägu, millel on raha suus, raha, suu
😲	ehmunud, hämmastunud nägu, hämmastus, löödud, nägu
🙁	kulmukortsutus, nägu, veidi kulmu kortsutav nägu
😖	kimbatus, kimbatuses nägu, nägu
