🏻	tipe 1–2, warna kulit, warna kulit cerah
🏼	tipe 3, warna kulit, warna kulit cerah-sedang
🏽	tipe 4, warna kulit, warna kulit sedang
🏾	tipe 5, wana kulit, warna kulit gelap-sedang
🏿	tipe 6, warna kulit, warna kulit gelap
😀	bahagia, gembira, muka, senang, wajah, wajah gembira
😁	cengiran, mata, muka, senyum, wajah gembira dengan mata bahagia, wajah tersenyum lebar
😂	air mata, bahagia, tertawa, wajah, wajah dengan air mata bahagia, wajah gembira berurai air mata
🤣	kocak, lucu, ngakak, tertawa, tertawa terbahak-bahak
😃	muka, mulut, senyum, terbuka, wajah, wajah tersenyum lebar
😄	mata, muka, mulut, senyum, terbuka, wajah, wajah tersenyum lebar dan mata tertutup
😅	dingin, keringat, muka, senyum, terbuka, wajah, wajah tersenyum lebar dan berkeringat
😆	mulut, puas, senyum, tertawa, wajah, wajah tersenyum lebar dan memejamkan mata, wajah tersenyum lebar memejamkan mata
😉	kedip, muka, wajah, wajah berkedip
😊	mata, muka, senyum, tersipu, wajah, wajah tersenyum dengan mata bahagia
😋	lezat, menikmati, nyam, senyum, wajah, wajah menikmati, wajah menikmati makanan
😎	kacamata hitam, keren, matahari, pintar, wajah, wajah berkacamata hitam, wajah tersenyum memakai kacamata
😍	cinta, mata, senyum, wajah, wajah tersenyum lebar bermata hati
😘	cium, hati, muka, wajah, wajah memberikan ciuman jauh
🥰	jatuh cinta, memuja, naksir, wajah tersenyum dengan 3 hati
😗	cium, muka, wajah, wajah memberikan ciuman
😙	cium, mata, muka, senyum, wajah, wajah memberikan ciuman dengan mata bahagia
😚	cium, mata, muka, tertutup, tutup, wajah, wajah memberikan ciuman dengan mata tertutup
☺	muka, rileks, santai, senyum, tersipu, wajah, wajah tersenyum
🙂	muka, senyum, wajah, wajah agak tersenyum
🤗	muka, peluk, wajah, wajah memeluk
🤩	bintang, mata, menyeringai, wajah, wajah dengan mata berbentuk bintang
🤔	berpikir, mikir, muka, pikir, wajah, wajah berpikir
🤨	ragu, skeptis, tidak percaya, wajah dengan alis terangkat
😐	datar, muka, netral, wajah, wajah netral
😑	datar, ekspresi, lempeng, muka, tanpa, wajah, wajah tanpa ekspresi
😶	diam, muka, mulut, tenang, wajah, wajah tanpa mulut
🙄	atas, berputar, mata, muka, wajah, wajah dengan mata ke atas
😏	seringai, wajah, wajah menyeringai, wajah tersenyum sombong
😣	muka, ngotot, wajah, wajah tidak setuju
😥	fiuh, kecewa, lega, muka, wajah, wajah kecewa namun lega
😮	muka, mulut, simpati, terbuka, wajah, wajah dengan mulut terbuka
🤐	muka, mulut, rapat, tertutup, wajah, wajah dengan mulut tertutup rapat
😯	kaget, muka, terdiam, terkejut, wajah, wajah hening
😪	muka, ngantuk, wajah, wajah mengantuk
😫	capek, lelah, muka, wajah, wajah kelelahan
😴	muka, tidur, wajah, wajah tidur, zzz
😌	lega, muka, wajah, wajah lega
😛	lidah, muka, wajah, wajah menjulurkan lidah
😜	kedip, lelucon, lidah, mata, wajah, wajah mengedip dengan menjulurkan lidah, wajah menjulurkan lidah dan mengedipkan mata
😝	lidah, mata, menjijikan, rasa, wajah, wajah menjulurkan lidah dan memejamkan mata
🤤	ngiler, pengen, wajah
😒	bosan, muka, wajah, wajah bosan
😓	dingin, keringat, muka, wajah, wajah berkeringat
😔	muka, murung, sedih, termenung, wajah, wajah merenung
😕	bingung, muka, wajah, wajah bingung
🙃	muka, terbalik, wajah, wajah terbalik
🤑	matre, muka, mulut, uang, wajah, wajah materialistis
😲	kaget, muka, takjub, terkejut, terpukau, wajah, wajah terpukau
☹	cemberut, muka, wajah, wajah cemberut
🙁	cemberut, muka, wajah, wajah agak cemberut
😖	gelisah, muka, pusing, wajah, wajah stres
😞	kecewa, wajah, wajah kecewa
😟	cemas, khawatir, kuatir, muka, wajah, wajah cemas
😤	menang, muka, niat, wajah, wajah bersungguh-sungguh
😢	air, mata, muka, nangis, sedih, wajah, wajah menangis
😭	bombay, muka, nangis, sedih, tersedu-sedu, wajah, wajah menangis keras
😦	cemberut, muka, mulut, nganga, terbuka, wajah, wajah mengerutkan kening dengan mulut terbuka
😧	menderita, merana, muka, sengsara, wajah, wajah menderita
😨	muka, ngeri, seram, takut, wajah, wajah ketakutan
😩	capek, lelah, muka, wajah, wajah terlalu lelah
🤯	kaget, kepala meledak, takjub, terkejut
😬	menyeringai, muka, seringai, wajah, wajah menyeringai
😰	biru, buru-buru, dingin, keringat, wajah, wajah ketakutan berkeringat, wajah ketakutan dengan keringat
😱	berteriak, ketakutan, mengunyah, takut, wajah, wajah sangat ketakutan
🥵	berkeringat, demam, kepanasan, muka merah, panas, wajah kepanasan
🥶	es, kedinginan, menggigil, radang dingin, wajah biru, wajah kedinginan
😳	muka, tersipu, wajah, wajah tersipu
🤪	besar, bodoh, kecil, mata, wajah konyol
