🏻	light skin tone, skin tone, type 1–2
🏼	medium-light skin tone, skin tone, type 3
🏽	medium skin tone, skin tone, type 4
🏾	medium-dark skin tone, skin tone, type 5
🏿	dark skin tone, skin tone, type 6
😀	face, grin, grinning face
😁	beaming face with smiling eyes, eye, face, grin, smile
😂	face, face with tears of joy, joy, laugh, tear
🤣	face, floor, laugh, rolling, rolling on the floor laughing
😃	face, grinning face with big eyes, mouth, open, smile
😄	eye, face, grinning face with smiling eyes, mouth, open, smile
😅	cold, face, grinning face with sweat, open, smile, sweat
😆	face, grinning squinting face, laugh, mouth, satisfied, smile
😉	face, wink, winking face
😊	blush, eye, face, smile, smiling face with smiling eyes
😋	delicious, face, face savoring food, savouring, smile, yum
😎	bright, cool, face, smiling face with sunglasses, sun, sunglasses
😍	eye, face, love, smile, smiling face with heart-eyes
😘	face, face blowing a kiss, kiss
🥰	adore, crush, in love, smiling face with 3 hearts
😗	face, kiss, kissing face
😙	eye, face, kiss, kissing face with smiling eyes, smile
😚	closed, eye, face, kiss, kissing face with closed eyes
☺	face, outlined, relaxed, smile, smiling face
🙂	face, slightly smiling face, smile
🤗	face, hug, hugging, hugging face
🤩	eyes, face, grinning, star, star-struck
🤔	face, thinking, thinking face
🤨	distrust, face with raised eyebrow, skeptic
😐	deadpan, face, meh, neutral, neutral face
😑	expressionless, expressionless face, face, inexpressive, meh, unexpressive
😶	face, face without mouth, mouth, quiet, silent
🙄	eyeroll, eyes, face, face with rolling eyes, rolling
😏	face, smirk, smirking face
😣	face, persevere, persevering face
😥	disappointed, face, relieved, sad but relieved face, whew
😮	face, face with open mouth, mouth, open, sympathy
🤐	face, mouth, zipper, zipper-mouth face
😯	face, hushed, hushed face, stunned, surprised
😪	face, sleep, sleepy face
😫	face, tired, tired face
😴	face, sleep, sleeping face, zzz
😌	face, relieved, relieved face
😛	face, face with tongue, tongue
😜	eye, face, joke, tongue, wink, winking face with tongue
😝	eye, face, horrible, squinting face with tongue, taste, tongue
🤤	drooling, drooling face, face
😒	face, unamused, unamused face, unhappy
