‾	винкулум, горна черта
_	долна черта, долно тире, линия, подчертаване, тире
-	минус, тире
‐	дефис, тире
–	средно, средно тире, тире
—	дълго, дълго тире, тире
―	линия, тире, хоризонтална черта, черта
・	интерпункт, катакана, средна точка, средна точка в катакана, точки
,	запетая
،	арабска, арабска запетая, запетая
、	запетая, идеографска, идеографска запетая
;	точка и запетая
؛	арабска, арабска точка и запетая, точка и запетая
:	двоеточие
!	възклицание, удар, удивителен знак
¡	възклицание, обърнат, обърнат удивителен знак, удар, удивителен знак, удивителна
?	въпрос, въпросителен знак
¿	въпрос, въпросителен знак, обърнат, обърнат въпросителен знак
؟	арабски, арабски въпросителен знак, въпрос, въпросителен знак
‽	интеробанг, удивителна с въпросителна
.	точка
…	изпускане, многоточие, три точки
。	идеографска, идеографска точка, точка
·	интерпункт, средна, средна точка, точка
'	апостроф, единични кавички, кавички, прав апостроф
‘	апостроф, единични кавички, кавички, ляв апостроф
’	апостроф, десен апостроф, единични кавички, кавички
‚	апостроф, долен десен апостроф, долна кавичка, кавички
“	двойни кавички, кавички, леви кавички
”	апостроф, двойни кавички, десни кавички, кавички
„	двойни кавички, долни десни кавички, долни кавички, кавички
«	кавичка, кавички, карета, лява френска кавичка, ляво, шеврон, ъгъл
»	дясна френска кавичка, дясно, кавичка, кавички, карета, шеврон, ъгъл
)	затваряща скоба, кръгла скоба, скоба, стандартна скоба
[	квадратна скоба, отваряща квадратна скоба, скоба, структурна скоба
]	затваряща квадратна скоба, квадратна скоба, скоба, структурна скоба
{	къдрава скоба, отваряща къдрава скоба, скоба, фигурна скоба
}	затваряща къдрава скоба, къдрава скоба, скоба, фигурна скоба
〈	остра скоба, отваряща ъглеста скоба, скоба, ъглеста скоба
〉	затваряща ъглеста скоба, остра скоба, скоба, ъглеста скоба
《	двойна ъглеста скоба, отваряща двойна ъглеста скоба, скоба
》	двойна ъглеста скоба, затваряща двойна ъглеста скоба, скоба
「	горна скоба, отваряща горна скоба, скоба
」	долна скоба, затваряща долна скоба, скоба
『	бяла горна скоба, отваряща бяла горна скоба, скоба
』	бяла долна скоба, затваряща бяла долна скоба, скоба
【	квадратна вдлъбната скоба, отваряща черна квадратна вдлъбната скоба, скоба
】	затваряща черна квадратна вдлъбната скоба, квадратна вдлъбната скоба, скоба
〔	отваряща скоба със скосени краища, скоба, скоба със скосени краища
〕	затваряща скоба със скосени краища, скоба, скоба със скосени краища
〖	бяла квадратна вдлъбната скоба, отваряща бяла квадратна вдлъбната скоба, скоба
〗	бяла квадратна вдлъбната скоба, затваряща бяла квадратна вдлъбната скоба, скоба
§	параграф, подразделение, секция, част
¶	абзац, знак за абзац, нов раздел, параграф
@	знак за имейл, кльомба, маймунка, маймунско „а“
*️	астериск, звездица, звездичка
/	диагонална черта, наклонена черта, слаш
\	обратна диагонална черта, обратна наклонена черта, слаш
&	амперсанд, и
#️	диез, знак диез, номер, паунд, хаштаг
%	процент
‰	една десета част от процента, една хилядна, промил
†	кръст, обел, обелиск
‡	двоен, двоен обелиск, кръст, обел, обелиск
•	водещ символ, точка
‧	дефис, тире, точка, точка за разделяне на срички
′	прим
″	двоен прим, прим
‴	прим, троен прим
‸	карета
※	знак за референция
⁂	звездички, три, три звездички
`	гравис, интонация, ударение
´	акут, интонация, ударение
^	V-образна стрелка, карета, контрол, показалец, сложно ударение, ударение, циркумфлекс
¨	трема, умлаут
°	градус, час
℗	авторско право, авторско право за звукозапис, запис, звук
←	наляво, стрелка, стрелка, сочеща наляво
↚	стрелка наляво и наклонена черта
→	надясно, стрелка, стрелка, сочеща надясно
↛	стрелка надясно и наклонена черта
↑	нагоре, стрелка, стрелка, сочеща нагоре
↓	надолу, стрелка, стрелка, сочеща надолу
↜	вълнообразна стрелка наляво
↝	вълнообразна стрелка надясно
↞	стрелка наляво с двойна глава
↟	стрелка нагоре с двойна глава
↠	стрелка надясно с двойна глава
↡	стрелка надолу с двойна глава
↢	стрелка наляво с опашка
↣	стрелка надясно с опашка
↤	стрелка наляво с права опашка
↥	стрелка нагоре с права опашка
↦	стрелка надясно с права опашка
↧	стрелка надолу с права опашка
↨	вертикална двупосочна стрелка с основа
↫	завъртяна стрелка наляво
↬	завъртяна стрелка надясно
↭	вълнообразна двупосочна стрелка
↯	зигзаг, зигзагообразна стрелка надолу
↰	стрелка нагоре с глава, сочеща наляво
↱	стрелка нагоре с глава, сочеща надясно
↲	стрелка надолу с глава, сочеща наляво
↳	стрелка надолу с глава, сочеща надясно
