‾	верхняя рыса
_	лінія, ніжняе, падкрэсліванне, рыса
-	дэфіс, злучок, злучок-мінус, мінус
‐	дэфіс, злучок
–	кароткі, кароткі працяжнік, працяжнік
—	доўгі, доўгі працяжнік, працяжнік
―	гарызантальная, гарызантальная лінія, лінія, працяжнік
・	катакана, кропка, сярэдняя, сярэдняя кропка катаканы
,	коска
،	арабская, арабская коска, коска
、	коска, ідэаграфічная, ідэаграфічная коска
;	з, коскай, кропка, кропка з коскай
؛	арабская, арабская кропка з коскай, з, коскай, кропка
:	двукроп’е
!	вокліч, знак, клічнік
¡	вокліч, знак, клічнік, перавернуты, перавернуты клічнік
?	знак пытальніка, пытальнік
¿	перавернуты, перавернуты пытальнік, пытальнік, пытанне
؟	арабскі, арабскі пытальнік, пытальнік, пытанне
‽	лігатура клічніка і пытальніка, інтэрабанг
.	кропка
…	кропкі, шматкроп’е
。	кропка, ідэаграфічная, ідэаграфічная кропка
·	кропка, сярэдняя, сярэдняя кропка, інтэрпункт
'	аднакоссе, апостраф, машынапісны, машынапісны апостраф
‘	аднакоссе, апостраф, левы, левы апостраф, пачатковае
’	аднакоссе, апостраф, канцавое, правы, правы апостраф
‚	аднакоссе, апостраф, левае, левы, левы ніжні апостраф, ніжні
“	двукоссе, левае, левае двукоссе
”	двукоссе, правае, правае двукоссе
„	двукоссе, ніжняе, ніжняе правае двукоссе, правае
«	вугалкі, вуглавое, двукоссе, елачка, левае двукоссе, левае французскае двукоссе, улева, французскае, шаўрон, ялінка
»	вугалкі, вуглавое, двукоссе, елачка, правае двукоссе, правае французскае двукоссе, управа, французскае, шаўрон, ялінка
)	дужка, канцавая, канцавая дужка, круглая
[	дужка, квадратная, пачатковая, пачатковая квадратная дужка
]	дужка, канцавая, канцавая квадратная дужка, квадратная
{	дужка, пачатковая, пачатковая фігурная дужка, фігурная
}	дужка, канцавая, канцавая фігурная дужка, фігурная
〈	вуглавая, дужка, пачатковая, пачатковая вуглавая дужка
