🏻	ചർമ്മ നിറം, ചർമ്മത്തിന്റെ നിറം-1-2, തരം 1–2, തെളിഞ്ഞ ചർമ്മ നിറം
🏼	ഇടത്തരം തെളിഞ്ഞ ചർമ്മ നിറം, ഇരുണ്ട തെളിഞ്ഞ ചർമ്മ നിറം, ചർമ്മ നിറം, ചർമ്മത്തിന്റെ നിറം-3, തരം 3
🏽	ഇടത്തരം ചർമ്മ നിറം, ചർമ്മ നിറം, ചർമ്മത്തിന്റെ നിറം-4, തരം 4
🏾	ഇടത്തരം ഇരുണ്ട ചർമ്മ നിറം, ചർമ്മ നിറം, ചർമ്മത്തിന്റെ നിറം-5, തരം 5
🏿	ഇരുണ്ട ചർമ്മ നിറം, ചർമ്മ നിറം, ചർമ്മത്തിന്റെ നിറം-6, തരം 6
😀	ഇളിക്കൽ, കളിയാക്കി ചിരിക്കുന്ന മുഖം, കളിയാക്കൽ, മുഖം
😁	കണ്ണ്, കളിയാക്കൽ, പുഞ്ചിരി, പുഞ്ചിരിക്കുന്ന കണ്ണുകളുമായി പ്രസന്നമായ മുഖം, മുഖം
😂	ആനന്ദം, ആനന്ദാശ്രുക്കളോടെയുള്ള മുഖം, കണ്ണീർ, പൊട്ടിച്ചിരി, മുഖം, സന്തോഷം
🤣	ചിരി, ചിരിച്ചുചിരിച്ച് മണ്ണുകപ്പുക, മണ്ണുകപ്പുക, മലർന്നുകിടന്ന് ചിരിക്കുക, മുഖം
😃	തുറന്ന, പുഞ്ചിരി, മുഖം, വലിയ കണ്ണുകളുള്ള കളിയാക്കി ചിരിക്കുന്ന മുഖം, വായ
😄	കണ്ണ്, തുറന്ന, പുഞ്ചിരി, പുഞ്ചിരിക്കുന്ന കണ്ണുകളോടുകൂടിയ ഗോഷ്‌ടിച്ചിരിയുള്ള മുഖം, മുഖം, വായ
😅	തണുത്ത, തുറന്ന, പുഞ്ചിരി, മുഖം, വിയർപ്പുള്ള കളിയാക്കി ചിരിക്കുന്ന മുഖം, വിയർപ്പ്
😆	ഇറുക്കിയടച്ച കണ്ണുകളുള്ള കളിയാക്കി ചിരിക്കുന്ന മുഖം, ഇറുക്കിയടച്ച കണ്ണുകൾ, തുറന്ന, പുഞ്ചിരി, പൊട്ടിച്ചിരി, മുഖം, വായ, സംതൃപ്‌തമായ
😉	കണ്ണടിക്കൽ, കണ്ണിറുക്കുന്ന മുഖം, പുഞ്ചിരി, മുഖം
😊	കണ്ണ്, കവിളിണ, നാണം, പുഞ്ചിരി, പുഞ്ചിരിക്കുന്ന കണ്ണുകളുള്ള പുഞ്ചിരിക്കുന്ന മുഖം, മുഖം
😋	ആസ്വദിക്കുക, പുഞ്ചിരി, മുഖം, യമ്മി, രുചിയുള്ള, രുചിയുള്ള ഭക്ഷണം കഴിക്കുന്ന മുഖം, സ്വാദ്
😎	കണ്ണട, കണ്ണടകൾ, കണ്ണടയുള്ള പുഞ്ചിരിക്കുന്ന മുഖം, കണ്ണ്, കാലാവസ്ഥ, തണുത്ത, തിളക്കം, പുഞ്ചിരി, മുഖം, സൂര്യൻ, സൺ, സൺഗ്ലാസ്
😍	കണ്ണ്, പുഞ്ചിരി, മുഖം, സ്‌നേഹം, ഹൃദയം, ഹൃദയാകൃതിയിലുള്ള കണ്ണുകളുള്ള പുഞ്ചിരിക്കുന്ന മുഖം
😘	ചുംബനം, ചുംബനം നൽകുന്ന മുഖം, ചുംബനം നൽകുന്നു, മുഖം, ഹൃദയം
