🏻	د روڼ پوستکي ټون, روښانه پوستکۍ, روښانه پوستکۍ l پوستکۍ l ډول ۲–۱
🏼	غنمی-روښانه پوستکۍ, غنمی-روښانه پوستکۍ l پوستکۍ l ډول ۳
🏽	غنم رنګه, غنم رنګه پوستکۍ l پوستکۍ l ډول ۴
🏾	غنمی-تورنګه پوستکۍ, منځنۍ-تور غنمی پوستکۍ l پوستکۍ l ډول ۵
🏿	تور پوستکۍ, تور پوستکۍ l پوستکۍ l ډول ۶
😀	خندېدلی مخ, مخ, مسکا, مسکېدلی مخ
😁	خندا, سترګه, مخ, مسکا, پړقېدونکی مخ دمسکېدلي سترګو سره
😂	اوښکې, خندا, خوشالي, د خوشحالۍ د اوښکو مخ, مخ
🤣	خندل, د خندا نه په فرش رغړېدل, فرش, مخ
😃	خله, مخ, مسکا, مسکېدلی مخ د غټو سترګو سره, پېرته
😄	برسېره, خله, سترګه, مخ, مسکا, مسکېدلی مخ د مسکېدلی سترګو, مسکېدلی مخ د مسکېدلی سترګو سره
😅	برسېره, خوله, مخ, مسکا, مسکېدلی مخ د خولو سره, يخ
😆	خله, خندا, قانع, مخ, مسکا, مسکېدلی نيمکښ مخ
😉	سترګه وهل, سترګه وهونکی مخ, مخ
😊	سترګه, شرمېدل, مخ, مسکېدونکی مخ د مسکېدونکې سترګو
😋	خوند اخيستنه, خوندور, له خوړو خوند اخيستونکی مخ, مخ, مسکا, يم
😎	د لمر عينکې, لمر, مخ, مسکېدونکی مخ د لمر دعينکو سره, پړقېدونکې, کول
😍	سترګه, مخ, مسکا, مسکېدونکی مخ د زړه سترګو سره, مينه
😘	د الوزونکي مچولو مخ, مخ, مچول
🥰	د زړه مينه, ماتول, مسکېدونکی مخ د ۳ زړونو سره, په مينه کې
😗	مخ, مچول, مچوونکی مخ
😙	سترګه, مخ, مسکا, مچول, مچوونکی مخ د مسکېدلې سترګو سره
😚	بندې, سترګه, مخ, مچول, مچوونکی مخ د بندو سترګو سره
🙂	لږ مسکېدلی مخ, مخ, مسکا
🤗	غاړه ورکوونکی مخ, غېږه, غېږه کې نيول, مخ
🤩	خندل, سترګې, ستورو وهلی, ستوری, مخ
🤔	فکرمند, فکرمند مخ, مخ
🤨	بدګماني, د اوچتو شويو وريځو مخ, شکمن
😑	بې اثره, بې تاثيره, بې تاثيره مخ, بې هيجانه, مخ
😶	خله, غلې, مخ, پرته له خولې مخ, په قلاره
🙄	تاووهونکې, د تاوهونکو سترګو مخ, سترګې, مخ
😏	د ملنډو خندا, د ملنډو د خندا مخ, مخ
😣	سخت سری, سخت سری مخ, مخ
😥	اف, دمه, مايوسه, مخ, پښيمانه خو دمه مخ
😮	بيرته, خوا خوږي, خوله, د بېرته خولې مخ, مخ
🤐	خوله, د ځنځير د خولې مخ, مخ, ځنځير
😯	حيران, د چپې خولې مخ, مخ, چپ, ګنګس
😪	خوب, خوبيولى مخ, مخ
😫	ستړى, ستړي مخ, مخ
😴	خوب, د خوب مخ, ززز, مخ
😌	خوشحاله, خوشحاله مخ, مخ
😛	د ژبې مخ, مخ, ژبه
