🏻	fitzpatrick, ανοιχτόχρωμος τόνος δέρματος, τόνος δέρματος, τύπου 1–2
🏼	fitzpatrick, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, τόνος δέρματος, τύπου 3
🏽	fitzpatrick, μεσαίος τόνος δέρματος, τόνος δέρματος, τύπου 4
🏾	fitzpatrick, μεσαίος-σκούρος τόνος δέρματος, τόνος δέρματος, τύπου 5
🏿	fitzpatrick, σκούρος τόνος δέρματος, τόνος δέρματος, τύπου 6
😀	πλατύ χαμόγελο, πρόσωπο, σαρκασμός
😁	μάτι, περιχαρές πρόσωπο με γελαστά μάτια, πρόσωπο, σαρκασμός, χαμόγελο
😂	γέλιο, δάκρυ, κλαίω από χαρά, πρόσωπο, χαρά
🤣	γέλιο, δυνατό γέλιο, ξεκάρδισμα, ξεκαρδίζομαι, πρόσωπο
😃	ανοιχτό, πλατύ χαμόγελο με μεγάλα μάτια, πρόσωπο, στόμα, χαμόγελο
😄	ανοιχτό, μάτι, πλατύ χαμόγελο με γελαστά μάτια, πρόσωπο, στόμα, χαμόγελο
😅	ανοιχτό, ιδρώτας, κρύος, πλατύ χαμόγελο και κρύος ιδρώτας, πρόσωπο, χαμόγελο
😆	ανοιχτό, γέλιο, ικανοποίηση, πλατύ χαμόγελο με κλειστά μάτια, πρόσωπο, στόμα, χαμόγελο
😉	κλείνω το μάτι, κλείσιμο ματιού, πρόσωπο
😊	κοκκινίζω, μάτι, πρόσωπο, χαμογελαστό πρόσωπο με γελαστά μάτια, χαμόγελο
😋	απολαμβάνω πεντανόστιμο φαγητό, απόλαυση, γιαμ, μιαμ, νόστιμο, πρόσωπο, χαμόγελο
😎	ήλιος, γυαλιά, γυαλιά ηλίου, καιρός, μάτι, οπτικά, πρόσωπο, στυλάτος, φωτεινός, χαμογελαστό πρόσωπο με γυαλιά ηλίου, χαμόγελο
😍	αγάπη, καρδιά, μάτι, πρόσωπο, χαμογελαστό πρόσωπο με μάτια καρδούλες, χαμόγελο
😘	καρδιά, πρόσωπο, στέλνω φιλί, φιλί
🥰	ερωτευμένος, καψούρα, λατρεύω, χαμογελαστό προσωπάκι με 3 καρδούλες
😗	πρόσωπο, φιλί, φιλώ
😙	μάτι, πρόσωπο, φιλί, φιλώ με γελαστά μάτια, χαμόγελο
