🏻	peau, peau claire
🏼	peau, peau moyennement claire
🏽	peau, peau légèrement mate
🏾	peau, peau mate
🏿	peau, peau foncée, peau mate
😀	sourire, visage rieur
😁	dents, sourire, visage souriant aux yeux rieurs
😂	larmes, sourire, visage riant aux larmes
🤣	rire, se rouler par terre, se rouler par terre de rire, visage
😃	sourire, visage souriant avec de grands yeux
😄	sourire, visage très souriant aux yeux rieurs
😅	sourire, visage souriant avec une goutte de sueur
😆	bouche, rire, sourire, visage, visage souriant avec yeux plissés
😉	clin d’œil, visage, visage faisant un clin d’œil
😊	rougir, sourire, visage, visage souriant avec yeux rieurs, œil
😋	langue, miam
😎	lunettes de soleil, visage avec lunettes de soleil
😍	amour, cœur, visage, visage souriant avec yeux en forme de cœur, œil
😘	bisou, cœur, visage envoyant un bisou
🥰	aimer, amour, béguin, visage souriant avec 4 cœurs
😗	bisou, visage faisant un bisou
😙	bisou, visage aux yeux rieurs faisant un bisou
😚	bisou, visage faisant un bisou avec les yeux fermés
☺	sourire, visage souriant
🙂	sourire, visage avec un léger sourire
🤗	câlin, gentil, visage, visage qui fait un câlin
🤩	grand sourire, visage, visage avec des étoiles à la place des yeux, yeux, étoile
🤔	réflexion, visage, visage en pleine réflexion
🤨	méfiant, sceptique, visage avec les sourcils relevés
😐	neutre, visage neutre
😑	inexpressif, neutre, sans expression, visage, visage sans expression
😶	muet, visage sans bouche
🙄	roulement, visage roulant des yeux, yeux
😏	malin, sourire, visage avec un sourire malin
😣	persévérant, visage, visage persévérant
😥	pfiou, visage triste mais soulagé
😮	surpris, visage avec bouche ouverte
🤐	bouche, fermeture éclair, visage, visage avec bouche fermeture éclair
😯	sans voix, stupéfait, surpris, visage, visage ébahi
😪	sommeil, visage, visage endormi
😫	fatigue, visage, visage fatigué
😴	sommeil, visage, visage somnolent, zzz
😌	soulagement, visage, visage soulagé
😛	langue, visage, visage qui tire la langue
😜	clin d’œil, langue, visage, visage qui tire la langue et fait un clin d’œil, œil
😝	horrible, langue, visage, visage qui tire la langue avec les yeux plissés, visage qui tire la langue les yeux plissés, œil
🤤	baver, visage, visage qui bave
😒	blasé, pas content, visage, visage blasé
😓	froide, sueur, visage, visage démoralisé avec goutte de sueur
😔	déçu, pensif, visage, visage pensif
😕	confus, visage, visage confus
🙃	renversée, tête, tête à l’envers
🤑	argent, argent dans les yeux et la bouche, bouche, yeux
😲	choc, stupéfait, visage, visage stupéfait
☹	mécontent, visage, visage mécontent
🙁	mécontent, visage, visage légèrement mécontent
😖	déconcerté, visage, visage déconcerté
