🏻	clara, molt clara, pell, pell molt clara
🏼	bastant clara, pell, pell bastant clara
🏽	morena, pell, pell morena
🏾	fosca, pell, pell fosca
🏿	fosca, pell, pell molt fosca
😀	cara, cara molt somrient, rialla, somriure, ulls
😁	cara, cara molt somrient amb els ulls alegres, gran somriure, ulls
😂	alegria, cara, cara amb llàgrimes d’alegria, llàgrimes
🤣	cara, cara que es peta de riure, partir-se, petar-se de riure, pixar-se, riure
😃	boca oberta, cara, cara molt somrient amb els ulls ben oberts, somriure
😄	boca oberta, cara, cara amb rialla i els ulls somrients, somriure
😅	cara, cara somrient amb una gota de suor, somriure, suor freda
😆	boca oberta, cara, cara somrient amb els ulls tancats fortament, somriure, ulls tancats
😉	cara, cara que pica l’ullet, ullet
😊	cara, cara somrient amb els ulls alegres, galtes vermelles, somriure
😋	cara, cara d’assaborir un menjar deliciós, deliciós, llépol cara d’assaborir un menjar deliciós, nyam, somriure
😎	cara, cara somrient amb ulleres de sol, sol, ulleres
😍	amor, cara, cara somrient amb ulls en forma de cor, cor, ulls
😘	amor, cara, cara que llança un petó, cor, petó
🥰	amor, cara somrient amb 3 cors, enamorada, enamorament, enamorat
😗	cara, cara que fa un petó, petó
😙	cara, cara que fa un petó amb els ulls alegres, petó, ulls alegres
😚	cara, cara que fa un petó amb els ulls tancats, petó, ulls tancats
☺	cara, cara relaxada, cara somrient, somriure
🙂	cara, cara que somriu una mica, somriure tímid
🤗	abraçada, cara, cara amb abraçada
🤩	cara, cara amb estrelles als ulls, estrella, somriure, ulls
🤔	cara, cara pensativa, pensant, pensatiu, pensativa
🤨	cara amb una cella aixecada, desconfiada, desconfiat, escèptic, escèptica
😐	cara, cara neutra, neutral
😑	cara, cara inexpressiva, inexpressiu, inexpressiva, inexpressió
😶	callada, callat, cara, cara sense boca, sense boca, silenci
🙄	cara, cara amb els ulls en blanc, ulls en blanc
😏	cara, cara somrient amb superioritat, somriure astut, superioritat
😣	cara, cara de perseverança, perseverança
😥	alleujament, cara, cara de decepció, però alleujada, decepció, uf
😮	boca oberta, cara, cara amb la boca oberta
🤐	boca, boca tancada, cara, cara amb cremallera a la boca, cremallera
😯	cara, cara de sorpresa, sorpresa
😪	cara, cara de son, son
😫	cansament, cara, cara de cansament
😴	cara, cara de dormir, dormint, son, zzz
😌	alleujament, cara, cara d’alleujament
😛	cara, cara que fa llengotes, llengota, llengua, llengua fora
😜	cara, cara que fa llengotes i pica l’ullet, llengota, llengua, ullet
😝	cara, cara amb els ulls tancats i la llengua fora, cara que fa llengotes i amb els ulls tancats, ecs, llengota, llengua, ulls tancats
🤤	bava, bavejant, cara, cara que baveja
😒	avorriment, cara, cara de desaprovació, desaprovació
😓	cara, cara amb suor freda, suor freda
😔	abatuda, cara, cara desanimada, desanimada, pensativa
😕	cara, cara de confusió, confosa, confusió, confós
🙃	cara, cara de cap per avall, revés
🤑	cara, cara de diners, diners, llengua, ulls
😲	cara, cara estupefacta, estupefacta, estupefacte
☹	cara, cara arrufada, emmurriat, empipat, enfadat
🙁	cara, cara una mica arrufada, emmurriat, empipat, enfadat
😖	cara, cara de frustració, frustració, frustrada, frustrat
😞	cara, cara de decepció, decebuda, decebut, decepció
😟	cara, cara de preocupació, preocupació, preocupada, preocupat
😤	cara, cara que treu fum del nas, fum, nas, victòria
😢	cara, cara que plora, llàgrimes, trist, trista
😭	cara, cara que plora desconsoladament, llàgrimes de desconsol
😦	boca oberta, cara, cara emmurriada amb la boca oberta, emmurriada
😧	angoixa, angoixada, angoixat, cara, cara d’angoixa
😨	atemorida, atemorit, cara de por, espantada, espantat, por
😩	cara, cara d’esgotament, esgotada, esgotament, esgotat
🤯	cap que explota, estupefacta, estupefacte
😬	cara, cara que fa una ganyota amb les dents, dents, ganyota
😰	boca oberta, cara, cara amb la boca oberta i suor freda, nervis, suor freda
😱	cara, cara que crida de por, crit de por, pànic, terror
🥵	calor, cara de calor, cara vermella, febre, suor
🥶	cara blava, cara de fred, caramell, fred, gel, glaçat
😳	cara, cara enrojolada, enrojolada, galtes vermelles, vergonya
🤪	boig, boja, cara de bogeria, ull gran, ull petit
😵	cara, cara marejada, marejada, marejat
😡	cara, cara enutjada, cara vermella, enutjada, enutjat
😠	cara, cara enfadada, enfadada, enfadat
🤬	cara amb símbols a la boca, insults, paraulotes, renecs
😷	cara, cara amb mascareta, cara amb màscara, malaltia, mascareta, màscara
🤒	cara, cara amb termòmetre, malalt, malalta, malaltia, termòmetre
🤕	cap embenat, cara, cara amb el cap embenat
🤢	cara, cara de nàusees, mareig, marejada, marejat, nàusea, vomitar
🤮	cara, cara que vomita, vòmit
🤧	cara, cara que esternuda, constipat, esternudant, esternut, mocs, salut
😇	angelet, aurèola, cara somrient amb aurèola, halo, sant, santa
🤠	barret, cara, cara amb barret de vaquer, cowboy, vaquer, vaquera
🥳	barret, cara festiva, celebració, espanta-sogres, festa
🥴	beguda, begut, boca ondulada, cara de mareig, embriac, embriaga, marejada, marejat, ulls desiguals
🥺	cara de súplica, pietat, súplica, ulls de cadell
🤥	Pinotxo, cara, cara de mentider, mentider, nas
🤫	callar, cara que demana silenci, silenci
🤭	cara amb la mà sobre la boca, tapant-se la boca, ups
🧐	cara amb monocle, estirada, estirat, monocle
🤓	aplicada, aplicat, cara de setciències, estudiar, estudiosa, estudiós
😈	banyes, cara, cara somrient amb banyes, dimoni, somriure
👿	cara, cara enfadada amb banyes, diable, dimoni, dimoniet, fantasia, trapella
🤡	cara, cara de pallasso, pallassa, pallasso
👹	cara, conte, criatura, fantasia, ogre
👺	cara, conte, criatura, fantasia, follet
💀	calavera, cara, conte, crani, monstre, mort
☠	calavera, cara, crani, crani amb ossos, monstre, ossos
👻	cara, conte, criatura, fantasia, fantasma
👽	alienígena, cara, criatura, extraterrestre, fantasia, monstre, ovni
👾	alienígena, extraterrestre, monstre, monstre alienígena, ovni, àlien
🤖	cara, cara de robot, monstre, robot
💩	caca, cara, còmic, merda, monstre
😺	boca oberta, cara, cara de gat somrient amb la boca oberta, gat, somrient
😸	cara, cara de gat somrient amb els ulls alegres, gat, somrient, ulls alegres
😹	alegria, cara, cara de gat amb llàgrimes d’alegria, gat, llàgrimes
😻	cara, cara de gat somrient amb cors als ulls, cor, gat, somriure, ulls
😼	cara, cara de gat amb somriure irònic, gat, ironia, somriure
😽	cara, cara de gat que fa un petó, gat, petó, ulls tancats
🙀	cara, cara de gat sorpresa, gat, sorpresa, sorprès
😿	cara, cara de gat que plora, gat, llàgrimes
😾	cara, cara de gat enutjada, enuig, gat
🙈	mona, mona que no mira, ulls tapats
🙉	mona, mona que no escolta, orelles tapades
🙊	boca tapada, mona, mona que no parla
