😀	داند پیسنا, دند پیسدی شکل, دی شکل
😃	دی شکل, مسکرانا, منہ, کُھلا, کھلے منہ نال مسکراندی شکل
😄	اکھ, دی شکل, مسکرانا, منہ, کُھلا, کھلے مُنہ اتے مسکراندیاں اکھاں نال مسکراندی شکل
😁	اکھ, داند پیسنا, دی شکل, مسکرانا, مسکراندیاں اکھاں نال دند پیسدی شکل
😆	دی شکل, مسکرانا, مطمئن ہونا, منہ, کُھلا, کُھلے منہ اتے بند کیتیاں اکھاں نال مسکراندی شکل, ہسنا
😅	دی شکل, مسکرانا, مُڑکا, ٹھنڈا, کُھلا, کُھلے منہ اتے مڑکے نال مسکراندی شکل
🤣	دی شکل, فرش, قہقہے نال زمین اوتے لوٹ پھوٹ, گھمدا ہوئیا, ہسنا
😂	اتھرو, خوشی, خوشی دے اتھرواں نال شکل, دی شکل, ہسنا
🙂	دی شکل, مسکرانا, ہلکی مسکراندی ہوئی شکل
🙃	دی شکل, پُٹھا, پُٹھی شکل
😉	اکھ مار دی شکل, اکھ مارنا, دی شکل
😊	اکھ, دی شکل, شرمانا, مسکرانا, مسکراندیاں اکھاں نال مسکراندی شکل
😇	تصور, دی شکل, فرشتہ, مسکرانا, معصوم, پریاں دی کہانی, چمک نال مسکراندی شکل, ہالہ
😍	اکھ, دل آلیاں اکھاں نال مسکراندی شکل, دی شکل, مسکرانا, پریم
🤩	اکھاں, تارہ, داند پیسنا, دی شکل, نامور شخصیتاں دا دلدادہ
😘	دی شکل, چومنا, ہوا وچ چومی اڑاندی شکل
😗	دی شکل, چومنا, چومیاں کردی شکل
☺️	خاکہ شُدہ, دی شکل, مسکرانا, مسکراندی شکل, پُر سکون
😚	اکھ, بند اکھاں نال چومی کردی شکل, بند کیتا, دی شکل, چومنا
😙	اکھ, دی شکل, مسکرانا, مسکراندیاں اکھاں نال چومیاں کردی شکل, چومنا
😋	دی شکل, عم, مزہ لیندیاں, مزے دار, مزے دار خوراک دا سواد لیندی شکل, مسکرانا, یم
😛	باہر کڈی زبان آلی شکل, جیب, دی شکل
😜	اکھ, اکھ مارنا, باہر کڈی زبان نال شکل اتے پلک جھپکدی اکھ, جیب, دی شکل, لطیفہ
🤪	اکھ, نیکا, وڈا, پاگل پن آلی شکل
😝	اکھ, باہر کڈی زنان آلی شکل اتے بند کیتیاں اکھاں, جیب, خوفناک, دی شکل, سواد
🤑	دی شکل, منہ, پیسیاں دے منہ آلی شکل, پیسے
🤗	دی شکل, گلے ملدی شکل, گلے ملدیاں ہوئیاں, گلے ملنا
🤭	للکارنا, منہ اُوتے ہتھ نال شکل
🤫	خاموش, خاموش کراندی ہوئی شکل, چپ
🤔	دی شکل, سوچدی شکل, سوچنا
🤐	دی شکل, زپر, زپرـمنہ آلی شکل, منہ
🤨	اُٹھدی ہوئیاں بھنواں نال شکل, شک کرنا, عقیدہ
😐️	دی شکل, غیر جانبدار, غیر جانبدار شکل, غیر مؤثر
😑	دی شکل, غَیر پُر معنی, غیر معنی خیز, لا اظہاری, لا اظہاری شکل
😶	خاموش, دی شکل, منہ, منہ دے بغیر شکل, چُپ
😏	بناوٹی شکل, بناوٹی ہاسا, دی شکل
😒	دی شکل, غیر دلچسپ, نا خوش, ناخوش شکل
🙄	اکھاں, دی شکل, گھمدا ہوئیا, گھمدیاں اکھاں نال شکل
😬	دی شکل, منہ بنانا, منہ بناندی شکل
🤥	بالاں دی کہانی دا ہیرو, جھوٹ, جھوٹ بولدی شکل, دی شکل
😌	آرام دہ شکل, دی شکل, سبکدوش ہونا
😔	اداس شکل, اُداس, دلگیر, دی شکل
😪	دی شکل, سونا, سُتی شکل
🤤	دی شکل, رال ٹپکاندی, رال ٹپکاندی شکل
😴	zzz, دی شکل, سونا, سوندی شکل
😷	دوائی, دی شکل, طبی ماسک نال شکل, طبیب, علیل, ماسک, ٹھنڈا
🤒	بیمار, تھرمامیٹر نال شکل, حرارت پیما, دی شکل, علیل
🤕	دی شکل, زخمی, سر آلی پٹی نال شکل, سٹ, مرہم پٹی
🤢	اُلٹی, جی متلانا, دی شکل, متلی آلی شکل
🤮	آلٹی آن آلی شکل, اُلٹی, علیل
🤧	دی شکل, صحت مندی لئی دعائیہ کلمہ, چھیک, چھیک ماردی شکل
😵	بدحواس, بدحواس شکل, دی شکل
🤯	حیران ہونا, پاٹا سر
🤠	دی شکل, گوالا, گوالن, گوالے دے کلاے دی شکل, ہیٹ
😎	اکھ, اکھ پُوش, دُھوب آلی عینک نال مسکراندی شکل, دھوپ آلیاں عینکاں, دی شکل, روشن, سورج, عینک, مسکرانا, چَنگا
🤓	احمق, بیوقوف شکل, دی شکل, نگاہ
🧐	حبس آلا, یک چشمی شکل
😕	دی شکل, متذبذب, متذبذب شکل
😟	دی شکل, پریشان ہوئی شکل, پریشان ہونا
🙁	تیوری چڑھونا, دی شکل, ہلکی تیوری آلی شکل
☹️	تیوری آلی شکل, تیوری چڑھونا, دی شکل
😮	دی شکل, منہ, کُھلا, کھلے منہ آلی شکل, ہمدردی
😯	حیرت انگیز, دنگ رہ جانا, دی شکل, منہ بند کیتی شکل, چُپ کیتا ہوئیا
😲	حیران ہونا, حیرت زدہ شکل, دی شکل, متعجب ہونا, مکمل طور تے
😳	بے دخل, جوشیلی شکل, دی شکل, ہکا بکا
😦	تیوری چڑھونا, دی شکل, منہ, کُھلا, کھلے منہ نال تیوری آلی شکل
😧	دُکھی, دُکھی شکل, دی شکل
😨	خوف, خوفزدہ, خوفزدہ شکل, دی شکل, ڈریا ہوئیا
😰	دی شکل, منہ, مُڑکا, نیلا, ٹھنڈا, کُھلا, کُھلے منہ اتے مڑکے آلی شکل, گھس جانا
😥	دی شکل, سبکدوش ہونا, مایوس, مایوس پر آرام دہ شکل, واہ
😢	اتھرو, دی شکل, رونا, روندی شکل, غمگین
😭	اتھرو, اوچا روندی شکل, دی شکل, رونا, غمگین, ہچکی لینا
😱	خوف, خوف وچ چیخدی شکل, خوفزدہ, دی شکل, واج نال چبنا, چیکنا, ڈریا ہوئیا
😖	دی شکل, ہکّا بکّا, ہکّی بکّی شکل
😣	ثابت قدم رہنا, ثابت قدم شکل, دی شکل
😞	دی شکل, مایوس, مایوس شکل
😓	دی شکل, مُڑکا, ٹھنڈا, ٹھنڈے پسینے آلی شکل
😩	بیزار شکل, تھکیا ہوئیا, دی شکل
😫	تھکی شکل, تھکیا ہوئیا, دی شکل
😤	جیتا, دی شکل, فتح یابی, چوندے ہوئے ناک نال شکل
😡	آگ بگولا ہونا, دی شکل, رُسنا, لال, لٹکی ہوئی شکل, منہ بسورنا, پاگل
😠	دی شکل, رُسنا, رُسی شکل, پاگل
🤬	منہ اُوتے علامتاں نال شکل, گالاں دینا
😈	تصور, دی شکل, سینگ, سینگاں نال مسکراندی شکل, مسکرانا, پریاں دی کہانی
👿	بدرُوح, بُھتنا, تصور, دی شکل, سینگاں نال غصے آلی شکل, شیطان, پریاں دی کہانی
💀	دی شکل, دیو, موت, پریاں دی کہانی, کھوپڑی
☠️	انتباہ دی علامت, انتباہ دی علامت اتے کھوپڑی, دی شکل, دیو, موت, کھوپڑی
💩	دنبالہ, دی شکل, دیو, مُضحِکہ خیز, پو دا انبار, ڈرون آلی شکل, گویا
🤡	دی شکل, مسخرے, مسخرے دی شکل
👹	تصور, دی شکل, دیو, مخلوق, پریاں دی کہانی
👺	آسیب, تصور, دی شکل, دیو, مخلوق, پریاں دی کہانی
👻	بھوت, تصور, دی شکل, دیو, مخلوق, پریاں دی کہانی
👽️	اجنبی, اڑن طشتری, تصور, دی شکل, دیو, غیر ارضی, مخلوق, پریاں دی کہانی
👾	اجنبی, اڑن طشتری, بدصورت اجنبی, تصور, دی شکل, دیو, غیر ارضی, مخلوق, پریاں دی کہانی
🤖	دی شکل, دیو, روبوٹ دی شکل, رُوبوٹ
😺	بلی, دی شکل, مسکرانا, منہ, کُھلا, کھلے منہ نال بلی دی مسکراندی شکل
😸	اکھ, بلی, داند پیسنا, دی شکل, مسکرانا, مسکراندیاں اکھاں نال دند پیسدی بلی دی شکل
😹	اتھرو, بلی, خوشی, خوشی دے اتھرواں نال بلی دی شکل, دی شکل
😻	اکھ, بلی, دل آلیاں ـ اکھاں نال مسکراندی شکل, دی شکل, مسکرانا, پریم
😼	بلی, دی شکل, طنزیہ, مسکرانا, وگڑی ہوئی مسکراہٹ نال بلی دی شکل, ٹیڑھا
😽	اکھ, بلی, بند اکھاں نال بلی دی چومدی ہوئی شکل, دی شکل, چومنا
🙀	اوہ, بلی, بلی دی بیزار شکل, تھکیا ہوئیا, حیرت انگیز, دی شکل
😿	اتھرو, بلی, بلی دی روندی شکل, دی شکل, رونا, غمگین
😾	بلی, بلی دی لٹکی شکل, دی شکل, منہ بسورنا
🙈	اشارہ, باندر, بھیڑ, حرام, دی شکل, ممنوع کیتا, نہیں, ویکھو, ویکھو-کوئی-شیطان باندر نہیں
🙉	اشارہ, باندر, بھیڑ, حرام, دی شکل, سنو-کوئی-شیطان باندر نہیں, سُننا, ممنوع کیتا, نہیں
🙊	اشارہ, باندر, بولنا, بولو-کوئی-شیطان-باندر نہیں, بھیڑ, حرام, دی شکل, ممنوع کیتا, نہیں
💌	خط, دل, میل, پریم, پیار دا پتر
💘	تیر, تیر نال دل, کیوپڈ
💝	فیتہ, فیتے نال دل, ویلنٹائن
💖	جذباتی ہونا, جگ مگ کرنا, عشق دا اظہار کردا دل
💗	اعصابی, جذباتی ہونا, نبض, وددھا ہوئیا دل, ودھنا
💓	دل دی دھڑکن, دھڑکدا دل, مارنا, چلدی نبض
💞	گھمدا ہوئیا, گھومدا دل
💕	دو دل, پریم
💟	دل, دل دی سجاوٹ
❣️	دل دی زور دا پُکار, رموز اوقاف, نشان لانا, چیخ و پکار
💔	توڑنا, ٹوٹیا ہوئیا, ٹوٹیا ہوئیا دل
❤️	دل, لال دل
🧡	مالٹا, نارنگی دل
💛	پیلا, پیلا دل
💚	سبز دل, ہرا
💙	نیلا, نیلا دل
💜	جامنی, جامنی دل
🖤	بھیڑ, شرارتی, کالا, کالا دل
💋	بُل, چومنا, چومی دا نشان
💯	100, سو, سو نکات, سکور, پورا
💢	رُسنا, غصے دی علامت, مُضحِکہ خیز, پاگل
💥	غصّے آلا, مُضحِکہ خیز, ٹکرونا
💫	بدحواس, تارہ, مُضحِکہ خیز
💦	مُضحِکہ خیز, مُڑکا, پسینے دا نیکا جیہا قطرہ, چِھیٹے اُڑونا
💨	بھجدا, خوش باش وکھرے ہو رہے, مارنا, مُضحِکہ خیز
🕳️	موری
💬	تقریر, تقریری بھکانہ, حباب, مُضحِکہ خیز, مکالمہ, پکانہ
👁‍🗨	اکھ, تقریر دا حباب, تقریری حباب وچ اکھ, گواہ
🗨️	تقریر, تقریر دا کھبا حباب, مکالمہ
🗯️	حباب, رُسنا, غصے دا سجّا حباب, پاگل, پکانہ
💭	حباب, خیال, خیالی بھکانہ, مُضحِکہ خیز, پکانہ
💤	zzz, سونا, مُضحِکہ خیز
👋	لہر, لہراندا, ہتھ, ہتھ ہلاندیاں
👋🏻	لہر, لہراندا, ہتھ, ہتھ ہلاندیاں, ہتھ ہلاندیاں: ہلکی رنگت آلی جلد, ہلکی رنگت آلی جلد
👋🏼	لہر, لہراندا, ہتھ, ہتھ ہلاندیاں, ہتھ ہلاندیاں: ہلکی درمیانی رنگت آلی جلد, ہلکی درمیانی رنگت آلی جلد
👋🏽	درمیانی رنگت آلی جلد, لہر, لہراندا, ہتھ, ہتھ ہلاندیاں, ہتھ ہلاندیاں: درمیانی رنگت آلی جلد
👋🏾	درمیانی کالی رنگت آلی جلد, لہر, لہراندا, ہتھ, ہتھ ہلاندیاں, ہتھ ہلاندیاں: درمیانی کالی رنگت آلی جلد
👋🏿	لہر, لہراندا, کالی رنگت آلی جلد, ہتھ, ہتھ ہلاندیاں, ہتھ ہلاندیاں: کالی رنگت آلی جلد
🤚	اُبھریا ہوئیا, بیک ہینڈ, ہتھ دا ابھریا پچھلا پاسا
🤚🏻	اُبھریا ہوئیا, بیک ہینڈ, ہتھ دا ابھریا پچھلا پاسا, ہتھ دا ابھریا پچھلا پاسا: ہلکی رنگت آلی جلد, ہلکی رنگت آلی جلد
🤚🏼	اُبھریا ہوئیا, بیک ہینڈ, ہتھ دا ابھریا پچھلا پاسا, ہتھ دا ابھریا پچھلا پاسا: ہلکی درمیانی رنگت آلی جلد, ہلکی درمیانی رنگت آلی جلد
🤚🏽	اُبھریا ہوئیا, بیک ہینڈ, درمیانی رنگت آلی جلد, ہتھ دا ابھریا پچھلا پاسا, ہتھ دا ابھریا پچھلا پاسا: درمیانی رنگت آلی جلد
🤚🏾	اُبھریا ہوئیا, بیک ہینڈ, درمیانی کالی رنگت آلی جلد, ہتھ دا ابھریا پچھلا پاسا, ہتھ دا ابھریا پچھلا پاسا: درمیانی کالی رنگت آلی جلد
🤚🏿	اُبھریا ہوئیا, بیک ہینڈ, کالی رنگت آلی جلد, ہتھ دا ابھریا پچھلا پاسا, ہتھ دا ابھریا پچھلا پاسا: کالی رنگت آلی جلد
🖐️	اُنگل, وسعت دِتا, چوڑیاں کیتیاں اُنگلاں نال اُوتے کیتا ہتھ, ہتھ
