🦵🏻	bahagian kaki, kaki, kaki: ton kulit cerah, tendang, ton kulit cerah
🦵🏼	bahagian kaki, kaki, kaki: ton kulit sederhana cerah, tendang, ton kulit sederhana cerah
🦵🏽	bahagian kaki, kaki, kaki: ton kulit sederhana, tendang, ton kulit sederhana
🦵🏾	bahagian kaki, kaki, kaki: ton kulit sederhana gelap, tendang, ton kulit sederhana gelap
🦵🏿	bahagian kaki, kaki, kaki: ton kulit gelap, tendang, ton kulit gelap
🦶🏻	hentak, hujung kaki, hujung kaki: ton kulit cerah, tendang, ton kulit cerah
🦶🏼	hentak, hujung kaki, hujung kaki: ton kulit sederhana cerah, tendang, ton kulit sederhana cerah
🦶🏽	hentak, hujung kaki, hujung kaki: ton kulit sederhana, tendang, ton kulit sederhana
🦶🏾	hentak, hujung kaki, hujung kaki: ton kulit sederhana gelap, tendang, ton kulit sederhana gelap
🦶🏿	hentak, hujung kaki, hujung kaki: ton kulit gelap, tendang, ton kulit gelap
🦸🏻	adi wira, adi wira: ton kulit cerah, baik, sangat berkuasa, ton kulit cerah, wira, wirawati
🦸🏼	adi wira, adi wira: ton kulit sederhana cerah, baik, sangat berkuasa, ton kulit sederhana cerah, wira, wirawati
🦸🏽	adi wira, adi wira: ton kulit sederhana, baik, sangat berkuasa, ton kulit sederhana, wira, wirawati
🦸🏾	adi wira, adi wira: ton kulit sederhana gelap, baik, sangat berkuasa, ton kulit sederhana gelap, wira, wirawati
🦸🏿	adi wira, adi wira: ton kulit gelap, baik, sangat berkuasa, ton kulit gelap, wira, wirawati
🦸🏻‍♀	adi wira wanita, adi wira wanita: ton kulit cerah, baik, sangat berkuasa, ton kulit cerah, wanita, wira, wirawati
🦸🏼‍♀	adi wira wanita, adi wira wanita: ton kulit sederhana cerah, baik, sangat berkuasa, ton kulit sederhana cerah, wanita, wira, wirawati
🦸🏽‍♀	adi wira wanita, adi wira wanita: ton kulit sederhana, baik, sangat berkuasa, ton kulit sederhana, wanita, wira, wirawati
🦸🏾‍♀	adi wira wanita, adi wira wanita: ton kulit sederhana gelap, baik, sangat berkuasa, ton kulit sederhana gelap, wanita, wira, wirawati
🦸🏿‍♀	adi wira wanita, adi wira wanita: ton kulit gelap, baik, sangat berkuasa, ton kulit gelap, wanita, wira, wirawati
🦸🏻‍♂	adi wira lelaki, adi wira lelaki: ton kulit cerah, baik, lelaki, sangat berkuasa, ton kulit cerah, wira
🦸🏼‍♂	adi wira lelaki, adi wira lelaki: ton kulit sederhana cerah, baik, lelaki, sangat berkuasa, ton kulit sederhana cerah, wira
🦸🏽‍♂	adi wira lelaki, adi wira lelaki: ton kulit sederhana, baik, lelaki, sangat berkuasa, ton kulit sederhana, wira
🦸🏾‍♂	adi wira lelaki, adi wira lelaki: ton kulit sederhana gelap, baik, lelaki, sangat berkuasa, ton kulit sederhana gelap, wira
🦸🏿‍♂	adi wira lelaki, adi wira lelaki: ton kulit gelap, baik, lelaki, sangat berkuasa, ton kulit gelap, wira
🦹🏻	jahat, ketua penjahat, ketua penjahat: ton kulit cerah, penjahat, penjenayah, sangat berkuasa, ton kulit cerah
🦹🏼	jahat, ketua penjahat, ketua penjahat: ton kulit sederhana cerah, penjahat, penjenayah, sangat berkuasa, ton kulit sederhana cerah
🦹🏽	jahat, ketua penjahat, ketua penjahat: ton kulit sederhana, penjahat, penjenayah, sangat berkuasa, ton kulit sederhana
🦹🏾	jahat, ketua penjahat, ketua penjahat: ton kulit sederhana gelap, penjahat, penjenayah, sangat berkuasa, ton kulit sederhana gelap
🦹🏿	jahat, ketua penjahat, ketua penjahat: ton kulit gelap, penjahat, penjenayah, sangat berkuasa, ton kulit gelap
🦹🏻‍♀	jahat, ketua penjahat wanita, ketua penjahat wanita: ton kulit cerah, penjahat, penjenayah, sangat berkuasa, ton kulit cerah, wanita
🦹🏼‍♀	jahat, ketua penjahat wanita, ketua penjahat wanita: ton kulit sederhana cerah, penjahat, penjenayah, sangat berkuasa, ton kulit sederhana cerah, wanita
🦹🏽‍♀	jahat, ketua penjahat wanita, ketua penjahat wanita: ton kulit sederhana, penjahat, penjenayah, sangat berkuasa, ton kulit sederhana, wanita
🦹🏾‍♀	jahat, ketua penjahat wanita, ketua penjahat wanita: ton kulit sederhana gelap, penjahat, penjenayah, sangat berkuasa, ton kulit sederhana gelap, wanita
🦹🏿‍♀	jahat, ketua penjahat wanita, ketua penjahat wanita: ton kulit gelap, penjahat, penjenayah, sangat berkuasa, ton kulit gelap, wanita
🦹🏻‍♂	jahat, ketua penjahat lelaki, ketua penjahat lelaki: ton kulit cerah, lelaki, penjahat, penjenayah, sangat berkuasa, ton kulit cerah
🦹🏼‍♂	jahat, ketua penjahat lelaki, ketua penjahat lelaki: ton kulit sederhana cerah, lelaki, penjahat, penjenayah, sangat berkuasa, ton kulit sederhana cerah
🦹🏽‍♂	jahat, ketua penjahat lelaki, ketua penjahat lelaki: ton kulit sederhana, lelaki, penjahat, penjenayah, sangat berkuasa, ton kulit sederhana
🦹🏾‍♂	jahat, ketua penjahat lelaki, ketua penjahat lelaki: ton kulit sederhana gelap, lelaki, penjahat, penjenayah, sangat berkuasa, ton kulit sederhana gelap
🦹🏿‍♂	jahat, ketua penjahat lelaki, ketua penjahat lelaki: ton kulit gelap, lelaki, penjahat, penjenayah, sangat berkuasa, ton kulit gelap
👶🏻	bayi, bayi: ton kulit cerah, ton kulit cerah
👶🏼	bayi, bayi: ton kulit sederhana cerah, ton kulit sederhana cerah
