_	تر خط لاندې, زیرکی, ټیټ پوټکی, ټیټه کرښه, ډش, کرښه
-	منفي, هایفن, هایفن منفي, ډش
‐	هایفن, ډش
–	پای, پای کرښک, کرښک
—	اوږده, اوږده کرښک, کرښک
―	افقي پټه, بار, ليکه, ډش
・	انټرپانکټ, میډوت, نقطې, کټکانا, کټکانا منځنۍ نقطه
,	،, کوما
،	عربي, عربي کوما, کوما
、	ایډیولوژیک, ایډیګرافیک کوما, کوما
;	نیمه کولون
؛	عربي, عربي نیمه کولون, نیم کولون
:	کولون
!	بنګ, ویاړ, ویاړ ټکی, ویلو نښه
¡	بدل شوی, بدل شوی ویلو نښه, بنګ, ویاړ, ویلو نښه, ویلو ټکی
?	پوښتنې, پوښتنې نښه
¿	بدل شوی, بدل شوی پوښتنې نښه, پوښتنې, پوښتنې نښه
؟	عربي, عربي پوښتنې نښه, پوښتنې, پوښتنې نښه
.	بشپړ درول, دوره, موده, ډوټ
…	بیضوی, غلا کول, نقطې
。	ایډیولوژیک, ایډیولوژیکه دوره, بشپړ درول, دوره
·	درونی, منځوني, مینځني ټکي, ټکي
'	حواله, د اسټروپروف, سمارټ حواله, ټايپ رېټر اسټروپروف, یوه حواله
‘	اسټروپروف, حواله, هوښیاري رایی, چپ اسټروپروف, یوه برخه
’	حواله, د اسټروپروف, سمارټ حواله, ښیې ایسستروف, یوه حواله
‚	اسټروپروف, حواله, ټیټ حواله, ټیټ ښی اسټروپروف
“	حواله, دوه حواله, سمارټ وینالېږد, وینالېږد, چپ وینالېږد نښه
”	حواله, دوه حواله, سمارټ وینالېږد, وینالېږد, ښیې وینالېږد نښه
„	حواله, دوه حواله, سمارټ وینالېږد, ټیټه وینالېږد, ټیټې ښیې وینالېږد نښه
«	اخيستنښه, زاویه, قوسونه, هشتکونه, ښی وینالېږد نښه, کيڼ وینالېږد نښه, کیڼ, کیڼحولی
»	اخيستنښه, زاویه, قوسونه, هشتکونه, ښی, ښی وینالېږد نښه, کیڼحولی
)	غونډ بند, قوس, قوسونه, نږدى ځاځي, پارنز, پیرن
[	بریکٹ, مربع قوس, مربع قوس خلاص, کروک
]	لیندۍ, مربع قوس, مربع قوس بند, کروک
{	خلاص تاو قوس, قوس, کوسه, کوږ تړلی وزر, کوږ قوس, ګولینګ
}	تړل کوږ تړنه, کوسه, کوږ تړلی کرکیټ, ګرګوتي, ګولینګ
〈	د هندی غزو, زاویې بریکس خلاص, زاویې لیندۍ مهم ټکی, شیورون, قوس, کوچنی
〉	د هندی غزو, زاویې لیندۍ مهم ټکی, شیورون, قوس, نږدې زاویې لیندۍ, کوچنی
《	دوه زاویې قوه, دوه ګوني زاویې خلاص کړئ, قوس
》	دوه زاویې قوه, دوه ګوني زاویې وتړئ, قوس
「	قوس, کونج خلاص خط, کونج کونکی
」	قوس, نژدې کونج قوس, کونج کونکی
『	تشه کونج قوس, خالي کونج کونړ خلاص کړئ, قوس
』	تشه کونج قوس, خالي کونج قوس بند کړئ, قوس
【	خلاص تور لینز قوس خلاص, د غاړې کنده, قوس, لینز قوس
】	د تور لینز قوس بند, د لینز قوس, غاړې کنده, قوس
〔	خلاص شمشتې قوس, خولۍ قوس, قوس, کيشپ خولۍ قوس
〕	خولۍ قوس, قوس, کيشپ خولۍ قوس, کيشپ خولۍ قوس بند
〖	تش لینز قوس, تشې لینټیکالر قوس, خلاص تش لینګونه قوس, قوس
〗	تش لینز قوس, تشې لینټیکالر قوس, د تش لاسونو قوس بند کړئ, قوس
§	برخه, سلکرو, پاراګراف
¶	ایلینا, پارا, پاراګراف, پاراګراف نښه, پیلوټ
@	اروبا, اروبیس, امپرات, سوداګري په, سټودیل, په نښه
*️	ستوری, سټریک, ځنګلي کارت
